data_type,collector,purpose,text
UNSPECIFIED_DATA,platform,,"You or the platforms may provide us with information through the platform, and we will treat such information in accordance with this Privacy Policy."
UNSPECIFIED_DATA,we,,"You or the platforms may provide us with information through the platform, and we will treat such information in accordance with this Privacy Policy."
aggregate / deidentified / pseudonymized information,we,,"We may use this anonymous data and share it with third parties for our lawful business purposes, including to analyze and improve our Services and promote our business."
asset,we,"analytics, services, advertising, legal, security","We may sell, transfer or otherwise share some or all of our business or assets, including your personal information, in connection with a business transaction (or potential business transaction) such as a corporate divestiture, merger, consolidation, acquisition, reorganization or sale of assets, or in the event of bankruptcy or dissolution."
auditor,we,"analytics, services, advertising, legal, security","We may share your personal information with third party companies and individuals that provide services on our behalf or help us operate our Services (such as lawyers, bankers, auditors, insurers, and providers that assist with hosting, analytics, email delivery, marketing, and database management)."
banker,we,"analytics, services, advertising, legal, security","We may share your personal information with third party companies and individuals that provide services on our behalf or help us operate our Services (such as lawyers, bankers, auditors, insurers, and providers that assist with hosting, analytics, email delivery, marketing, and database management)."
cookie / pixel tag,we,"analytics, services","We use cookies to ensure you get the best experience on our website.
We use the following tools for automatic data collection:

Web beacons, also known as pixel tags or clear GIFs, which are used to demonstrate that a webpage or email was accessed or opened, or that certain content was viewed or clicked."
cookies,we,"analytics, services","We use the following tools for automatic data collection:

Cookies, which are text files that websites store on a visitor's device to uniquely identify the visitor's browser or to store information or settings in the browser for the purpose of helping you navigate between pages efficiently, remembering your preferences, enabling functionality, helping us understand user activity and patterns, and facilitating online advertising."
date,we,"analytics, services",We may use pixels in our email campaigns that allow us to collect your email and IP address as well as the date and time you open an email or click on any links in the email that we may send to you.
email address,we,"analytics, services",We may use pixels in our email campaigns that allow us to collect your email and IP address as well as the date and time you open an email or click on any links in the email that we may send to you.
information about you,service provider,,"We and our service providers may automatically log information about you, your computer or mobile device, and your interaction over time with our Services, our communications and other online services, such as:"
information about you,we,"analytics, services","We and our service providers may automatically log information about you, your computer or mobile device, and your interaction over time with our Services, our communications and other online services, such as:"
insurer,we,"analytics, services, advertising, legal, security","We may share your personal information with third party companies and individuals that provide services on our behalf or help us operate our Services (such as lawyers, bankers, auditors, insurers, and providers that assist with hosting, analytics, email delivery, marketing, and database management)."
ip address,we,"analytics, services",We may use pixels in our email campaigns that allow us to collect your email and IP address as well as the date and time you open an email or click on any links in the email that we may send to you.
lawyer,we,"analytics, services, advertising, legal, security","We may share your personal information with third party companies and individuals that provide services on our behalf or help us operate our Services (such as lawyers, bankers, auditors, insurers, and providers that assist with hosting, analytics, email delivery, marketing, and database management)."
notification of change,we,"analytics, services","We may also provide notification of changes in another way that we believe is reasonably likely to reach you, such as via email (if you have an account where we have your contact information) or another manner through our Services."
personal information,UNSPECIFIED_ACTOR,,"We may share your personal information with third party companies and individuals that provide services on our behalf or help us operate our Services (such as lawyers, bankers, auditors, insurers, and providers that assist with hosting, analytics, email delivery, marketing, and database management)."
personal information,government authority,,"We may disclose your personal information to law enforcement, government authorities, and private parties, as we believe in good faith to be necessary or appropriate for the compliance and protection purposes described above."
personal information,individual,,"We may share your personal information with third party companies and individuals that provide services on our behalf or help us operate our Services (such as lawyers, bankers, auditors, insurers, and providers that assist with hosting, analytics, email delivery, marketing, and database management)."
personal information,law enforcement,,"We may disclose your personal information to law enforcement, government authorities, and private parties, as we believe in good faith to be necessary or appropriate for the compliance and protection purposes described above."
personal information,private party,,"We may disclose your personal information to law enforcement, government authorities, and private parties, as we believe in good faith to be necessary or appropriate for the compliance and protection purposes described above."
personal information,we,"analytics, services, advertising, legal, security","We may disclose your personal information to law enforcement, government authorities, and private parties, as we believe in good faith to be necessary or appropriate for the compliance and protection purposes described above.
We may obtain your personal information from other third parties, such as marketing partners, publicly-available sources and data providers, for the purposes of marketing products and services that may interest you, delivering personalized communications, and other similar activities.
We may retain your personal information for as long as it is reasonably needed in order to maintain and expand our relationship and provide you with our services; in order to comply with our legal and contractual obligations; or to protect ourselves from any potential disputes.
We may share personal information with our current and future affiliates, meaning an entity that controls, is controlled by, or is under common control with us.
We may share your personal information with third party companies and individuals that provide services on our behalf or help us operate our Services (such as lawyers, bankers, auditors, insurers, and providers that assist with hosting, analytics, email delivery, marketing, and database management).
We may use personal information to:
We may use your personal information for research and development purposes, including to analyze and improve our Services and our business."
personal information we share,we,"analytics, services, advertising, legal, security",Our affiliates may use the personal information we share in a manner consistent with this Privacy Policy.
pixel in email campaign,we,"analytics, services, advertising, legal, security",We may use pixels in our email campaigns that allow us to collect your email and IP address as well as the date and time you open an email or click on any links in the email that we may send to you.
provider assist with hosting,we,"analytics, services, advertising, legal, security","We may share your personal information with third party companies and individuals that provide services on our behalf or help us operate our Services (such as lawyers, bankers, auditors, insurers, and providers that assist with hosting, analytics, email delivery, marketing, and database management)."
