data_type,collector,purpose,text
UNSPECIFIED_DATA,we,services,We use your data to provide and improve the Service.
collect data,Google,advertising,Google may use the collected data to contextualize and personalize the ads of its own advertising network.
collect datum,tetra insights,"analytics, security, services",Tetra Insights uses the collected data for various purposes:
contact information,we,services,"While using our Service, we may ask you to provide us with certain personally identifiable information that can be used to contact or identify you (""Personal Data"")."
datum collect,Google,"advertising, analytics","Google uses the data collected to track and monitor the use of our Service.
This data is shared with other Google services."
information on,we,"services, analytics, security","We may also collect information on how the Service is accessed and used (""Usage Data"")."
personal information,tetra insights,"analytics, security, services",Tetra Insights may disclose your Personal Data in the good faith belief that such action is necessary to:
personal information,we,"services, analytics, security","If you are located outside United States and choose to provide information to us, please note that we transfer the data, including Personal Data, to United States and process it there.
While using our Service, we may ask you to provide us with certain personally identifiable information that can be used to contact or identify you (""Personal Data"")."
preference cookies,we,"services, analytics, security",We use Preference Cookies to remember your preferences and various settings.
session cookies,we,"services, analytics, security",We use Session Cookies to operate our Service.
several different type,we,"services, analytics, security",We collect several different types of information for various purposes to provide and improve our Service to you.
