data_type,collector,purpose,text
UNSPECIFIED_DATA,Internet Corporation for Assigned Names and Numbers,,"For example, your information relating to your domain registration may be available in the WHOIS database, or we may be required to share your information with ICANN-approved Dispute Resolution Service Providers."
UNSPECIFIED_DATA,UNSPECIFIED_ACTOR,,"For example, we may share your information with third parties when you authorize us to do so."
UNSPECIFIED_DATA,we,"analytics, legal, services","Additionally, if you have a domain registered with Sutra.co, we may share your information to comply with the Internet Corporation for Assigned Names and Numbers' (ICANN) regulations, rules, or policies.
For example, we may share your information with third parties when you authorize us to do so.
For example, your information relating to your domain registration may be available in the WHOIS database, or we may be required to share your information with ICANN-approved Dispute Resolution Service Providers.
Here are some examples: Communications with us (hi there!): You may also provide us with information when you respond to surveys, communicate with our support team about a support question, post a question in our public forums, or sign up for our newsletter.
Please keep in mind that we may continue to retain your information after closing your account, as described in How Long We Keep Information above -- for example, when that information is reasonably needed to comply with (or demonstrate our compliance with) legal obligations such as law enforcement requests, or reasonably needed for our legitimate business interests.
These are spelled out below, as well as in the section called Ads and Analytics Services Provided by Others: With your consent: We may share and disclose information with your consent or at your direction.
Tidbit of trivia

How Long We Keep Information
Tidbit of trivia

How and Why We Use Information
We also collect information about what happens when you use our Services (e.g., page views, support document searches, features enabled for your Sutra offerings, along with information about your device (e.g., screen size, name of cellular network, and mobile device manufacturer).
We use this information to, for example, provide our Services to you, get insights on how people use our Services so we can make our Services better, and understand and make predictions about user retention."
characteristic protect,we,"analytics, legal, services","In the last 12 months, we collected the following categories of personal information from California residents, depending on the Services used: Characteristics protected by law (for example, you might provide your gender as part of a research survey for us);"
characteristic protect,we,"analytics, legal, services, advertising, security","In the last 12 months, we collected the following categories of personal information from California residents, depending on the Services used: Characteristics protected by law (for example, you might provide your gender as part of a research survey for us);"
coarse geolocation,we,"analytics, legal, services","We also collect some information automatically: Location information: We may determine the approximate location of your device from your IP address.
We collect and use this information to, for example, calculate how many people visit our Services from certain geographic regions."
contact information,we,"analytics, legal, services","You may provide us with information like your name, contact information, resume or CV, and work authorization verification as part of the application process."
contact information,we,"analytics, legal, services, advertising, security","You may provide us with information like your name, contact information, resume or CV, and work authorization verification as part of the application process."
cookie / pixel tag,sutra,"advertising, analytics","Sutra uses cookies and other technologies like pixel tags to help us identify and track visitors, usage, and access preferences for our Services, as well as track and understand email campaign effectiveness and to deliver targeted ads related to our service and offerings to you on third party websites such as Facebook and LinkedIn."
email address,we,"analytics, legal, services","For example, we require individuals who sign up for a Sutra.co account to provide an email address and password, along with a username and name -- and that's it."
