data_type,collector,purpose,text
UNSPECIFIED_DATA,UNSPECIFIED_ACTOR,,"For data portability requests, we will select a format to provide your consumer information that is readily useable and should allow you to transmit the information from one entity to another entity without hindrance."
UNSPECIFIED_DATA,industry partners,,"We may share your information with our trusted partners (""Industry Partners"") who work on our behalf or with whom we collaborate or whose events we may attend."
UNSPECIFIED_DATA,trust partner,advertising,"These partners may use your information to communicate with you directly, including for their own marketing purposes, or help us communicate with you.
We may share your information with our trusted partners (""Industry Partners"") who work on our behalf or with whom we collaborate or whose events we may attend."
UNSPECIFIED_DATA,we,services,"Depending on your use of the Service, we may collect two types of information: personally identifiable information and non-personally identifiable information.
We also collect information through our Internet log files, which record data such as user IP addresses, browser types, domain names, and other anonymous statistical data involving the use of the Service.
We may collect information passively using ""cookies"" and ""action tags.""
We may share your information with our trusted partners (""Industry Partners"") who work on our behalf or with whom we collaborate or whose events we may attend.
We may use your information to send you a welcoming email that may confirm your user name and password.
You may also provide information to us when you meet us in person, such as at business conferences or when you are involved in webinars or other networking activities we may host, co-host, sponsor, or attend (collectively, ""Networking Activities"") and this Privacy Policy applies to such information as well."
access to website,we,services,Our Service may provide you with access to other websites and services.
account name,we,services,"If so, if you wish to establish an account you will be required to provide us with information (including personally identifiable information and non-personally identifiable information) such as name, address, email address, telephone number, and account names, and including credit card and billing information submitted directly to the Payment Services Provider."
account name,we,"services, legal, security, analytics","If so, if you wish to establish an account you will be required to provide us with information (including personally identifiable information and non-personally identifiable information) such as name, address, email address, telephone number, and account names, and including credit card and billing information submitted directly to the Payment Services Provider."
browsing / search history,analytic provider,,"In addition to the above, when users use our Service, third parties (including third-party analytics service providers and commercial partners) may directly collect personally identifiable and non-personally identifiable information about our users' online activities over time and across different websites."
browsing / search history,commercial partner,,"In addition to the above, when users use our Service, third parties (including third-party analytics service providers and commercial partners) may directly collect personally identifiable and non-personally identifiable information about our users' online activities over time and across different websites."
consumer information describe in table,UNSPECIFIED_ACTOR,,"3Play Media may disclose your consumer information described in the table above to a third party for a business or commercial purpose, as described in the table above and in Sections 2 and 6 of this Privacy Policy with respect to personally identifiable information."
consumer information provide for purpose of verification of consumer request,we,"services, legal, security",We will only use consumer information provided for the purposes of verification of a consumer request to verify the requestor's identity or authority to make the request.
content of source material,we,"services, legal, security",The contents of any source materials are submitted to us by you.
country,industry partners with whom we co -,,"In particular, we may share your information, including your name, company, job title, telephone number, email, and/or country, with our Industry Partners with whom we co-host or jointly sponsor marketing initiatives and events, such as webinars, downloadable content, conferences or Networking Activities, who may communicate with you directly, including for their own marketing purposes."
country,we,"services, legal, security","In particular, we may share your information, including your name, company, job title, telephone number, email, and/or country, with our Industry Partners with whom we co-host or jointly sponsor marketing initiatives and events, such as webinars, downloadable content, conferences or Networking Activities, who may communicate with you directly, including for their own marketing purposes."
country,we,"services, legal, security, analytics","In particular, we may share your information, including your name, company, job title, telephone number, email, and/or country, with our Industry Partners with whom we co-host or jointly sponsor marketing initiatives and events, such as webinars, downloadable content, conferences or Networking Activities, who may communicate with you directly, including for their own marketing purposes."
credit / debit card number,payment services provider,,"Additionally, our Outside Contractor (as defined below) that is responsible for billing and payment processing services (the ""Payment Services Provider"") may collect your billing and credit card information from you directly.
Complete account access credentials (account log-in, financial account, debit card, or credit card number in combination with any required security or access code, password, or credentials allowing access to an account) : Credit card and billing information is submitted to the Payment Services Provider by you."
credit / debit card number,we,"services, legal, security","If so, if you wish to establish an account you will be required to provide us with information (including personally identifiable information and non-personally identifiable information) such as name, address, email address, telephone number, and account names, and including credit card and billing information submitted directly to the Payment Services Provider."
credit / debit card number,we,"services, legal, security, analytics","If so, if you wish to establish an account you will be required to provide us with information (including personally identifiable information and non-personally identifiable information) such as name, address, email address, telephone number, and account names, and including credit card and billing information submitted directly to the Payment Services Provider."
