data_type,collector,purpose,text
UNSPECIFIED_DATA,advertiser,,"These companies may collect information about your activity on our Website and third-party websites (such as web pages you visit and your interaction with our advertising and other communications) and use this information to make predictions about your preferences, develop personalized content and deliver ads that are more relevant to you on third party websites.
We work with third-parties such as ad networks and other advertising companies that use their own tracking technologies (including cookies and pixel tags) on our Website in order to provide you with tailored advertisements across the Internet."
UNSPECIFIED_DATA,service provider,,Our service providers are only provided with the information they need to perform their designated functions and are not authorized to use or disclose personal information for their own marketing or other purposes.
UNSPECIFIED_DATA,tracking technology,analytics,"Please note that even if you opt-out of interest-based advertising by a third party, these tracking technologies may still collect data for other purposes including analytics and you will still see ads from us, but the ads will not be targeted based on behavioural information about you and may therefore be less relevant to you and your interests."
UNSPECIFIED_DATA,we,"advertising, services","If you sign-up to receive email marketing communications such as newsletters, we collect your email address as well as other information on an optional basis to help us tailor our communications to you.
When you provide information from your social media account, we may use this information to personalize your experience on the Website and on the third-party social networking websites, plug-ins and applications, and to provide you with other services you may request."
credit / debit card number,we,"advertising, services","The information we collect may include your first and last name, email address, and payment card information (if applicable)."
email address,we,"advertising, services, analytics","If you sign-up to receive email marketing communications such as newsletters, we collect your email address as well as other information on an optional basis to help us tailor our communications to you.
The information we collect may include your first and last name, email address, and payment card information (if applicable).
These surveys are anonymous (unless you choose to provide your email address for the purpose of a future feedback interview) and the information obtained through our surveys is used in an aggregated, de-identified form.
We use this information to help us improve future Experiences, understand our customers, and enhance our Website and other offerings."
information obtain through survey,survey,,"These surveys are anonymous (unless you choose to provide your email address for the purpose of a future feedback interview) and the information obtained through our surveys is used in an aggregated, de-identified form.
We may also email you a survey prior to an Experience involving your company or other team you are a part of in order to determine your team's level of interest in various Experiences."
information we have about you,we,"advertising, services, analytics","We may transfer any information we have about you as an asset in connection with a proposed or completed merger, acquisition or sale (including transfers made as part of insolvency or bankruptcy proceedings) involving all or part of Wavy or as part of a corporate reorganization or other change in corporate control."
ip address,we,"advertising, services, analytics","However, we collect the IP (Internet protocol) addresses of all visitors to our Website and other related information such as page requests, browser type, operating system and average time spent on our Website."
person name,we,"advertising, services, analytics","The information we collect may include your first and last name, email address, and payment card information (if applicable)."
personal information,UNSPECIFIED_ACTOR,,Your personal information will be transferred (or otherwise made available) to certain third parties that provide services on our behalf.
personal information,canadian foreign service provider,"legal, security","We and our Canadian, US and other foreign service providers may provide your personal information in response to a search warrant to other legally valid inquiry or order, or to another organization for the purposes of investigating a breach of an agreement or contravention of law or detecting, suppressing or preventing fraud, or as otherwise may be required or permitted by applicable Canadian, U.S. or other law or legal process, which may include lawful access by US or foreign courts, law enforcement or other government authorities."
personal information,we,"advertising, services, analytics, legal, security","We and our Canadian, US and other foreign service providers may provide your personal information in response to a search warrant to other legally valid inquiry or order, or to another organization for the purposes of investigating a breach of an agreement or contravention of law or detecting, suppressing or preventing fraud, or as otherwise may be required or permitted by applicable Canadian, U.S. or other law or legal process, which may include lawful access by US or foreign courts, law enforcement or other government authorities.
We may collect personal information when you:
We may request certain personal information for the purpose of verifying the identity of the individual seeking access to his or her personal information records."
phone number,we,"advertising, services, analytics","Please note that if the Experience you will be participating in involves the delivery of a kit (e.g. physical items such as food ingredients in the case of a cooking-related Experience), we will also collect your home address and phone number, which may be shared with any of our Fulfilment Partners (defined under the ""Sharing of Personal Information"" section below) involved in your upcoming Experience."
phone number,we,"advertising, services, analytics, legal, security","Please note that if the Experience you will be participating in involves the delivery of a kit (e.g. physical items such as food ingredients in the case of a cooking-related Experience), we will also collect your home address and phone number, which may be shared with any of our Fulfilment Partners (defined under the ""Sharing of Personal Information"" section below) involved in your upcoming Experience."
postal address,we,"advertising, services, analytics, legal, security","Please note that if the Experience you will be participating in involves the delivery of a kit (e.g. physical items such as food ingredients in the case of a cooking-related Experience), we will also collect your home address and phone number, which may be shared with any of our Fulfilment Partners (defined under the ""Sharing of Personal Information"" section below) involved in your upcoming Experience."
recording,we,"advertising, services, analytics, legal, security",We use these recordings to help us assess the quality of each Experience and improve Experiences in the future by collecting information such as the number of Participants in attendance and general Participant engagement levels.
