data_type,collector,purpose,text
UNSPECIFIED_DATA,new party,,"If required for mergers, acquisitions, or sale of the company assets, we may transfer data to the new party, subject to the agreements in place."
UNSPECIFIED_DATA,we,services,"If required for mergers, acquisitions, or sale of the company assets, we may transfer data to the new party, subject to the agreements in place.
We retain your data only as long as required to provide you with the Services or as necessary to comply with legal obligations.
We use your data to provide, maintain, and improve the Services."
basic profile information,we,services,"We may obtain some data from third-party services, such as your basic profile information when authenticating through Google or other single sign-on providers."
email address,we,"services, analytics","When creating an account, we collect your name, email address, username, profile photo, and any other information you choose to provide."
information you choose,we,"services, analytics","When creating an account, we collect your name, email address, username, profile photo, and any other information you choose to provide."
large language model,we,"services, analytics","To provide certain features in our service, we may utilize large language models (LLMs) - AI systems trained on large datasets."
llms,we,"services, analytics","To provide certain features in our service, we may utilize large language models (LLMs) - AI systems trained on large datasets."
payment detail,we,"services, analytics","If you use paid services, we collect payment details to process your purchase."
person name,we,"services, analytics","When creating an account, we collect your name, email address, username, profile photo, and any other information you choose to provide."
profile photo,we,"services, analytics","When creating an account, we collect your name, email address, username, profile photo, and any other information you choose to provide."
username,we,"services, analytics","When creating an account, we collect your name, email address, username, profile photo, and any other information you choose to provide."
