data_type,collector,purpose,text
UNSPECIFIED_DATA,we,,"We may collect and process information through our Services about the location of your device using GPS or other location technologies, such as sensor data from your mobile device providing information about nearby WiFi access points and cellular network towers (""Location Information"")."
aggregate / deidentified / pseudonymized information,we,,"Please note that in the event that we elect to de-identify and/or aggregate your Personal Information, such that the de-identified and/or aggregate information is no longer identifiable to you, we may use such de-identified and/or aggregate information as we deem appropriate, including to analyze and improve our Services."
browser type,we,,"Cookies allow us to collect information such as browser type, time spent on the online services, pages visited, referring URL, and other traffic and usage data."
cookie / pixel tag,we,,"We may also use cookies for purposes such as determining what features interest our users, revising our site features or operations, and as further described below."
cookie / pixel tag,we,"analytics, services","We may also use cookies for purposes such as determining what features interest our users, revising our site features or operations, and as further described below."
email address,UNSPECIFIED_ACTOR,,"As described further in our Privacy Policy, in the preceding twelve (12) months, we or our Third-Party Providers may have collected the below categories of Personal Information for business or commercial purposes: Identifiers (such name, email address, address, and phone number);"
email address,UNSPECIFIED_ACTOR,services,"As described further in our Privacy Policy, in the preceding twelve (12) months, we or our Third-Party Providers may have collected the below categories of Personal Information for business or commercial purposes: Identifiers (such name, email address, address, and phone number);"
email address,we,"analytics, services","As described further in our Privacy Policy, in the preceding twelve (12) months, we or our Third-Party Providers may have collected the below categories of Personal Information for business or commercial purposes: Identifiers (such name, email address, address, and phone number);"
email address,we,"analytics, services, advertising, legal, security","As described further in our Privacy Policy, in the preceding twelve (12) months, we or our Third-Party Providers may have collected the below categories of Personal Information for business or commercial purposes: Identifiers (such name, email address, address, and phone number);"
geolocation,UNSPECIFIED_ACTOR,,"As described further in our Privacy Policy, in the preceding twelve (12) months, we or our Third-Party Providers may have collected the below categories of Personal Information for business or commercial purposes: Geolocation information (general location, and, if you provide permission, precise GPS location);"
geolocation,UNSPECIFIED_ACTOR,services,"As described further in our Privacy Policy, in the preceding twelve (12) months, we or our Third-Party Providers may have collected the below categories of Personal Information for business or commercial purposes: Geolocation information (general location, and, if you provide permission, precise GPS location);"
geolocation,we,"analytics, services, advertising, legal, security","As described further in our Privacy Policy, in the preceding twelve (12) months, we or our Third-Party Providers may have collected the below categories of Personal Information for business or commercial purposes: Geolocation information (general location, and, if you provide permission, precise GPS location);
We may use your Personal Information, Usage Information, Tracking Information, or Location Information we collect or you provide to us, in order to: We may use Location Information to customize products or information specific to your region.
We use Location Information solely as necessary to analyze and improve our Services."
identifier,UNSPECIFIED_ACTOR,,"As described further in our Privacy Policy, in the preceding twelve (12) months, we or our Third-Party Providers may have collected the below categories of Personal Information for business or commercial purposes: Identifiers (such name, email address, address, and phone number);"
identifier,UNSPECIFIED_ACTOR,services,"As described further in our Privacy Policy, in the preceding twelve (12) months, we or our Third-Party Providers may have collected the below categories of Personal Information for business or commercial purposes: Identifiers (such name, email address, address, and phone number);"
identifier,we,"analytics, services, advertising, legal, security","As described further in our Privacy Policy, in the preceding twelve (12) months, we or our Third-Party Providers may have collected the below categories of Personal Information for business or commercial purposes: Identifiers (such name, email address, address, and phone number);"
inference,UNSPECIFIED_ACTOR,,"As described further in our Privacy Policy, in the preceding twelve (12) months, we or our Third-Party Providers may have collected the below categories of Personal Information for business or commercial purposes: Inferences about your preferences and traits through your use of the Services;"
inference,UNSPECIFIED_ACTOR,services,"As described further in our Privacy Policy, in the preceding twelve (12) months, we or our Third-Party Providers may have collected the below categories of Personal Information for business or commercial purposes: Inferences about your preferences and traits through your use of the Services;"
