data_type,collector,purpose,text
Facebook,social media,,"The Site may use social media features, such as the Facebook ""like"" button (""Social Media Features"")."
UNSPECIFIED_DATA,we,"legal, services","By using the www.clari.com website (""Site"") or any of our Clari applications available via the application URL app.clari.com and the Clari mobile applications, Clari Mobile and Clari Connect (collectively, the ""Service""), you acknowledge that you accept the practices and policies outlined in this Privacy Policy, and you consent that we will collect, use, and share your information as set forth below.
We collect information for our Clients.
We may also retain your Information to the extent required to comply with (or we deem it reasonable in light of) any laws or regulations.
We may also use the data (i) if we reasonably believe such use is required by any law, regulation, or government body or court, (ii) as necessary to help prevent a security threat to the Service, and (iii) to help internally improve the Service.
We may retain your information for as long as your account is active or as needed to provide you services, comply with our legal obligations, resolve disputes, and enforce our agreements.
We will provide you with the following information: The categories of third parties with whom we have shared your Personal Data"
advertiser,service provider,,"1. Service providers (a full list of which can be found here), including: Ad networks"
aggregate / deidentified / pseudonymized information,we,"legal, services","We may also indefinitely retain and use any aggregated data derived from or incorporating your Information after you update or delete it, but not in a manner that would identify you personally."
analytic provider,service provider,,"1. Service providers (a full list of which can be found here), including: Analytics providers"
cookie / pixel tag,UNSPECIFIED_ACTOR,advertising,Our third party partner may use cookies or similar technologies in order to provide you advertising based upon your browsing activities and interests.
cookie / pixel tag,we,"legal, services, advertising, analytics","The Services use cookies and similar technologies such as pixel tags, web beacons, clear GIFs, and JavaScript (collectively, ""Cookies"") to enable our servers to recognize your web browser and tell us how and when you visit and use our Services, to analyze trends, learn about our user base and operate and improve our Services."
customer record identify,UNSPECIFIED_ACTOR,advertising,"Over the past twelve months, we have disclosed the following categories of your Personal Data to service providers or other parties for the business purposes listed above: Customer records identified by state law"
customer record identify,service provider,,"Over the past twelve months, we have disclosed the following categories of your Personal Data to service providers or other parties for the business purposes listed above: Customer records identified by state law"
customer record identify,we,"legal, services, advertising, analytics","Over the past twelve months, we have disclosed the following categories of your Personal Data to service providers or other parties for the business purposes listed above: Customer records identified by state law"
customer record identify,we,"legal, services, advertising, analytics, security","Over the past twelve months, we have disclosed the following categories of your Personal Data to service providers or other parties for the business purposes listed above: Customer records identified by state law"
hosting,service provider,,"1. Service providers (a full list of which can be found here), including: Hosting and other technology and communications providers"
information about you,we,"legal, services, advertising, analytics","We receive information about you from some of our service providers who assist us with marketing or promotional services related to how you interact with our websites, applications, products, services, advertisements, or communications."
information collect,we,"legal, services, advertising, analytics",We may also retain Information collected by Third Party usage tracking services in aggregate form for the purposes of maintaining historical information on usage of our services.
information collect,we,"legal, services, advertising, analytics, security",We may also retain Information collected by Third Party usage tracking services in aggregate form for the purposes of maintaining historical information on usage of our services.
ip address,social media,,"The Site may use social media features, such as the Facebook ""like"" button (""Social Media Features"").
These features may collect your IP address and which page you are visiting, and may set a cookie to enable the feature to function properly."
option,social media,,"The Site may use social media features, such as the Facebook ""like"" button (""Social Media Features"").
You may be given the option by such Social Media Features to post information about your activities on Clari's site to a profile page of yours that is provided by a third-party Social Media network in order to share with others within your network."
personal datum provide in valid request,we,"legal, services, advertising, analytics, security",We will only use Personal Data provided in a Valid Request to verify you and complete your request.
security company,service provider,,"1. Service providers (a full list of which can be found here), including: Security and fraud prevention companies"
specific piece of personal data we collect about you,we,"legal, services, advertising, analytics, security",We will provide you with the following information: The specific pieces of Personal Data that we have collected about you
technology provider,service provider,,"1. Service providers (a full list of which can be found here), including: Hosting and other technology and communications providers"
