data_type,collector,purpose,text
UNSPECIFIED_DATA,Google,analytics,We may share your information with Google Analytics to track and
UNSPECIFIED_DATA,we,"advertising, analytics, legal, security, services","However, we may retain some information in our files to prevent fraud, troubleshoot problems, assist with any investigations, enforce our legal terms and/or comply with applicable legal requirements.
In some exceptional cases, we may be legally permitted under applicable law to process your information without your consent, including, for example:
Like many businesses, we also collect information through cookies and similar technologies.
The information we collect includes:
We automatically collect certain information when you visit, use, or navigate the Services.
We keep your information for as long as necessary to
We may also process your information for other purposes with your consent.
We may collect information from public databases, marketing partners, social media platforms, and other outside sources.
We may collect limited data from public databases, marketing partners,
We may process information about how you use our Services to better understand how they are being used so we can improve them.
We may process your information as part of our efforts to keep our Services safe and secure, including fraud monitoring and prevention.
We may process your information if you have given us permission (i.e. ,  consent) to use your personal information for a specific purpose.
We may process your information if you have given us specific permission (i.e.
We may process your information so you can create and log in to your account, as well as keep your account in working order.
We may process your information to  fulfill and manage your orders, payments, returns, and exchanges made through the Services.
We may process your information to better understand how to provide marketing and promotional campaigns that are most relevant to you.
We may process your information to develop and display personalized  content and advertising tailored to your interests, location, and more.
We may process your information to provide you with the requested service.
We may process your information to respond to your inquiries and solve any potential issues you might have with the requested service.
We may process your information to send you details about our products and services, changes to our terms and policies, and other similar information.
We may process your information when necessary to request feedback and to contact you about your use of our Services.
We may process your information when necessary to save or protect an individual's vital interest, such as to prevent harm.
We may process your information when we believe it is reasonably necessary to achieve our legitimate business interests and those interests do not outweigh your interests and fundamental rights and freedoms.
We may process your information where we believe it is necessary for compliance with our legal obligations, such as to cooperate with a law enforcement body or regulatory agency, exercise or defend our legal rights, or disclose your information as evidence in litigation in which we are involved.
We may process your information where we believe it is necessary to protect your vital interests or the vital interests of a third party, such as situations involving potential threats to the safety of any person.
We may share information in specific situations and with specific
We may share or transfer your information in connection with, or during negotiations of, any merger, sale of company assets, financing, or acquisition of all or a portion of our business to another company.
We may share your information with Google Analytics to track and
We may use cookies and other tracking technologies to collect and store your information.
We may use cookies and similar tracking technologies (like web beacons and pixels) to gather information when you interact with our Services.
We process your information only when we have a valid legal reason to do so.
We process your information to provide, improve, and administer our Services, communicate with you, for security and fraud prevention, and to comply with law.
agent, we may need to collect additional information to verify your identity before processing your request and the agent will need to provide a written and signed permission from you to submit such request on your behalf."
collect personal information,we,"advertising, analytics, legal, security, services",We will use and retain the collected personal information as needed to provide the Services or for:
cookie / pixel tag,UNSPECIFIED_ACTOR,"analytics, security, services","When you visit or log in to our website, cookies and similar technologies may be used by our online data partners or vendors to associate these activities with other personal information they or others have about you, including by association with your email or home address."
cookie / pixel tag,online data partner,"analytics, security, services","When you visit or log in to our website, cookies and similar technologies may be used by our online data partners or vendors to associate these activities with other personal information they or others have about you, including by association with your email or home address."
cookie / pixel tag,we,"advertising, analytics, legal, security, services","We may use cookies and other tracking technologies to collect and store your information.
We may use cookies and similar tracking technologies (like web beacons and pixels) to gather information when you interact with our Services."
geolocation,we,"advertising, analytics, legal, security, services","For example, we may use GPS and other technologies to collect geolocation data that tells us your current location (based on your IP address).
We collect location data such as information about your device's location, which can be either precise or imprecise.
You can opt out of allowing us to collect this information either by refusing access to the information or by disabling your Location setting on your device."
google user datum,we,"advertising, analytics, legal, security, services",". We collect and use Google user data solely to provide or improve our application's functionality, and"
information about you,we,"advertising, analytics, legal, security, services","If you choose to register or log in to our Services using a social media account, we may have access to certain information about you.
In order to enhance our ability to provide relevant marketing, offers, and services to you and update our records, we may obtain information about you from other sources, such as public databases, joint marketing partners, affiliate programs, data providers,"
information in specific situation describe in section,we,"advertising, analytics, legal, security, services",We may share information in specific situations described in this section and/or with the following
