data_type,collector,purpose,text
UNSPECIFIED_DATA,UNSPECIFIED_ACTOR,,"We may share your data with third-party vendors, service providers, contractors or agents who perform services for us or on our behalf and require access to such information to do that work."
UNSPECIFIED_DATA,contractor,,"We may share your data with third-party vendors, service providers, contractors or agents who perform services for us or on our behalf and require access to such information to do that work."
UNSPECIFIED_DATA,service provider,,"We may share your data with third-party vendors, service providers, contractors or agents who perform services for us or on our behalf and require access to such information to do that work."
UNSPECIFIED_DATA,we,"advertising, analytics, legal, security, services","For instance, depending on the type of request you submit, we may ask you to provide certain information so that we can match the information you provide with the information we already have on file, or we may contact you through a communication method (e.g. phone or email) that you have previously provided to us.
However, we may retain some information in our files to prevent fraud, troubleshoot problems, assist with any investigations, enforce our Terms of Use and/or comply with applicable legal requirements.
In Short: We keep your information for as long as necessary to fulfill the purposes outlined in this privacy notice unless otherwise required by law.
In Short: We only share information with the following categories of third parties.
In Short: We only share information with your consent, to comply with laws, to provide you with services, to protect your rights, or to fulfill business obligations.
In Short: We process your information for purposes based on legitimate business interests, the fulfillment of our contract with you, compliance with our legal obligations, and/or your consent.
More specifically, we may need to process your data or share your personal information in the following situations:
We automatically collect certain information when you visit, use or navigate the Website.
We collect names; email addresses; passwords; debit/credit card numbers; billing addresses; and other similar information.
We may process or share your data that we hold based on the following legal basis: Consent: We may process your data if you have given us specific consent to use your personal information for a specific purpose.
We may process or share your data that we hold based on the following legal basis: Legal Obligations: We may disclose your information where we are legally required to do so in order to comply with applicable law, governmental requests, a judicial proceeding, court order, or legal process, such as in response to a court order or a subpoena (including in response to public authorities to meet national security or law enforcement requirements).
We may process or share your data that we hold based on the following legal basis: Legitimate Interests: We may process your data when it is reasonably necessary to achieve our legitimate business interests.
We may process or share your data that we hold based on the following legal basis: Vital Interests: We may disclose your information where we believe it is necessary to investigate, prevent, or take action regarding potential violations of our policies, suspected fraud, situations involving potential threats to the safety of any person and illegal activities, or as evidence in litigation in which we are involved.
We may share or transfer your information in connection with, or during negotiations of, any merger, sale of company assets, financing, or acquisition of all or a portion of our business to another company.
We may share your data with third-party vendors, service providers, contractors or agents who perform services for us or on our behalf and require access to such information to do that work.
We may share your information with our affiliates, in which case we will require those affiliates to honor this privacy notice.
We may use and store this information in aggregated and anonymized form so that it is not associated with individual end users and does not include personal information.
We may use your information as part of our efforts to keep our Website safe and secure (for example, for fraud monitoring and prevention).
We may use your information for other business purposes, such as data analysis, identifying usage trends, determining the effectiveness of our promotional campaigns and to evaluate and improve our Website, products, marketing and your experience.
We may use your information for the purposes of managing our account and keeping it in working order.
We may use your information in order to enable user-to-user communications with each user's consent.
We may use your information to request feedback and to contact you about your use of our Website.
We only share and disclose your information with the following categories of third parties."
credit / debit card number,we,"advertising, analytics, legal, security, services",We collect names; email addresses; passwords; debit/credit card numbers; billing addresses; and other similar information.
datum we hold,we,"advertising, analytics, legal, security, services",We may process or share your data that we hold based on the following legal basis:
device data,we,"advertising, analytics, legal, security, services",The information we collect includes: Device Data.
email address,we,"advertising, analytics, legal, security, services",We collect names; email addresses; passwords; debit/credit card numbers; billing addresses; and other similar information.
feedback,we,"advertising, analytics, legal, security, services",We may use your information to request feedback and to contact you about your use of our Website.
geolocation,we,"advertising, analytics, legal, security, services","For example, we may use GPS and other technologies to collect geolocation data that tells us your current location (based on your IP address).
The information we collect includes: Location Data.
We collect location data such as information about your device's location, which can be either precise or imprecise.
You can opt out of allowing us to collect this information either by refusing access to the information or by disabling your Location setting on your device."
information we collect,we,"advertising, analytics, legal, security, services",We use the information we collect or receive:
information you allow,we,"advertising, analytics, legal, security, services","If you choose to link your account with us to a third-party account (such as your Google or Facebook account), we use the information you allowed us to collect from those third parties to facilitate account creation and logon process for the performance of the contract."
ip address,we,"advertising, analytics, legal, security, services","For example, we may use GPS and other technologies to collect geolocation data that tells us your current location (based on your IP address).
You can opt out of allowing us to collect this information either by refusing access to the information or by disabling your Location setting on your device."
new world,we,"advertising, analytics, legal, security, services","Thank you for choosing to be part of our community at New World Now LLC, doing business as New World ( ""New World "", ""we"", ""us"", ""our"" )."
password,we,"advertising, analytics, legal, security, services",We collect names; email addresses; passwords; debit/credit card numbers; billing addresses; and other similar information.
payment datum,Stripe,,All payment data is stored by Stripe.
person name,we,"advertising, analytics, legal, security, services",We collect names; email addresses; passwords; debit/credit card numbers; billing addresses; and other similar information.
personal information collect via website,we,"advertising, analytics, legal, security, services",We use personal information collected via our Website for a variety of business purposes described below.
personal information outside,we,"advertising, analytics, legal, security, services","We may also collect other personal information outside of these categories instances where you interact with us in-person, online, or by phone or mail in the context of:"
personal information provide in request,we,"advertising, analytics, legal, security, services",We will only use personal information provided in your request to verify your identity or authority to make the request.
postal address,we,"advertising, analytics, legal, security, services",We collect names; email addresses; passwords; debit/credit card numbers; billing addresses; and other similar information.
verification method,we,"advertising, analytics, legal, security, services",We may also use other verification methods as the circumstances dictate.
