data_type,collector,purpose,text
UNSPECIFIED_DATA,resemble ai,,"By using the Services, you acknowledge that any Personal Data about you, regardless of whether provided by you or obtained from a third party, is being provided to Resemble AI in the U.S. and will be hosted on U.S. servers, and you authorize Resemble AI to transfer, store and process your information to and in the U.S., and possibly other countries."
UNSPECIFIED_DATA,we,,"By using or accessing our Services in any manner, you acknowledge that you accept the practices and policies outlined below, and you hereby consent that we will collect, use and disclose your information as described in this Privacy Policy.
Meeting or fulfilling the reason you provided the information to us.
We may further retain information in an anonymous or aggregated form where that information would not identify you personally.
When establishing a retention period for specific categories of data, we consider who we collected the data from, our need for the Personal Data, why we collected the Personal Data, and the sensitivity of the Personal Data.
You can also request that we transmit the data to another controller where technically feasible."
aggregate / deidentified / pseudonymized information,we,,"We may create aggregated, de-identified or anonymized data from the Personal Data we collect, including by removing information that makes the data personally identifiable to a particular user.
We may use such aggregated, de-identified or anonymized data and disclose it with third parties for our lawful business purposes, including to analyze, build and improve the Services and promote our business, provided that we will not disclose such data in a manner that could identify you."
biometric information,we,services,"Biometric Data
For example: We retain your biometric/sensory data for as long as we need to appropriately, effectively, and efficiently provide you the Services.
We process the following categories of Personal Data as a matter of ""contractual necessity"", meaning that we need to process the data to perform under our Terms of Use with you, which enables us to provide you with the Services."
biometric information,we,"services, analytics, legal, security","Biometric Data
For example: We retain your biometric/sensory data for as long as we need to appropriately, effectively, and efficiently provide you the Services.
We process the following categories of Personal Data as a matter of ""contractual necessity"", meaning that we need to process the data to perform under our Terms of Use with you, which enables us to provide you with the Services."
commercial data,we,services,"Commercial Data
We process the following categories of Personal Data as a matter of ""contractual necessity"", meaning that we need to process the data to perform under our Terms of Use with you, which enables us to provide you with the Services."
commercial data,we,"services, analytics, legal, security","Commercial Data
We process the following categories of Personal Data as a matter of ""contractual necessity"", meaning that we need to process the data to perform under our Terms of Use with you, which enables us to provide you with the Services."
cookie / pixel tag,Google,,"For example, Google LLC (""Google"") uses cookies in connection with its Google Analytics services."
cookie / pixel tag,we,"services, analytics","The Services use cookies and similar technologies such as pixel tags, web beacons, clear GIFs and JavaScript (collectively, ""Cookies"") to enable our servers to recognize your web browser, tell us how and when you visit and use our Services, analyze trends, learn about our user base and operate and improve our Services.
We use the following types of Cookies: Essential Cookies.
We use the following types of Cookies: Performance/Analytical Cookies."
credential,we,"services, analytics",For example: We retain your profile information and credentials for as long as you have an account with us.
credit / debit card number,Stripe,,"Our payment processing partner Stripe, Inc. (""Stripe"") collects your voluntarily-provided payment card information necessary to process your payment."
credit / debit card number,payment processing partner,,"Our payment processing partner Stripe, Inc. (""Stripe"") collects your voluntarily-provided payment card information necessary to process your payment."
customer support,we,"services, analytics","Third Parties : Vendors : We may use analytics providers to analyze how you interact and engage with the Services, or third parties may help us provide you with customer support."
information about you,we,"services, analytics","Third Parties : Advertising Partners : We receive information about you from some of our vendors who assist us with marketing or promotional services related to how you interact with our websites, applications, products, Services, advertisements or communications."
internal analytic,we,"services, analytics, legal, security","Privacy Policy

Personal Data

Our Commercial or Business Purposes for Collecting Personal Data

Providing, Customizing and Improving the Services : Improving the Services, including testing, research, internal analytics and product development."
ip address,we,"services, analytics","Device / IP Data
For example: We retain your device/IP data for as long as we need it to ensure that our systems are working appropriately, effectively, and efficiently to provide you the Services.
We process the following categories of Personal Data as a matter of ""contractual necessity"", meaning that we need to process the data to perform under our Terms of Use with you, which enables us to provide you with the Services."
ip address,we,"services, analytics, legal, security","Device / IP Data
For example: We retain your device/IP data for as long as we need it to ensure that our systems are working appropriately, effectively, and efficiently to provide you the Services.
We process the following categories of Personal Data as a matter of ""contractual necessity"", meaning that we need to process the data to perform under our Terms of Use with you, which enables us to provide you with the Services."
personal data of end user,we,"services, analytics","Note that we may also process Personal Data of our customers' end users or employees in connection with our provision of certain services to customers, in which case we are the processor of Personal Data."
product development,we,"services, analytics, legal, security","Privacy Policy

Personal Data

Our Commercial or Business Purposes for Collecting Personal Data

Providing, Customizing and Improving the Services : Improving the Services, including testing, research, internal analytics and product development."
profile,we,"services, analytics, legal, security","Profile or Contact Data
We process the following categories of Personal Data as a matter of ""contractual necessity"", meaning that we need to process the data to perform under our Terms of Use with you, which enables us to provide you with the Services."
profile information,we,"services, analytics, legal, security",For example: We retain your profile information and credentials for as long as you have an account with us.
public record,we,"services, analytics, legal, security",We collect Personal Data about you from the following categories of sources: Public Records
sensory data,we,"services, analytics, legal, security","Sensory Data
We process the following categories of Personal Data as a matter of ""contractual necessity"", meaning that we need to process the data to perform under our Terms of Use with you, which enables us to provide you with the Services."
social network data,we,"services, analytics, legal, security",We process the following categories of Personal Data when we believe it furthers the legitimate interest of us or third parties: Social Network Data
