data_type,collector,purpose,text
UNSPECIFIED_DATA,we,,"This enables you to ask us to suspend the processing of your personal data in the following scenarios: (a) if you want us to establish the data's accuracy; (b) where our use of the data is unlawful but you do not want us to erase it; (c) where you need us to hold the data even if we no longer require it as you need it to establish, exercise or defend legal claims; or (d) you have objected to our use of your data but we need to verify whether we have overriding legitimate grounds to use it.
We may collect and process the following data about you: When we engage you to provide us with your goods or services, we may collect data as follows: your name, your email address, your phone number, your quotes, transaction details about payments made to you, your bank details and other details of services or goods we have purchased from you.
We may collect and process the following data about you: When you visit Our Site, we may collect data such as information about your geolocation, weblogs and other communication that is available from the browser."
bank detail,we,,"We may collect and process the following data about you: When we engage you to provide us with your goods or services, we may collect data as follows: your name, your email address, your phone number, your quotes, transaction details about payments made to you, your bank details and other details of services or goods we have purchased from you."
communication,we,,"We may collect and process the following data about you: When you visit Our Site, we may collect data such as information about your geolocation, weblogs and other communication that is available from the browser."
contact information,we,,"We may collect and process the following data about you: If you submit a job application to us, we will collect your contact details and any other information that you provide in the application.
We may collect and process the following data about you: When you contact us by any other means (e.g. email or telephone), we may keep a record of that contact and the information you provide us with at the time.
We may collect and process the following data about you: When you fill in a form on our website to request a demo, we will collect your contact details and the information you provide in the form."
customer success tool provider help,we,"analytics, security, services, legal","We may disclose your personal data with third-parties as follows: With other service providers who we engage to assist us in providing our services (such as hosting partners which host our servers, with a customer success tool provider that helps us improve your experience when using our services, emails broadcaster that helps us in sending you monthly marketing and technical information, forum providers which enable our users to exchange ideas on how to improve our services, and financial services providers which process payments made to and from us) in order to comply with our contractual obligations as set out in our terms of service and other agreements in place."
datum about you,we,"analytics, security, services","We may collect and process the following data about you: When you engage us to provide you with our services, we may collect data about you as follows: your name, your email address, your password, your telephone number, including your mobile number, your company billing address and your company's banking details."
datum relate to usage of service,we,"analytics, security, services","We may collect and process the following data about you: When you use our services, we may collect information provided at the time of registering with www.glasscubes.com (""Our Site""), or requesting services or information from us as follows: your name, your email address, your phone number, and any data relating to your usage of our services."
detail of service we purchase from you,we,"analytics, security, services","We may collect and process the following data about you: When we engage you to provide us with your goods or services, we may collect data as follows: your name, your email address, your phone number, your quotes, transaction details about payments made to you, your bank details and other details of services or goods we have purchased from you."
detail of service you purchase from we,we,"analytics, security, services","We may also collect information about your assets, transaction details about payments made to and from you and other details of services you have purchased from us."
email address,we,"analytics, security, services","We may collect and process the following data about you: When we engage you to provide us with your goods or services, we may collect data as follows: your name, your email address, your phone number, your quotes, transaction details about payments made to you, your bank details and other details of services or goods we have purchased from you.
We may collect and process the following data about you: When you use our services, we may collect information provided at the time of registering with www.glasscubes.com (""Our Site""), or requesting services or information from us as follows: your name, your email address, your phone number, and any data relating to your usage of our services."
email address,we,"analytics, security, services, legal","We may collect and process the following data about you: When we engage you to provide us with your goods or services, we may collect data as follows: your name, your email address, your phone number, your quotes, transaction details about payments made to you, your bank details and other details of services or goods we have purchased from you.
We may collect and process the following data about you: When you use our services, we may collect information provided at the time of registering with www.glasscubes.com (""Our Site""), or requesting services or information from us as follows: your name, your email address, your phone number, and any data relating to your usage of our services."
financial service provider process payment make to,we,"analytics, security, services, legal","We may disclose your personal data with third-parties as follows: With other service providers who we engage to assist us in providing our services (such as hosting partners which host our servers, with a customer success tool provider that helps us improve your experience when using our services, emails broadcaster that helps us in sending you monthly marketing and technical information, forum providers which enable our users to exchange ideas on how to improve our services, and financial services providers which process payments made to and from us) in order to comply with our contractual obligations as set out in our terms of service and other agreements in place."
forum provider,we,"analytics, security, services, legal","We may disclose your personal data with third-parties as follows: With other service providers who we engage to assist us in providing our services (such as hosting partners which host our servers, with a customer success tool provider that helps us improve your experience when using our services, emails broadcaster that helps us in sending you monthly marketing and technical information, forum providers which enable our users to exchange ideas on how to improve our services, and financial services providers which process payments made to and from us) in order to comply with our contractual obligations as set out in our terms of service and other agreements in place."
geolocation,we,"analytics, security, services","We may collect and process the following data about you: When you visit Our Site, we may collect data such as information about your geolocation, weblogs and other communication that is available from the browser."
glasscubes limited,we,"analytics, security, services, legal","PRIVACY POLICY

Glasscubes Limited ("" we "", "" us "") are committed to protecting and respecting your privacy and personal data."
hosting partner,we,"analytics, security, services, legal","We may disclose your personal data with third-parties as follows: With other service providers who we engage to assist us in providing our services (such as hosting partners which host our servers, with a customer success tool provider that helps us improve your experience when using our services, emails broadcaster that helps us in sending you monthly marketing and technical information, forum providers which enable our users to exchange ideas on how to improve our services, and financial services providers which process payments made to and from us) in order to comply with our contractual obligations as set out in our terms of service and other agreements in place."
information about asset,we,"analytics, security, services","We may also collect information about your assets, transaction details about payments made to and from you and other details of services you have purchased from us."
information about preference,we,"analytics, security, services","They enable us: to store information about your preferences, and so allow us to customise Our Site according to your individual interests;"
information provide at time of,we,"analytics, security, services","We may collect and process the following data about you: When you use our services, we may collect information provided at the time of registering with www.glasscubes.com (""Our Site""), or requesting services or information from us as follows: your name, your email address, your phone number, and any data relating to your usage of our services."
information you provide in application,we,"analytics, security, services","We may collect and process the following data about you: If you submit a job application to us, we will collect your contact details and any other information that you provide in the application."
information you provide in form,we,"analytics, security, services","We may collect and process the following data about you: When you fill in a form on our website to request a demo, we will collect your contact details and the information you provide in the form."
information you provide to we,we,"analytics, security, services","We may collect and process the following data about you: When you complete a survey or participate in competitions, we may collect the information that you provide to us for research purposes."
person name,we,"analytics, security, services","We may collect and process the following data about you: When we engage you to provide us with your goods or services, we may collect data as follows: your name, your email address, your phone number, your quotes, transaction details about payments made to you, your bank details and other details of services or goods we have purchased from you.
We may collect and process the following data about you: When you use our services, we may collect information provided at the time of registering with www.glasscubes.com (""Our Site""), or requesting services or information from us as follows: your name, your email address, your phone number, and any data relating to your usage of our services."
person name,we,"analytics, security, services, legal","We may collect and process the following data about you: When we engage you to provide us with your goods or services, we may collect data as follows: your name, your email address, your phone number, your quotes, transaction details about payments made to you, your bank details and other details of services or goods we have purchased from you.
We may collect and process the following data about you: When you use our services, we may collect information provided at the time of registering with www.glasscubes.com (""Our Site""), or requesting services or information from us as follows: your name, your email address, your phone number, and any data relating to your usage of our services."
personal datum in structured use machine readable format,UNSPECIFIED_ACTOR,,"We will provide to you, or a third party you have chosen, your personal data in a structured, commonly used, machine-readable format."
personal datum in structured use machine readable format,we,"analytics, security, services","We will provide to you, or a third party you have chosen, your personal data in a structured, commonly used, machine-readable format."
personal datum of prospect customer,we,"analytics, security, services",We may collect and process the following data about you: We may collect personal data of prospect customers from third-parties in order to develop our business and our customer relationship list.
quote,we,"analytics, security, services, legal","We may collect and process the following data about you: When we engage you to provide us with your goods or services, we may collect data as follows: your name, your email address, your phone number, your quotes, transaction details about payments made to you, your bank details and other details of services or goods we have purchased from you."
support,we,"analytics, security, services, legal","To administer and protect our business and the services we provide to you (including troubleshooting, data analysis, testing, system maintenance, support, reporting and hosting of data) on the basis that it is necessary to comply with our contractual obligation to you and that we have a legitimate interest to do so (for running the services you use, the provision of administration and IT services, network security and to prevent fraud)."
system maintenance,we,"analytics, security, services, legal","To administer and protect our business and the services we provide to you (including troubleshooting, data analysis, testing, system maintenance, support, reporting and hosting of data) on the basis that it is necessary to comply with our contractual obligation to you and that we have a legitimate interest to do so (for running the services you use, the provision of administration and IT services, network security and to prevent fraud)."
transaction detail about payment make to,we,"analytics, security, services, legal","We may also collect information about your assets, transaction details about payments made to and from you and other details of services you have purchased from us."
transaction detail about payment make to you,we,"analytics, security, services, legal","We may collect and process the following data about you: When we engage you to provide us with your goods or services, we may collect data as follows: your name, your email address, your phone number, your quotes, transaction details about payments made to you, your bank details and other details of services or goods we have purchased from you."
