data_type,collector,purpose,text
UNSPECIFIED_DATA,advertiser,"advertising, analytics","However, we may disclose your information to third-party advertising partners to market our own Services and grow our Services' user base, such as to provide targeted marketing about our own Services via third-party services."
UNSPECIFIED_DATA,business partner,services,"At your request, we may provide information to business partners to provide you with a product or service of interest to you."
UNSPECIFIED_DATA,business partner with whom we offer product,,We may also provide information to business partners with whom we jointly offer products or services.
UNSPECIFIED_DATA,we,"advertising, analytics, legal, security, services","Additionally, we may retain certain information for a longer period if necessary to comply with legal obligations, such as record-keeping requirements, or if otherwise required or permitted by applicable law.
At your request, we may provide information to business partners to provide you with a product or service of interest to you.
However, we may disclose your information to third-party advertising partners to market our own Services and grow our Services' user base, such as to provide targeted marketing about our own Services via third-party services.
Please note that even if you opt out, we may still collect and use your information for other purposes that were not based on your consent.
Upon cancellation of your subscription, we will retain your data for an additional 90 days to allow you to retrieve any necessary information or to comply with any legal obligations.
We collect information from you when you use our services, including when you register for an account, use our products or services, and interact with our website or support team.
We may also collect information from third-party sources, including social media platforms and other data providers.
We may also provide information to business partners with whom we jointly offer products or services.
We may also use your information for research and analysis purposes, to detect and prevent fraud, and to comply with legal and regulatory obligations.
We may disclose information to our affiliated entities, who are under common ownership and/or control with us.
We may disclose your information to other third parties, including other users, in the following circumstances:  Workspaces Accessible by Other Users:
We may disclose your information to the following categories of third parties:
We may use your information to provide and improve our services, personalize your experience, and communicate with you.
We process your data based on our legitimate interests, such as conducting research and development, ensuring network and information security, preventing fraud, measuring engagement with our Services, and communicating with you about your account and any changes to our policies."
aggregate / deidentified / pseudonymized information,we,"advertising, analytics, legal, security, services","We may use de-identified and/or aggregated information that can no longer be reasonably linked to you or your device for research, internal analysis, and other legally permissible purposes."
information about you,UNSPECIFIED_ACTOR,,We may share information about you and your workspaces with your organization based on our contractual obligations and legitimate interests in providing and managing these services.
information about you,we,"advertising, analytics, legal, security, services",We may share information about you and your workspaces with your organization based on our contractual obligations and legitimate interests in providing and managing these services.
information process,we,"advertising, analytics, legal, security, services","4. International Data Transfers At CustomerIQ, Inc, we may transfer, process, and store all information processed by us anywhere in the world, including but not limited to, the United States or other countries that may have data protection laws that are different from the laws where you live."
information we collect,we,"advertising, analytics, legal, security, services","At CustomerIQ, Inc., we use the information we collect for a variety of business purposes, and we do so based on the following legal grounds:  Providing the Services or Requested Information : We process your personal data to fulfill our contractual obligations to you, manage your account, process payments, respond to your inquiries, and provide customer or technical support."
information we collect about you,UNSPECIFIED_ACTOR,,Service Providers: We may disclose information we collect about you to our third-party service providers.
information we collect about you,we,"advertising, analytics, legal, security, services",Service Providers: We may disclose information we collect about you to our third-party service providers.
information we store in association with you,UNSPECIFIED_ACTOR,,"We may access, preserve, and disclose any information we store in association with you to external parties if we, in good faith, believe doing so is required or appropriate to: (i) comply with law enforcement or national security requests and legal process, such as a court order or subpoena; (ii) protect your, our, or others' rights, property, or safety; (iii) enforce our policies or contracts; (iv) collect amounts owed to us; or (v) assist with an investigation and prosecution of suspected or actual illegal activity."
information we store in association with you,we,"advertising, analytics, legal, security, services","We may access, preserve, and disclose any information we store in association with you to external parties if we, in good faith, believe doing so is required or appropriate to: (i) comply with law enforcement or national security requests and legal process, such as a court order or subpoena; (ii) protect your, our, or others' rights, property, or safety; (iii) enforce our policies or contracts; (iv) collect amounts owed to us; or (v) assist with an investigation and prosecution of suspected or actual illegal activity."
internet activity,we,"advertising, analytics, legal, security, services",We may also collect cookies and usage data.
precise geolocation,we,"advertising, analytics, legal, security, services","With your consent, we may also collect precise location information if you use our Apps."
profile information of user within workspace,UNSPECIFIED_ACTOR,,"We allow organizations to access the profile information of users within their workspace, including to allow such organization to validate that such user is actually authorized by such organization to use the Services."
setting you update preference in service,customeriq inc,,"CustomerIQ, Inc provides settings for you to update your preferences in our Services."
