data_type,collector,purpose,text
UNSPECIFIED_DATA,UNSPECIFIED_ACTOR,,"Moreover, you understand and hereby consent that this Information may be transferred to any third party for the purpose of providing Services through the Platform or to any third-party providers for rendering Services, any jointly developed or marketed services, payment processing, order fulfilment, customer services, data analysis, information technology services and such other services which enable us to provide Services through the Platform.
Please note that by providing the Information (as defined here in below), you provide your consent and authorize us to collect, use or disclose such Information for the Legitimate Purpose (as defined below) and as stated in this Privacy Policy and as permitted or required by applicable law.
Sometimes, we share your information with our third-party Service Providers, who help us provide and support our Services."
UNSPECIFIED_DATA,advisor,legal,"To provide information to representatives and advisors, including attorneys and accountants, to help us comply with legal, accounting, or security requirements."
UNSPECIFIED_DATA,representative,legal,"To provide information to representatives and advisors, including attorneys and accountants, to help us comply with legal, accounting, or security requirements."
UNSPECIFIED_DATA,we,"advertising, legal, security, services","As is true with most websites, our Company gathers some information automatically when you visit the platform.
Privacy Policy

10. How We Collect Information
Privacy Policy

8. Information We Collect
Sometimes, we share your information with our third-party Service Providers, who help us provide and support our Services.
Upon request, we will provide you with information about whether we hold, or process on behalf of a third party, any of your Personal Information.
We collect and use this location-related data in order to
We may also retain and use your information in order to comply with our legal obligations, resolve disputes, prevent abuse, and enforce our Agreements.
We may collect information about others from you, including your emergency contacts, and only use this information for the reason it was provided.
We use your data to provide and improve the Platform.
We will retain your information for as long as your account is active or as long as needed to provide you with our Services."
accountant,advisor,legal,"To provide information to representatives and advisors, including attorneys and accountants, to help us comply with legal, accounting, or security requirements."
attorney,advisor,legal,"To provide information to representatives and advisors, including attorneys and accountants, to help us comply with legal, accounting, or security requirements."
centre road,we,"advertising, legal, security, services, analytics","Spotbee Inc , having its registered office at 1013 Centre Road, Suite-403 B, Wilmington, County of New Castle, Delaware- 19805-1270 ("" us "", "" we "", or "" our "", "" Company "" or "" Bookee "") is the owner and operates the website available at https://www.bookeeapp.com/ or and all other variations of the same and as mobile applications available on the Google Play store/Apple AppStore, developed by Spotbee, Inc. ("" App "") respectively (collectively referred to as "" Platform "")."
content delivery service,service providers,,"Examples of Service Providers include hosting services and content delivery services, and payment processors."
cookie / pixel tag,UNSPECIFIED_ACTOR,"advertising, analytics","We and our third-party partners may use cookies and other tracking technologies, such as pixels and web beacons, to gather information about your activities on our websites and other sites in order to provide you with targeted advertising based on your browsing activities and interests."
cookie / pixel tag,we,"advertising, legal, security, services, analytics","Our Platform may utilize ""cookies"" and other Technical Information.
We and our third-party partners may use cookies and other tracking technologies, such as pixels and web beacons, to gather information about your activities on our websites and other sites in order to provide you with targeted advertising based on your browsing activities and interests.
We use cookies to enhance your website experience."
email address,we,"advertising, legal, security, services, analytics",", we may collect Personal Information about a Website visitor, Subscriber, person or email address on or related to a customer list, or customer."
feedback,we,"advertising, legal, security, services, analytics","We may communicate with you about offers and promotions offered by Bookee and others we think will be of interest to you, solicit your feedback, or keep you up to date on Bookee and our products."
geolocation,service provider,,We and our service providers collect information about your location when you use or access Services.
geolocation,we,"advertising, legal, security, services, analytics",We and our service providers collect information about your location when you use or access Services.
host service,service providers,,"Examples of Service Providers include hosting services and content delivery services, and payment processors."
information about computer,we,"advertising, legal, security, services, analytics","When you use the platform, we may collect certain information about your computer or mobile to facilitate, evaluate and verify your use of the platform."
information be,we,"advertising, legal, security, services, analytics","For example, if you elect to connect your third-party account to the Platform account, certain information from such third-party account may be shared with us, including information that's part of your profile or your friends' profiles."
information in customer list,we,"advertising, legal, security, services, analytics",We will use and disclose the information in your customer lists only for the reasons discussed in this document.
information provide,UNSPECIFIED_ACTOR,"advertising, analytics","We may also, unless prohibited by the Promotion's rules or law, use the information provided to communicate with you, or other people you select, about our Services.
We may share this information with our affiliates and other organizations or Service Providers in line with this policy and the rules posted for the Promotion."
information provide,service providers,,"We may also, unless prohibited by the Promotion's rules or law, use the information provided to communicate with you, or other people you select, about our Services.
We may share this information with our affiliates and other organizations or Service Providers in line with this policy and the rules posted for the Promotion."
information provide,we,"advertising, legal, security, services, analytics","We may also, unless prohibited by the Promotion's rules or law, use the information provided to communicate with you, or other people you select, about our Services.
We may share this information with our affiliates and other organizations or Service Providers in line with this policy and the rules posted for the Promotion."
internet activity,UNSPECIFIED_ACTOR,"advertising, analytics","We and our third-party partners may use cookies and other tracking technologies, such as pixels and web beacons, to gather information about your activities on our websites and other sites in order to provide you with targeted advertising based on your browsing activities and interests."
internet activity,we,"advertising, legal, security, services, analytics","We and our third-party partners may use cookies and other tracking technologies, such as pixels and web beacons, to gather information about your activities on our websites and other sites in order to provide you with targeted advertising based on your browsing activities and interests."
payment processor,service providers,,"Examples of Service Providers include hosting services and content delivery services, and payment processors."
personal information we process on behalf of subscriber,we,"advertising, legal, security, services, analytics","We will retain Personal Information we process on behalf of our Subscribers for as long as needed to provide our Services or to comply with our legal obligations, resolve disputes, prevent abuse, and enforce our agreements."
platform,we,"advertising, legal, security, services, analytics","Privacy Policy

4. Definitions

"" End-User/Customer "" means any person or entity who interacts with Services any individual who interacts with the Services, including users of our mobile applications such as the Platform, and individuals who book appointments, purchase services and otherwise interact with ourSubscribers through the Services."
technical information,we,"advertising, legal, security, services, analytics","Our Platform may utilize ""cookies"" and other Technical Information."
