data_type,collector,purpose,text
UNSPECIFIED_DATA,UNSPECIFIED_ACTOR,,"Individuals can also request that we transmit their data to another entity where technically feasible.
Third parties on our Site may use cookies and similar tracking technologies to collect information and infer interests for interest-based advertising purposes.
We share information with our customers, partners, certain third parties, and as required by law."
UNSPECIFIED_DATA,we,,"Individuals can also request that we transmit their data to another entity where technically feasible.
We also collect information using cookies and similar technologies, as described below under the ""Cookies and Similar Technologies"" section.
We also share some information publicly through our Public Directory.
We may also collect data automatically through use of our Services, as described in the ""Cookies and Similar Technologies"" section below.
We provide this information to our customers, who are businesses trying to reach business professionals for their own business-to-business sales, marketing, and recruiting activities.
We share information with our customers, partners, certain third parties, and as required by law.
ZoomInfo collects business contact and similar information related to individuals when they are working in their professional or employment capacity and uses this information to create professional profiles of individuals and profiles of businesses."
UNSPECIFIED_DATA,we,"services, advertising, analytics, security","Individuals can also request that we transmit their data to another entity where technically feasible.
We also collect information using cookies and similar technologies, as described below under the ""Cookies and Similar Technologies"" section.
We also share some information publicly through our Public Directory.
We may also collect data automatically through use of our Services, as described in the ""Cookies and Similar Technologies"" section below.
We provide this information to our customers, who are businesses trying to reach business professionals for their own business-to-business sales, marketing, and recruiting activities.
We share information with our customers, partners, certain third parties, and as required by law.
ZoomInfo collects business contact and similar information related to individuals when they are working in their professional or employment capacity and uses this information to create professional profiles of individuals and profiles of businesses."
attachment,we,,"Depending on the specific Services being used, we may collect email header information, email subjects, email bodies and attachments, and calendar meeting information such as meeting participants, meeting description, subject, and date and time of the meeting."
biometric information,we,,We may collect biometric information of Chorus customers when such customers have provided us with their consent to do so.
browsing / search history,service provider,,"When individuals visit our Site, that service provider may set cookies on our behalf and may receive information about such individuals' browsing activity on our Site."
business information from zoominfo,crm,,"In using ZoomInfo's Integrations, such as ZoomInfo's SFNA and web browser extensions, Business Information from ZoomInfo may be disclosed to a customer's CRM, MAT, or sales enablement software as requested or directed by our customers."
business information from zoominfo,mat,,"In using ZoomInfo's Integrations, such as ZoomInfo's SFNA and web browser extensions, Business Information from ZoomInfo may be disclosed to a customer's CRM, MAT, or sales enablement software as requested or directed by our customers."
business information from zoominfo,sale enablement software,,"In using ZoomInfo's Integrations, such as ZoomInfo's SFNA and web browser extensions, Business Information from ZoomInfo may be disclosed to a customer's CRM, MAT, or sales enablement software as requested or directed by our customers."
company name,we,services,"We may also collect other information such as the user's name, email, company name, and information about the user's account with us."
cookie / pixel tag,Google,analytics,"Google Analytics uses cookies or other tracking technologies to help us analyze how users interact with and use the Site, compile reports on the Site's activity, and provide other services related to Site activity and usage."
cookie / pixel tag,UNSPECIFIED_ACTOR,"advertising, analytics, services","Our partners, affiliates, tracking utility company, and service providers may use session ID cookies in order to:
Third parties on our Site may use cookies and similar tracking technologies to collect information and infer interests for interest-based advertising purposes."
cookie / pixel tag,analytic provider,"advertising, analytics, services","Our partners, affiliates, tracking utility company, and service providers may use session ID cookies in order to:"
cookie / pixel tag,service provider,"advertising, analytics, services","Our partners, affiliates, tracking utility company, and service providers may use session ID cookies in order to:"
credit / debit card number,purchaser of online base service,,Purchasers of our online subscription-based Services may need to provide credit card or other payment information.
credit / debit card number,service provider,"advertising, analytics, services, security","Information such as name, billing address, phone number, email address, and credit card information will be submitted to service providers for verification and to manage any recurring payments."
