data_type,collector,purpose,text
UNSPECIFIED_DATA,UNSPECIFIED_ACTOR,,"We (and those who perform work for us) use various technologies to collect information, and this may include sending cookies to your computer or mobile device."
UNSPECIFIED_DATA,service provider,,"Therefore, we and our service providers may transfer your information to, or store or access it in, jurisdictions that may not provide equivalent levels of data protection as your home jurisdiction."
UNSPECIFIED_DATA,we,"advertising, analytics, legal, security, services","Descript is based in the United States and we process and store information in the U.S.
For example, we may collect information from social networks, advertising networks, internet service providers, and data analytics providers.
For example, we may collect information when you create an account with Descript, fill out a form, create a project, upload content, request support, send us an email, or otherwise communicate or interact with us.
If you wish to delete or deactivate your account, contact support@descript.com , but note that we may retain certain information as required by law or for legitimate business purposes.
Therefore, we and our service providers may transfer your information to, or store or access it in, jurisdictions that may not provide equivalent levels of data protection as your home jurisdiction.
This information includes handles, content, and other information shared with us through third-party features that you use on the Descript Service or posted on social media pages (such as our social media page or other pages accessible to us).
We (and those who perform work for us) use various technologies to collect information, and this may include sending cookies to your computer or mobile device.
We may also collect information using web beacons (also known as ""tracking pixels"").
We may also use and disclose applicants' information (a) to improve the Site, (b) as otherwise necessary to comply with relevant laws, (c) to respond to subpoenas or warrants served on Descript, and (d) to protect and defend the rights or property of Descript or others.
We obtain information from other sources.
We use applicants' information to facilitate our recruitment activities and process applications, including evaluating candidates and monitoring recruitment and hiring statistics.
We use successful candidates' information to administer the employment or independent contractor relationship."
aggregate / deidentified / pseudonymized information,we,"advertising, analytics, legal, security, services",We may also disclose aggregated or anonymized information that does not directly identify you.
cache copy of information about you,we,"advertising, analytics, legal, security, services",We may also retain cached or archived copies of information about you for a certain period of time.
content,we,"advertising, analytics, legal, security, services","For example, we may collect information from social networks, advertising networks, internet service providers, and data analytics providers.
This information includes handles, content, and other information shared with us through third-party features that you use on the Descript Service or posted on social media pages (such as our social media page or other pages accessible to us)."
cookie / pixel tag,UNSPECIFIED_ACTOR,,"These entities may use cookies, web beacons, device identifiers and other technologies to collect information about your use of the Descript Service, including your IP address, web browser, mobile network information, pages viewed, time spent on pages or in apps, links clicked, and conversion information."
detail about subscription,we,"advertising, analytics, legal, security, services","Additionally, if you subscribe to Descript, we collect details about your subscription like the type, duration, cost, and start date of your subscription, and we work with a third-party payment processor to collect and process your payment information."
device identifier,UNSPECIFIED_ACTOR,,"These entities may use cookies, web beacons, device identifiers and other technologies to collect information about your use of the Descript Service, including your IP address, web browser, mobile network information, pages viewed, time spent on pages or in apps, links clicked, and conversion information."
email address,we,"advertising, analytics, legal, security, services","The types of information we collect may include your name, email address, postal address, password, content like video, voice, or audio recordings and images, and other information you choose to provide."
handle,we,"advertising, analytics, legal, security, services","For example, we may collect information from social networks, advertising networks, internet service providers, and data analytics providers.
This information includes handles, content, and other information shared with us through third-party features that you use on the Descript Service or posted on social media pages (such as our social media page or other pages accessible to us)."
image,we,"advertising, analytics, legal, security, services","The types of information we collect may include your name, email address, postal address, password, content like video, voice, or audio recordings and images, and other information you choose to provide."
information we collect from you,we,"advertising, analytics, legal, security, services","We may use information we collect from you for various purposes, including to:"
information you choose,we,"advertising, analytics, legal, security, services","The types of information we collect may include your name, email address, postal address, password, content like video, voice, or audio recordings and images, and other information you choose to provide."
information you provide in connection with application,we,"advertising, analytics, legal, security, services","When you apply for a position with Descript, we collect the information that you provide in connection with your application."
information you provide to we,we,"advertising, analytics, legal, security, services",We collect information you provide directly to us.
non-personal information,we,"advertising, analytics, legal, security, services",We may also disclose aggregated or anonymized information that does not directly identify you.
password,we,"advertising, analytics, legal, security, services","The types of information we collect may include your name, email address, postal address, password, content like video, voice, or audio recordings and images, and other information you choose to provide."
person name,we,"advertising, analytics, legal, security, services","The types of information we collect may include your name, email address, postal address, password, content like video, voice, or audio recordings and images, and other information you choose to provide."
personal information between,we,"advertising, analytics, legal, security, services","However, in certain circumstances, as described below or as otherwise described in this Privacy Policy, we disclose personal information as follows: We may disclose personal information between and among us and our current and future parents, affiliates, and subsidiaries and other companies under common control and ownership; and"
postal address,we,"advertising, analytics, legal, security, services","The types of information we collect may include your name, email address, postal address, password, content like video, voice, or audio recordings and images, and other information you choose to provide."
related information,we,"advertising, analytics, legal, security, services",We may also conduct background checks and receive related information.
training datum associate with ai speakers,we,"advertising, analytics, legal, security, services","We may also use and store other training data associated with AI Speakers as part of our research datasets to analyze, maintain, and improve our technology, including our voice technology, and for other research and development and data analysis purposes."
visual information,we,"advertising, analytics, legal, security, services","We collect the following categories of personal information: identifiers, commercial information, internet of electronic network activity information, audio/visual information, and inferences."
voice,we,"advertising, analytics, legal, security, services","When you use AI Speakers, we record your voice and use it to create a voice model for the purpose of providing the Descript Service."
voiceprint,we,"advertising, analytics, legal, security, services","We will retain those voiceprints until the purpose of collection has been satisfied or for up to three years after you last accessed your account, whichever occurs first."
