data_type,collector,purpose,text
UNSPECIFIED_DATA,we,"legal, services",", if this is not possible (for example, because the information has been stored in backup archives), then we will securely store your information and isolate it from any further use until deletion is possible.
At the end of a retention period, we will either delete or anonymize the Personal Information
It explains how we collect and treat information through your use of our team collaboration tools, website, and related services and your interactions with us by any means (the ""Services"").
Please note, however, that we may need to retain certain information for record keeping purposes, to complete transactions or to comply with our legal obligations.
The Services also collect data about your device (e.g., IP address, operating system, browser type, device ID, mobile network information) and your generalized geolocation when using the Services.
We collect this information with your consent, and we use it to respond to your inquiries, to improve and develop our Services, and to market the Services to you according to your preferences and as permitted by applicable law.
We must sometimes transfer data across jurisdictional boundaries to provide our Services to Customers located outside of the United States."
analytic provider,service provider,,"Steady uses a variety of service providers such as data storage providers, data analytics services, push notification providers, and analytics services to support the Services."
commercial history,we,"legal, services","During the preceding 12 months, we have collected identifiers and internet and similar activity, as well as other categories of Personal Information if you choose to submit it, such as employment information and commercial history."
commercial history,we,"legal, services, analytics","During the preceding 12 months, we have collected identifiers and internet and similar activity, as well as other categories of Personal Information if you choose to submit it, such as employment information and commercial history."
contact information,we,"legal, services","Depending on the support you request, we may ask you to provide contact information, a summary of the problem you are experiencing, documentation, screenshots or other information that would be helpful in resolving the issue."
contact information,we,"legal, services, analytics","Depending on the support you request, we may ask you to provide contact information, a summary of the problem you are experiencing, documentation, screenshots or other information that would be helpful in resolving the issue."
content,we,"legal, services","You can create or submit content to the Services and grant permission to other team members to see, share, edit, copy and download that content based on settings you or your administrator (if applicable) select."
cookie / pixel tag,steady,services,"Steady uses cookies and related technologies (e.g., web beacons, and pixels) to provide functionality and to recognize on our Services across different devices."
cookie / pixel tag,we,"legal, services","We retain information derived from cookies and other tracking technologies for a reasonable period from the date such information was created.
We use first party cookies to enable certain functions on the Services and we use third party cookies that interact with your device only to perform tasks on our behalf."
data storage provider,service provider,,"Steady uses a variety of service providers such as data storage providers, data analytics services, push notification providers, and analytics services to support the Services."
documentation,we,"legal, services","Depending on the support you request, we may ask you to provide contact information, a summary of the problem you are experiencing, documentation, screenshots or other information that would be helpful in resolving the issue."
email address,we,"legal, services","For your account profile , we collect your name and email address."
email address,we,"legal, services, analytics","For your account profile , we collect your name and email address."
employment information,we,"legal, services","During the preceding 12 months, we have collected identifiers and internet and similar activity, as well as other categories of Personal Information if you choose to submit it, such as employment information and commercial history.
If you are a team member of a Steady Customer that Customer may provide us with your identifiers, employment information, or other Personal Information to create your account profile.
We collect and use this information to achieve our legitimate interest of fulfilling our contractual obligations as a service provider to the Customer."
employment information,we,"legal, services, analytics","During the preceding 12 months, we have collected identifiers and internet and similar activity, as well as other categories of Personal Information if you choose to submit it, such as employment information and commercial history.
If you are a team member of a Steady Customer that Customer may provide us with your identifiers, employment information, or other Personal Information to create your account profile.
We collect and use this information to achieve our legitimate interest of fulfilling our contractual obligations as a service provider to the Customer."
information about marketing preference,we,"legal, services","If you have elected to receive marketing emails from us, we retain information about your marketing preferences unless you specifically ask us to delete it."
information be,we,"legal, services","Depending on the support you request, we may ask you to provide contact information, a summary of the problem you are experiencing, documentation, screenshots or other information that would be helpful in resolving the issue."
internet activity,we,"legal, services","During the preceding 12 months, we have collected identifiers and internet and similar activity, as well as other categories of Personal Information if you choose to submit it, such as employment information and commercial history."
internet activity,we,"legal, services, analytics","During the preceding 12 months, we have collected identifiers and internet and similar activity, as well as other categories of Personal Information if you choose to submit it, such as employment information and commercial history."
method opt of sale,we,"legal, services","If this ever changes in the future, we will update this posting and provide you with methods to opt-out of such sale and sharing."
mobile network information,we,"legal, services, analytics","The Services also collect data about your device (e.g., IP address, operating system, browser type, device ID, mobile network information) and your generalized geolocation when using the Services.
We collect this information to achieve our legitimate interests of serving our Customers as a service provider and analyzing use trends to improve the Services."
option exercise privacy right relate to processing,we,"legal, services, analytics","If this changes in the future, we will update this Privacy Policy and provide you with an option to exercise your privacy rights related to such processing."
payment information you provide in connection with use of services,we,"legal, services, analytics","For example, we use a PCI-DSS compliant payment processor to collect and process any payment information you provide in connection with your use of the Services."
person name,we,"legal, services","For your account profile , we collect your name and email address."
person name,we,"legal, services, analytics","For your account profile , we collect your name and email address."
personal information contain in content,we,"legal, services, analytics","If you submit content to us on our website, we will collect any Personal Information contained in that content."
personal information from,we,"legal, services, analytics","In the preceding 12 months, we have disclosed Personal Information from all categories of collection to one or more of the following recipients:"
personal information within content,we,"legal, services, analytics","If you post, send, receive or share content on the Services, we will collect any Personal Information within that content and use it to enable you and your team members to use the Services."
pixel,steady,"services, advertising","Steady uses cookies and related technologies (e.g., web beacons, and pixels) to provide functionality and to recognize on our Services across different devices."
push notification provider,service provider,,"Steady uses a variety of service providers such as data storage providers, data analytics services, push notification providers, and analytics services to support the Services."
report,UNSPECIFIED_ACTOR,"advertising, services","Steady may disclose, share, or sell these analyses and reports to third parties for any purpose and without limitation."
report,steady,"services, advertising","Steady may disclose, share, or sell these analyses and reports to third parties for any purpose and without limitation."
screenshot,we,"legal, services, analytics","Depending on the support you request, we may ask you to provide contact information, a summary of the problem you are experiencing, documentation, screenshots or other information that would be helpful in resolving the issue."
