data_type,collector,purpose,text
UNSPECIFIED_DATA,UNSPECIFIED_ACTOR,,"Also if any bankruptcy or reorganization proceeding is brought by or against us, all such information may be considered an asset of ours and as such may be sold or transferred to third parties."
UNSPECIFIED_DATA,we,services,"We process your data in order to fulfill one or more of the following purposes: * manage your account, subscription and access and use of Ava Services, including information about your account status, invoicing and your compliance with our terms of use (the ""Terms""); * provide you the Services, including Ava's automatic automatic sound, speech and speaker recognition technology, where your personal data might be necessary in implementation of the Terms; * customize your experience of Ava, its Site or Services based on your hearing profile, when you consent explicitly to it, as such data may be considered as health data.
When you interact with us through the Services, we may collect Personal Information and other information from you when you provide such information, such as when you create an account (""Account""), complete and/or use one of our online forms, tools or content items, contact us with inquiries, respond to one of our surveys, or use certain Services."
automatic automatic sound recognition technology,we,"services, advertising, analytics, security","We process your data in order to fulfill one or more of the following purposes: * manage your account, subscription and access and use of Ava Services, including information about your account status, invoicing and your compliance with our terms of use (the ""Terms""); * provide you the Services, including Ava's automatic automatic sound, speech and speaker recognition technology, where your personal data might be necessary in implementation of the Terms; * customize your experience of Ava, its Site or Services based on your hearing profile, when you consent explicitly to it, as such data may be considered as health data."
cookie / pixel tag,we,"services, advertising, analytics","In addition to Session Trackers, we may use web beacons (also known as ""clear GIFs""), which are transparent graphic images placed on a web page or in an email and indicate that a page or email has been viewed or tell your browser to get content from another server.
We also use cookies to help us understand how people use our site and to serve Ava ads when you visit other sites.
We use web beacons to measure traffic to or from, or use of, our online forms, tools or content items and related browsing behavior and to improve your experience when using the Services."
cookie / pixel tag,we,"services, advertising, analytics, security","In addition to Session Trackers, we may use web beacons (also known as ""clear GIFs""), which are transparent graphic images placed on a web page or in an email and indicate that a page or email has been viewed or tell your browser to get content from another server.
We also use cookies to help us understand how people use our site and to serve Ava ads when you visit other sites.
We use web beacons to measure traffic to or from, or use of, our online forms, tools or content items and related browsing behavior and to improve your experience when using the Services."
device identifier,we,"services, advertising, analytics, security","We may use a Device Identifier to, among other things, administer the Services, help diagnose problems with our servers, analyze trends, track users' web page movements, monitor against theft and fraud, and gather broad demographic information for aggregate use."
information about,UNSPECIFIED_ACTOR,,"If another entity acquires us or our assets, or assets related to the Services, Personal Information, information about how the Services are accessed and used, and any other information that we have collected about the users of the Services may be disclosed to such entity as one of the transferred assets."
information about you,we,"services, advertising, analytics, security",We may receive information about you from third parties.
information we collect about user of services,UNSPECIFIED_ACTOR,,"If another entity acquires us or our assets, or assets related to the Services, Personal Information, information about how the Services are accessed and used, and any other information that we have collected about the users of the Services may be disclosed to such entity as one of the transferred assets."
ip address,feature,,"For example, the Services may include features from social media platforms such as Facebook, and we may enable you to register or log-in to the Services through a social media platform.
These features use Session Trackers to collect information about your IP address, and your use of the Services."
non-personal information,UNSPECIFIED_ACTOR,services,"These third parties may have access to Personal Information or non-Personal Information in order to perform their functions on our behalf.
We may share your Personal Information with unaffiliated third parties that provide certain services to us, including, but not limited to data analysis, payment processing."
services usage,we,"services, advertising, analytics, security","Session trackers help provide additional functionality to the Services, customize users' experiences with the Services and help us analyze Services usage more accurately for research and product development purposes."
