data_type,collector,purpose,text
UNSPECIFIED_DATA,UNSPECIFIED_ACTOR,,"The data may also be transmitted to third parties - entities other than Launchsoft or the subcontractors - such as companies within the Launchsoft group, companies with which Launchsoft develops partnerships, if the data subject has consented - or entities to which the data must be communicated by law, such as the tax authority."
UNSPECIFIED_DATA,company with launchsoft develop partnership,,"The data may also be transmitted to third parties - entities other than Launchsoft or the subcontractors - such as companies within the Launchsoft group, companies with which Launchsoft develops partnerships, if the data subject has consented - or entities to which the data must be communicated by law, such as the tax authority."
UNSPECIFIED_DATA,entity become,,"receive the data you have provided in a commonly used, machine-readable digital format or to request that your data be transmitted directly to another entity that becomes the new controller of your personal data, such as receiving your invoices or transmitting your contact details to the new controller, but in this case only if technically possible"
UNSPECIFIED_DATA,entity to communicate by law,,"The data may also be transmitted to third parties - entities other than Launchsoft or the subcontractors - such as companies within the Launchsoft group, companies with which Launchsoft develops partnerships, if the data subject has consented - or entities to which the data must be communicated by law, such as the tax authority."
UNSPECIFIED_DATA,launchsoft group,,"The data may also be transmitted to third parties - entities other than Launchsoft or the subcontractors - such as companies within the Launchsoft group, companies with which Launchsoft develops partnerships, if the data subject has consented - or entities to which the data must be communicated by law, such as the tax authority."
UNSPECIFIED_DATA,subcontractor,services,Your data may be passed on to subcontractors to process in the name and on behalf of LAUNCHSOFT.
UNSPECIFIED_DATA,we,,"From the user's Google Analytics account we obtain and store the following data: ""url"", ""country"", ""device-category"", ""session-duration"", ""bounce-rate"", ""page-views"", ""session-count"".
We obtain and store the following data from the user's Google Ads account: ""campaign-name"", ""investment-total"", ""total-leads"", ""cost-per-lead"", ""list-ctr"", ""page-views"", ""video-views"", ""total-reach"", ""conversion-rate"".
We obtain and store the following data from the user's Youtube account: ""followers"", ""n-comments"", ""unsub-per"", ""page-likes"", ""dislikes"", ""video-views""."
campaign name,we,,"We obtain and store the following data from the user's Google Ads account: ""campaign-name"", ""investment-total"", ""total-leads"", ""cost-per-lead"", ""list-ctr"", ""page-views"", ""video-views"", ""total-reach"", ""conversion-rate""."
cookie / pixel tag,we,services,Our website uses cookies to distinguish you from other users of our website.
country,we,services,"From the user's Google Analytics account we obtain and store the following data: ""url"", ""country"", ""device-category"", ""session-duration"", ""bounce-rate"", ""page-views"", ""session-count""."
datum collect,Google,"advertising, analytics","Google can use the data collected to contextualize and personalize the ads of its own advertising network.
Google uses the data collected to track and analyze the use of this website, prepare reports on its activities and share them with other Google services."
device category,we,services,"From the user's Google Analytics account we obtain and store the following data: ""url"", ""country"", ""device-category"", ""session-duration"", ""bounce-rate"", ""page-views"", ""session-count""."
email address,integration,,"The integration stores the name, email and token obtained during authentication."
email address,we,"services, advertising, analytics","We collect your name and email address when you register for a webinar or event, request a free resource or join a waiting list, via Infusionsoft (Privacy Policy).
We use this data to send you emails about useful advice and industry news and to notify you about services and products you may be interested in."
file,UNSPECIFIED_ACTOR,services,"For operation and maintenance purposes, this website and any third-party services may collect files that record interaction with this website (system logs) using other personal data (such as IP address) for this purpose."
file,we,"services, advertising, analytics","For operation and maintenance purposes, this website and any third-party services may collect files that record interaction with this website (system logs) using other personal data (such as IP address) for this purpose."
follower,we,"services, advertising, analytics","We obtain and store the following data from the user's Youtube account: ""followers"", ""n-comments"", ""unsub-per"", ""page-likes"", ""dislikes"", ""video-views""."
list of session at give time,we,"services, advertising, analytics",From the user's Zoom account we obtain and store the list of sessions and attendance at any given time.
name of file select,we,"services, advertising, analytics",From the user's Google Drive account we obtain and store the names of the files selected by the user.
person name,integration,,"The integration stores the name, email and token obtained during authentication."
person name,we,"services, advertising, analytics","In addition, we collect your surname and postal address when you purchase a product or course, as part of our payment provider's card verification and sales tax collection process.
We collect your name and email address when you register for a webinar or event, request a free resource or join a waiting list, via Infusionsoft (Privacy Policy).
We use this data to send you emails about useful advice and industry news and to notify you about services and products you may be interested in."
personal datum on public administration website,launchsoft,,"Launchsoft may also access, collect or confirm personal data on public administration and private entity websites, namely to confirm the accuracy of your identification and contact details."
postal address,we,"services, advertising, analytics","In addition, we collect your surname and postal address when you purchase a product or course, as part of our payment provider's card verification and sales tax collection process."
system log,UNSPECIFIED_ACTOR,services,"For operation and maintenance purposes, this website and any third-party services may collect files that record interaction with this website (system logs) using other personal data (such as IP address) for this purpose."
system log,we,"services, advertising, analytics","For operation and maintenance purposes, this website and any third-party services may collect files that record interaction with this website (system logs) using other personal data (such as IP address) for this purpose."
token,integration,,"The integration stores the name, email and token obtained during authentication."
traffic datum for page on instal,type of service,,"This type of service can still collect traffic data for the pages on which the service is installed, even when Users are not using it."
