data_type,collector,purpose,text
Facebook,social media,,"Our Website includes social media features such as the Facebook ""Like"" button that might include widgets such as the share this button or other interactive mini-programs."
UNSPECIFIED_DATA,UNSPECIFIED_ACTOR,,"We may share your information with our third-party service providers, to comply with legal obligations, to protect and defend our rights and property, or with your permission."
UNSPECIFIED_DATA,advertiser,,"We may allow third-party advertising partners to set tracking tools (e.g., cookies) to collect information regarding your activities (e.g., your IP address, pages visited, time of day).
We may also share such de-identified information as well as selected Personal Data (such as demographic information and past purchase history) we have collected with third-party advertising partners."
UNSPECIFIED_DATA,we,"analytics, security, services","After such time, we will either delete or anonymize your information or, if this is not possible (for example, because the information has been stored in backup archives), then we will securely store your information and isolate it from any further use until deletion is possible.
If we intend to process your personal data for a purpose other than that set out above, we will provide you with information prior to such processing and will obtain your consent where necessary.
This policy is intended to help you understand: WHAT INFORMATION WE COLLECT
We also use your information to provide requested assistance (either originated from you, or a person acting legitimately on your behalf) and to offer proactive support in case of itinerary changes.
We collect Your Customers' Data when you setup your account, import your client list, and/or they transact with you through your use of PocketSuite's products, for instance when they make a payment at your establishment, or schedule an appointment, or receive an invoice from you.
We may allow third-party advertising partners to set tracking tools (e.g., cookies) to collect information regarding your activities (e.g., your IP address, pages visited, time of day).
We may also share such de-identified information as well as selected Personal Data (such as demographic information and past purchase history) we have collected with third-party advertising partners.
We may process your information for any other purpose disclosed to you in connection with our Services from time to time.
We may share your information with our third-party service providers, to comply with legal obligations, to protect and defend our rights and property, or with your permission.
We use your contact information and information about how you use the Services to send promotional communications that may be of specific interest to you, including by email and by displaying ads on other companies' websites and applications, as well as on platforms like Facebook and Google.
We use your information to resolve technical issues you encounter, to respond to your requests for assistance, to analyze crash information, and to repair and improve the Services.
Where we retain information for Service improvement and development, we take steps to eliminate information that directly identifies you, and we only use the information to uncover collective insights about the use of our Services, not to specifically analyze personal characteristics about you."
aggregate / deidentified / pseudonymized information,UNSPECIFIED_ACTOR,,"We share Aggregate Information with our partners, service providers and other persons with whom we conduct business."
aggregate / deidentified / pseudonymized information,service provider,,"We share Aggregate Information with our partners, service providers and other persons with whom we conduct business."
aggregate / deidentified / pseudonymized information,we,"analytics, security, services","We collect Personal Data and Anonymous Data, as described below.
We may also collect Anonymous Data from your mobile device if you have downloaded our applications.
We may receive Personal and/or Anonymous Data about you from companies that provide our Services by way of a co-branded or private-labeled website or companies that offer their products and/or services on our Services.
We share Aggregate Information with our partners, service providers and other persons with whom we conduct business."
analytics information,UNSPECIFIED_ACTOR,,"The Analytics Services may also transfer the Analytics Information to third parties where required to do so by law, or where such third parties process Analytics Information on their behalf."
analytics information,analytics services,analytics,"The Analytics Services may also transfer the Analytics Information to third parties where required to do so by law, or where such third parties process Analytics Information on their behalf.
The Analytics Services use Analytics Information to compile reports on user activity.
The information generated by the Cookies or other technologies about your use of our Site and Services (the ""Analytics Information"") is transmitted to the Analytics Services."
billing information,we,"analytics, security, services","When Your Customers use PocketSuite to make or record payments to you, we collect information about when and where the transactions occur, the names of the transacting parties, a description of the transactions which may include item-level data, the payment or transfer amounts, billing and shipping information, and the devices and payment methods used to complete the transactions."
