data_type,collector,purpose,text
UNSPECIFIED_DATA,UNSPECIFIED_ACTOR,,"We may share your information with third parties in limited circumstances, including: (1) with your consent (for example, when you use our Services to share User Content with other Users within your organization); (2) with our third-party service providers who use that information to help us provide our Services (e.g., IT support, hosting, payment processing, customer service, and related services); or (3) when we have a good faith belief it is required by law, such as pursuant to a subpoena or other legal process, or otherwise required to protect your, our, or others' rights, property, or safety; enforce our policies or contracts; collect amounts owed to us; or assist with an investigation or prosecution of suspected or actual illegal activity."
UNSPECIFIED_DATA,we,"advertising, analytics, legal","However, we may gather information from cookies and similar technologies for the purposes of monitoring and improving our Site and understanding and improving the effectiveness of our advertising.
Table of Contents

How we disclose data
Table of Contents

How we use data
We may retain certain information as required by law or as necessary for our legitimate business purposes.
We may share your information with third parties in limited circumstances, including: (1) with your consent (for example, when you use our Services to share User Content with other Users within your organization); (2) with our third-party service providers who use that information to help us provide our Services (e.g., IT support, hosting, payment processing, customer service, and related services); or (3) when we have a good faith belief it is required by law, such as pursuant to a subpoena or other legal process, or otherwise required to protect your, our, or others' rights, property, or safety; enforce our policies or contracts; collect amounts owed to us; or assist with an investigation or prosecution of suspected or actual illegal activity.
We use your information in the following ways:
We will also retain and use this information as necessary for the purposes set out in this Privacy Policy and to the extent necessary to comply with our legal obligations, resolve disputes, enforce our agreements and protect Range's legal rights.
We will retain data as long as your account is active, as necessary to provide you with the Services or as otherwise set forth in this Privacy Policy.
When you connect your Range account with additional third-party services (such as Asana, Dropbox, Jira, etc), we may collect and store information associated with that third-party account and its underlying resources."
UNSPECIFIED_DATA,we,"advertising, analytics, legal, services","However, we may gather information from cookies and similar technologies for the purposes of monitoring and improving our Site and understanding and improving the effectiveness of our advertising.
Table of Contents

How we disclose data
Table of Contents

How we use data
We may retain certain information as required by law or as necessary for our legitimate business purposes.
We may share your information with third parties in limited circumstances, including: (1) with your consent (for example, when you use our Services to share User Content with other Users within your organization); (2) with our third-party service providers who use that information to help us provide our Services (e.g., IT support, hosting, payment processing, customer service, and related services); or (3) when we have a good faith belief it is required by law, such as pursuant to a subpoena or other legal process, or otherwise required to protect your, our, or others' rights, property, or safety; enforce our policies or contracts; collect amounts owed to us; or assist with an investigation or prosecution of suspected or actual illegal activity.
We use your information in the following ways:
We will also retain and use this information as necessary for the purposes set out in this Privacy Policy and to the extent necessary to comply with our legal obligations, resolve disputes, enforce our agreements and protect Range's legal rights.
We will retain data as long as your account is active, as necessary to provide you with the Services or as otherwise set forth in this Privacy Policy.
When you connect your Range account with additional third-party services (such as Asana, Dropbox, Jira, etc), we may collect and store information associated with that third-party account and its underlying resources."
aggregate / deidentified / pseudonymized information,UNSPECIFIED_ACTOR,analytics,"For example, we may share aggregated or de-identified data with prospects or partners for business or research purposes, such as telling prospective customers the average number of updates people share per week, or the percentage of users who access our Services via a mobile device."
aggregate / deidentified / pseudonymized information,prospect,analytics,"For example, we may share aggregated or de-identified data with prospects or partners for business or research purposes, such as telling prospective customers the average number of updates people share per week, or the percentage of users who access our Services via a mobile device."
aggregate / deidentified / pseudonymized information,we,"advertising, analytics, legal","For example, we may share aggregated or de-identified data with prospects or partners for business or research purposes, such as telling prospective customers the average number of updates people share per week, or the percentage of users who access our Services via a mobile device.
We also collect and maintain aggregated, anonymized or pseudonymized information which we may retain indefinitely to protect the safety and security of our Site, improve our Services or comply with legal obligations.
We may disclose or use aggregated or de-identified data for any purpose."
content,we,"advertising, analytics, legal","Through your use of the Services, we will also collect content from you, such as through periodic updates (referred to as ""Check-Ins""), virtual meetings, or other communications (collectively, ""User Content"")."
cookie / pixel tag,Google,analytics,Google Analytics uses cookies to help us analyze how users use the Site and enhance your experience when you use the Service.
cookie / pixel tag,we,"advertising, analytics, legal, services","We use cookies and similar technologies such as pixels and local storage (collectively, ""Technologies"") to recognize you when you return to our Services We use them in various ways, for example to log you in, remember your preferences, evaluate email effectiveness, and personalize information."
customer service,we,"advertising, analytics, legal, services","We may share your information with third parties in limited circumstances, including: (1) with your consent (for example, when you use our Services to share User Content with other Users within your organization); (2) with our third-party service providers who use that information to help us provide our Services (e.g., IT support, hosting, payment processing, customer service, and related services); or (3) when we have a good faith belief it is required by law, such as pursuant to a subpoena or other legal process, or otherwise required to protect your, our, or others' rights, property, or safety; enforce our policies or contracts; collect amounts owed to us; or assist with an investigation or prosecution of suspected or actual illegal activity."
email address,we,"advertising, analytics, legal, services","When you register for an account, we collect Personal Information such as the following: Your name, business name, location, email address, phone number, and account password."
experience,we,"advertising, analytics, legal, services",Google Analytics uses cookies to help us analyze how users use the Site and enhance your experience when you use the Service.
geolocation,we,"advertising, analytics, legal, services","When you register for an account, we collect Personal Information such as the following: Your name, business name, location, email address, phone number, and account password."
hosting,we,"advertising, analytics, legal, services","We may share your information with third parties in limited circumstances, including: (1) with your consent (for example, when you use our Services to share User Content with other Users within your organization); (2) with our third-party service providers who use that information to help us provide our Services (e.g., IT support, hosting, payment processing, customer service, and related services); or (3) when we have a good faith belief it is required by law, such as pursuant to a subpoena or other legal process, or otherwise required to protect your, our, or others' rights, property, or safety; enforce our policies or contracts; collect amounts owed to us; or assist with an investigation or prosecution of suspected or actual illegal activity."
it support,we,"advertising, analytics, legal, services","We may share your information with third parties in limited circumstances, including: (1) with your consent (for example, when you use our Services to share User Content with other Users within your organization); (2) with our third-party service providers who use that information to help us provide our Services (e.g., IT support, hosting, payment processing, customer service, and related services); or (3) when we have a good faith belief it is required by law, such as pursuant to a subpoena or other legal process, or otherwise required to protect your, our, or others' rights, property, or safety; enforce our policies or contracts; collect amounts owed to us; or assist with an investigation or prosecution of suspected or actual illegal activity."
payment information you submit,UNSPECIFIED_ACTOR,"analytics, services","Data we collect

Users

Range partners with Stripe, Inc. for payment processing, and the payment information you submit is collected and used by them in accordance with their policies ( see here )."
payment processing,we,"advertising, analytics, legal, services","We may share your information with third parties in limited circumstances, including: (1) with your consent (for example, when you use our Services to share User Content with other Users within your organization); (2) with our third-party service providers who use that information to help us provide our Services (e.g., IT support, hosting, payment processing, customer service, and related services); or (3) when we have a good faith belief it is required by law, such as pursuant to a subpoena or other legal process, or otherwise required to protect your, our, or others' rights, property, or safety; enforce our policies or contracts; collect amounts owed to us; or assist with an investigation or prosecution of suspected or actual illegal activity."
person name,we,"advertising, analytics, legal, services","When you register for an account, we collect Personal Information such as the following: Your name, business name, location, email address, phone number, and account password."
phone number,we,"advertising, analytics, legal, services","When you register for an account, we collect Personal Information such as the following: Your name, business name, location, email address, phone number, and account password."
profile information,we,"advertising, analytics, legal, services","When you create a Range account and authenticate via a third-party service, like Google, Slack, or Microsoft Teams, we may collect, store, and periodically update the profile information associated with that third-party account that you share with us."
range labs inc.,we,"advertising, analytics, legal, services","This policy sets out our privacy practices and explains how Range Labs Inc. (""Range"", ""us"", ""we"") handles the information we collect when you visit and use our sites, services, mobile applications, products, and content (""Services"")."
related service,we,"advertising, analytics, legal, services","We may share your information with third parties in limited circumstances, including: (1) with your consent (for example, when you use our Services to share User Content with other Users within your organization); (2) with our third-party service providers who use that information to help us provide our Services (e.g., IT support, hosting, payment processing, customer service, and related services); or (3) when we have a good faith belief it is required by law, such as pursuant to a subpoena or other legal process, or otherwise required to protect your, our, or others' rights, property, or safety; enforce our policies or contracts; collect amounts owed to us; or assist with an investigation or prosecution of suspected or actual illegal activity."
sufficient information allow,we,"advertising, analytics, legal, services","When you make a request, we will ask you to provide sufficient information that allows us to reasonably verify you are the person about whom we collected personal information or an authorized representative, which may include asking you to answer questions regarding your use of our Services."
