data_type,collector,purpose,text
UNSPECIFIED_DATA,Microsoft,,"For example, the AI features may share limited data with Microsoft in connection with the use of the AI features and to monitor compliance with codes of conduct."
UNSPECIFIED_DATA,we,,"We receive information from you, the relevant Customer and other third-parties that helps us approximate your location."
UNSPECIFIED_DATA,we,"services, analytics, advertising, legal, security","We receive information from you, the relevant Customer and other third-parties that helps us approximate your location."
account datum,miro,services,"Miro may need to contact you for invoicing, account management, and similar reasons and we use account data to administer accounts and keep track of billing and payments."
account datum,we,services,"Miro may need to contact you for invoicing, account management, and similar reasons and we use account data to administer accounts and keep track of billing and payments."
associate miro mobile application,we,"services, analytics, advertising, legal, security","This Privacy Policy applies to Miro's online collaboration tools and platform, including the associated Miro mobile and desktop applications (collectively, the "" Services ""), miro.com and other Miro websites (collectively, the "" Websites "") and other interactions (e.g. customer support, the Miro Community, etc.) you may have with Miro, including the processing of any messages, text, files, images, video or audio recordings, or other content submitted through our Services (collectively, "" Customer Content "")."
billing information,miro,services,"Miro also collects, generates and/or receives the following types of Personal Data, other than Customer Content, through and in connection with Miro's provision of the Services (the ""Services Data""): Billing information."
billing information,miro,"services, analytics","Miro also collects, generates and/or receives the following types of Personal Data, other than Customer Content, through and in connection with Miro's provision of the Services (the ""Services Data""): Billing information."
browser configuration,we,services,"Like most websites and services delivered over the Internet, our servers automatically collect information when you access or use our Websites or Services, recording this information in log files.
This log data may include the Internet Protocol (IP) address, the address of the web page visited before using the Website or Services, your browser type and settings, the date and time the Services were used, information about browser configuration and plugins, and language preferences."
browser type,we,services,"Like most websites and services delivered over the Internet, our servers automatically collect information when you access or use our Websites or Services, recording this information in log files.
This log data may include the Internet Protocol (IP) address, the address of the web page visited before using the Website or Services, your browser type and settings, the date and time the Services were used, information about browser configuration and plugins, and language preferences."
business address,we,"services, analytics","We may, for example, use a business address submitted by your employer or an IP address received from your browser or device to determine approximate location."
business datum,miro,services,"Miro also collects, generates and/or receives the following types of Personal Data, other than Customer Content, through and in connection with Miro's provision of the Services (the ""Services Data""): Business data ."
business datum,miro,"services, analytics","Miro also collects, generates and/or receives the following types of Personal Data, other than Customer Content, through and in connection with Miro's provision of the Services (the ""Services Data""): Business data ."
business information,we,"services, analytics, advertising","These third parties may, for example, provide virtual computing and storage services, or we may share business information to develop strategic partnerships to support our Customers."
call datum,miro,services,"Miro also collects, generates and/or receives the following types of Personal Data, other than Customer Content, through and in connection with Miro's provision of the Services (the ""Services Data""): Call data."
call datum,miro,"services, analytics","Miro also collects, generates and/or receives the following types of Personal Data, other than Customer Content, through and in connection with Miro's provision of the Services (the ""Services Data""): Call data."
community datum,miro,services,"Miro also collects, generates and/or receives the following types of Personal Data, other than Customer Content, through and in connection with Miro's provision of the Services (the ""Services Data""): Community data ."
community datum,miro,"services, analytics","Miro also collects, generates and/or receives the following types of Personal Data, other than Customer Content, through and in connection with Miro's provision of the Services (the ""Services Data""): Community data ."
contact information,we,"services, analytics, advertising","In accordance with the consent provided by your device or other third-party API, we process any contact information that a User chooses to import when using the Services."
cookie / pixel tag,miro,"services, analytics","Miro also collects, generates and/or receives the following types of Personal Data, other than Customer Content, through and in connection with Miro's provision of the Services (the ""Services Data""): Cookie data.
Miro uses a 'clear image' (gif) in email communications in order to track engagement and performance metrics."
customer content be,miro,"services, analytics","As the processor for Customer Content, Miro processes Customer Content that is Personal Data only on Customer's request and in accordance with Customer's written instructions, including the applicable terms in the Customer Agreement, Customer's use of the Services, and as required by applicable law.
Customer Content that is Personal Data will be used by Miro in accordance with Customer's instructions, including any applicable terms in the Customer Agreement and Customer's use of the Services, and as required by applicable law."
customer content datum,UNSPECIFIED_ACTOR,,"If Customer enables Third-Party Services, Miro may access and exchange Customer Content and Services Data with the Third-Party on Customer's behalf, in accordance with our agreement with the Third-Party Services and any permissions granted by the Customer (including its Users)."
customer content datum,miro,"services, analytics","If Customer enables Third-Party Services, Miro may access and exchange Customer Content and Services Data with the Third-Party on Customer's behalf, in accordance with our agreement with the Third-Party Services and any permissions granted by the Customer (including its Users)."
date,we,"services, analytics, advertising","Like most websites and services delivered over the Internet, our servers automatically collect information when you access or use our Websites or Services, recording this information in log files.
This log data may include the Internet Protocol (IP) address, the address of the web page visited before using the Website or Services, your browser type and settings, the date and time the Services were used, information about browser configuration and plugins, and language preferences."
datum about organization,miro,"services, analytics","Miro may receive data about organizations, industries, lists of companies that are customers, Website visitors, marketing campaigns and other matters relevant to our business from parent corporations, affiliates and subsidiaries, our partners, or other third parties that we use to make our own information more useful."
device datum,miro,"services, analytics","Miro also collects, generates and/or receives the following types of Personal Data, other than Customer Content, through and in connection with Miro's provision of the Services (the ""Services Data""): Device data."
