data_type,collector,purpose,text
UNSPECIFIED_DATA,sam.coach,,SAM.Coach stores your data at data centers built with the highest standards for privacy and data security in mind.
UNSPECIFIED_DATA,we,,"In addition, when you visit our Sites, we may collect certain information by automated means, such as cookies and web beacons, as described in more detail below.
The information we may collect by automated means includes, but is not limited to:
We may collect your information at different points in connection with our business and the Sites, including your registration, profile submissions, use of the Sites, interactions with us, and during an Event."
asset,we,"advertising, analytics, legal, security, services","We may use the information we obtain about you to: Conduct a sale of all or substantially all of our business or assets, which includes the sale, assignment or other transfer of your personal information and data in connection with such transaction."
cookie / pixel tag,Google,advertising,"- Third-party vendors, including Google, use cookies to serve ads based on a user's prior visits to your website."
cookie / pixel tag,UNSPECIFIED_ACTOR,services,"For example, third-party services located on the Sites, including those that allow for single sign-on, commenting, live chat and social media sharing, may use cookies to remember user preference settings and interaction history."
cookie / pixel tag,sam.coach,"security, services","SAM.Coach also uses cookies to ensure the proper functioning and efficiency of our Sites.
SAM.Coach also uses cookies to store non-personally identifying information such as your preferences.
SAM.Coach uses cookies and other similar technologies for the convenience of our users."
data destruction certificate,we,,"After the data is deleted, we can also provide a data destruction certificate to our customer upon request."
information about you,sam.coach,"security, services","When you create an account on the Sites, SAM.Coach will collect and retain information about you, some of which is Personal Information."
information about you,we,,"We also may obtain information about you from business partners and other third parties and publicly available information, including from our customers.
We may obtain information about you from various sources, including our Sites, when you call or email us or communicate with us through social media, or when you participate in an event."
information store in social medium profile,we,,"We collect information stored in your social media profile that you authorize us to access when you use your social media profile to execute features on the Sites, such as the ability to log into the Sites using your social media profile credentials."
information we obtain about you,we,"advertising, analytics, legal, security, services",We may use the information we obtain about you to:
information you provide,company(ies,,"The information you provide is collected by SAM.Coach , and is shared with the company(ies) participating in the Event, which may be a customer or a Third Party."
information you provide,sam.coach,"security, services","The information you provide is collected by SAM.Coach , and is shared with the company(ies) participating in the Event, which may be a customer or a Third Party."
internet activity,we,"advertising, analytics, legal, security, services","Additionally, we use this information for site optimization, fraud/security purposes, and advertising.
Website usage data is captured using first and third-party cookies and other tracking technologies to determine the popularity of products/services and online activity."
non-personal information,we,"advertising, analytics, legal, security, services","We also use non-personally identifiable information and certain technical information about your computer and your access to the Sites (including your internet protocol address) in order to operate, maintain and manage the Sites."
specific user information,we,"advertising, analytics, legal, security, services","We may also disclose specific user information when we determine, in good faith, that such disclosure is necessary to comply with the law, to cooperate with or seek assistance from law enforcement, to prevent a crime or protect national security, or to protect the interests or safety of SAM.Coach , our customers, or other users of the Sites."
