data_type,collector,purpose,text
UNSPECIFIED_DATA,analytic provider,,We may also share your information with analytics service providers for analytics services.
UNSPECIFIED_DATA,we,"security, services","Our Privacy Policy explains: What information we collect and why we collect it.
We may also share your information with analytics service providers for analytics services.
We may use your information to detect and prevent fraud, abuse and security incidents in the following ways;
We process this information in light of our legitimate interest in improving our Website and Services by enabling our users to browse in a secure environment.
We process this information in light of our legitimate interest in improving the Website and Services, to allow our users to have the best experience.
We process this information in light of our legitimate interest to personalize your experience and customize our content."
calendar datum,we,"security, services","If you wish to schedule a meeting with the End-User, we will collect your calendar data if you choose to provide it, to assist with scheduling a meeting."
email address,we,"security, services, analytics","If you wish to log-in to use the Services, we will collect your email address and selected password to enable you to log in to use the Services.
If you wish to register to our newsletter and be provided with information on the Services, we will collect your email address if you choose to provide it, and will send you the required materials.
If you wish to submit an application to receive/use a Demo, we will collect your first and last name, phone number, email address to provide you with a Demo for the Services.
The information we collect in this manner typically includes your full name, email address and public information from your profile on these services."
exceed ai ltd.,we,"security, services, analytics, advertising, legal","Exceed. AI Ltd., ("" Exceed "", "" we "") is committed to maintaining the privacy of its users ("" user "", "" you "")."
information we have,we,"security, services, analytics","We conduct surveys and research, test features in development, and analyze the information we have to evaluate and improve our Website and Services, develop new features, and conduct audits and troubleshooting activities."
person name,we,"security, services, analytics","If you wish to submit an application to receive/use a Demo, we will collect your first and last name, phone number, email address to provide you with a Demo for the Services.
The information we collect in this manner typically includes your full name, email address and public information from your profile on these services."
phone number,we,"security, services, analytics, advertising, legal","If you wish to submit an application to receive/use a Demo, we will collect your first and last name, phone number, email address to provide you with a Demo for the Services."
public information from profile on service,we,"security, services, analytics, advertising, legal","The information we collect in this manner typically includes your full name, email address and public information from your profile on these services."
select password,we,"security, services, analytics, advertising, legal","If you wish to log-in to use the Services, we will collect your email address and selected password to enable you to log in to use the Services."
specific information,we,"security, services, analytics, advertising, legal","We will also release specific information in special cases, such as if you use the Website or Services to perform an unlawful act or omission or take any act or omission that may damage Exceed, its property and goodwill, or if there is an attempted breach of the security of the Website or Services or a physical or property threat to you or others."
