data_type,collector,purpose,text
UNSPECIFIED_DATA,UNSPECIFIED_ACTOR,,"We may share your data with third party vendors, service providers, contractors or agents who perform services for us or on our behalf and require access to such information to do that work."
UNSPECIFIED_DATA,contractor,,"We may share your data with third party vendors, service providers, contractors or agents who perform services for us or on our behalf and require access to such information to do that work."
UNSPECIFIED_DATA,service provider,,"We may share your data with third party vendors, service providers, contractors or agents who perform services for us or on our behalf and require access to such information to do that work."
UNSPECIFIED_DATA,we,"advertising, analytics, legal, services","In Short:  We keep your information for as long as necessary to fulfill the purposes outlined in this privacy policy unless otherwise required by law.
In Short:  We may use cookies and other tracking technologies to collect and store your information.
In Short:  We only share information with your consent, to comply with laws, to protect your rights, or to fulfill business obligations.
In Short:  We process your information for purposes based on legitimate business interests, the fulfillment of our contract with you, compliance with our legal obligations, and/or your consent.
In Short: We may collect limited data from public databases, marketing partners, and other outside sources.
Like many businesses, we also collect information through cookies and similar technologies.
Table of Contents

7. Do we collect information from minors?
We automatically collect certain information when you visit, use or navigate the Sites.
We may disclose your information where we are legally required to do so in order to comply with applicable law, governmental requests, a judicial proceeding, court order, or legal process, such as in response to a court order or a subpoena (including in response to public authorities to meet national security or law enforcement requirements).
We may disclose your information where we believe it is necessary to investigate, prevent, or take action regarding potential violations of our policies, suspected fraud, situations involving potential threats to the safety of any person and illegal activities, or as evidence in litigation in which we are involved.
We may share or transfer your information in connection with, or during negotiations of, any merger, sale of company assets, financing, or acquisition of all or a portion of our business to another company.
We may share your data with third party vendors, service providers, contractors or agents who perform services for us or on our behalf and require access to such information to do that work.
We may use your information as part of our efforts to keep our Sites safe and secure (for example, for fraud monitoring and prevention).
We may use your information for other Business Purposes, such as data analysis, identifying usage trends, determining the effectiveness of our promotional campaigns and to evaluate and improve our Sites, products, services, marketing and your experience.
We may use your information in order to enable user-to-user communications with each user's consent.
We may use your information to request feedback and to contact you about your use of our Sites.
We only share and disclose your information in the following situations:
We seek to explain to you in the clearest way possible what information we collect, how we use it and what rights you have in relation to it."
contact information,we,"advertising, analytics, legal, services","We collect your first and last name, email address, postal address, phone number, and other similar contact data."
contact information,we,"advertising, analytics, legal, services, security","We collect your first and last name, email address, postal address, phone number, and other similar contact data."
cookie / pixel tag,we,"advertising, analytics, legal, services","4. Do we use cookies and other tracking technologies?
In Short:  We may use cookies and other tracking technologies to collect and store your information.
We may use cookies and similar tracking technologies (like web beacons and pixels) to access or store information."
email address,we,"advertising, analytics, legal, services","We collect your first and last name, email address, postal address, phone number, and other similar contact data."
feedback,we,"advertising, analytics, legal, services",We may use your information to request feedback and to contact you about your use of our Sites.
information about you,we,"advertising, analytics, legal, services","We may obtain information about you from other sources, such as public databases, joint marketing partners, as well as from other third parties."
information we collect,we,"advertising, analytics, legal, services, security",We use the information we collect or receive:
information you allow,we,"advertising, analytics, legal, services, security","If you choose to link your account with us to a third party account *(such as your Google or Facebook account), we use the information you allowed us to collect from those third parties to facilitate account creation and logon process."
password,we,"advertising, analytics, legal, services, security","We collect passwords, password hints, and similar security information used for authentication and account access."
password hint,we,"advertising, analytics, legal, services, security","We collect passwords, password hints, and similar security information used for authentication and account access."
payment datum,payment processor,,All payment data is stored by our payment processor and you should review its privacy policies and contact the payment processor directly to respond to your questions.
person name,we,"advertising, analytics, legal, services, security","We collect your first and last name, email address, postal address, phone number, and other similar contact data."
personal information collect via site,we,"advertising, analytics, legal, services, security",We use personal information collected via our Sites for a variety of business purposes described below.
personal information you send to we,third party marketing partner,advertising,"We and/or our third party marketing partners may use the personal information you send to us for our marketing purposes, if this is in accordance with your marketing preferences."
personal information you send to we,we,"advertising, analytics, legal, services, security","We and/or our third party marketing partners may use the personal information you send to us for our marketing purposes, if this is in accordance with your marketing preferences."
phone number,we,"advertising, analytics, legal, services, security","We collect your first and last name, email address, postal address, phone number, and other similar contact data."
postal address,we,"advertising, analytics, legal, services, security","We collect your first and last name, email address, postal address, phone number, and other similar contact data."
security information use for authentication,we,"advertising, analytics, legal, services, security","We collect passwords, password hints, and similar security information used for authentication and account access."
