data_type,collector,purpose,text
Facebook,auth provider,,HireLogic also allows you to log in to certain of our Websites using sign-in services like Facebook Connect.
GitHub,platform,,"In particular, we collect such Personal Data from the following sources: Platforms such as GitHub to manage code check-ins and pull requests."
UNSPECIFIED_DATA,we,analytics,"Additionally, HireLogic may share such anonymous or de-identified usage data on an aggregate basis in the normal course of operating our business; for example, we may share information publicly to show trends about the general use of our Services."
asset,we,"analytics, legal, services, advertising, security","We may share your Personal Data as follows: Third Parties Involved in a Corporate Transaction: If we are involved in a merger, reorganization, dissolution or other fundamental corporate change, or sell a website or business unit, or if all or a portion of our business, assets or stock are acquired by a third party."
call,we,analytics,"We collect such information in the following situations: If you communicate with us via a phone call from us, we may record that call (consistent with applicable law);"
commercial information,we,analytics,"As is true of most websites, we gather certain information automatically when individual users visit our Websites.
This information may include identifiers, commercial information, and internet activity information such as IP address (or proxy server information), device and application information, identification numbers and features, location, browser type, plug-ins, integrations, Internet service provider, mobile carrier, the pages and files viewed, searches, referring website, app or ad, operating system, system configuration information, advertising and language preferences, date and time stamps associated with your usage, and frequency of visits to the Websites."
commercial information,we,"analytics, legal, services, advertising, security","As is true of most websites, we gather certain information automatically when individual users visit our Websites.
This information may include identifiers, commercial information, and internet activity information such as IP address (or proxy server information), device and application information, identification numbers and features, location, browser type, plug-ins, integrations, Internet service provider, mobile carrier, the pages and files viewed, searches, referring website, app or ad, operating system, system configuration information, advertising and language preferences, date and time stamps associated with your usage, and frequency of visits to the Websites."
geolocation,we,analytics,"If you use certain features of our services on a mobile device, we may also collect telephony log information (like phone numbers, time and date of calls, duration of calls, SMS routing information and types of calls), device event information (such as crashes, system activity, hardware settings, browser language), and location information (through IP address, GPS, and other sensors that may, for example, provide us with information on nearby devices, WiFi access points and cell towers)."
geolocation,we,"analytics, legal, services","If you use certain features of our services on a mobile device, we may also collect telephony log information (like phone numbers, time and date of calls, duration of calls, SMS routing information and types of calls), device event information (such as crashes, system activity, hardware settings, browser language), and location information (through IP address, GPS, and other sensors that may, for example, provide us with information on nearby devices, WiFi access points and cell towers)."
geolocation,we,"analytics, legal, services, advertising","If you use certain features of our services on a mobile device, we may also collect telephony log information (like phone numbers, time and date of calls, duration of calls, SMS routing information and types of calls), device event information (such as crashes, system activity, hardware settings, browser language), and location information (through IP address, GPS, and other sensors that may, for example, provide us with information on nearby devices, WiFi access points and cell towers)."
geolocation,we,"analytics, legal, services, advertising, security","If you use certain features of our services on a mobile device, we may also collect telephony log information (like phone numbers, time and date of calls, duration of calls, SMS routing information and types of calls), device event information (such as crashes, system activity, hardware settings, browser language), and location information (through IP address, GPS, and other sensors that may, for example, provide us with information on nearby devices, WiFi access points and cell towers)."
