data_type,collector,purpose,text
Facebook,we,legal,Services like Facebook Connect give you the option to post information about your activities on this website to your profile page to share with others within your network.
UNSPECIFIED_DATA,UNSPECIFIED_ACTOR,advertising,"Novocall Pte Ltd shall transfer no information or Personal Data to any third parties for marketing purposes.
You may also separately share your information with other sites or entities, such as those that create professional marketing lists, to receive special offers and promotions from its partners."
UNSPECIFIED_DATA,accountant,,"We will only transfer data to our Third-Party Service Providers (such as consultants, accountants, attorneys, and Sub-processors) who need the information in order to provide services to or perform activities on behalf of Novocall Pte Ltd and only for a purpose consistent with this Privacy Policy."
UNSPECIFIED_DATA,consultant,,"We will only transfer data to our Third-Party Service Providers (such as consultants, accountants, attorneys, and Sub-processors) who need the information in order to provide services to or perform activities on behalf of Novocall Pte Ltd and only for a purpose consistent with this Privacy Policy."
UNSPECIFIED_DATA,novocall pte ltd,advertising,Novocall Pte Ltd shall transfer no information or Personal Data to any third parties for marketing purposes.
UNSPECIFIED_DATA,sub,,"We will only transfer data to our Third-Party Service Providers (such as consultants, accountants, attorneys, and Sub-processors) who need the information in order to provide services to or perform activities on behalf of Novocall Pte Ltd and only for a purpose consistent with this Privacy Policy."
UNSPECIFIED_DATA,we,,"By clicking through to those links or promotions, you agree to allow us to receive and use any information, except for credit card information (account number, expiration date) that you may provide to such entities, under the same terms as if you provided it to us directly.
For example, when you use an external social network (like your Google and Facebook account) to log in to the Service or to interact with us in another way, we may collect your name and other details from your social network profile and account (please see your social network's privacy policy or support documents for more information about their sharing of information with connected accounts).
Some of those entities may share with us certain information that you provide to them.
We will only transfer data to our Third-Party Service Providers (such as consultants, accountants, attorneys, and Sub-processors) who need the information in order to provide services to or perform activities on behalf of Novocall Pte Ltd and only for a purpose consistent with this Privacy Policy."
age,we,,"We may also collect other information (e.g., profile picture, network, username, user ID, age range, language, country) depending on your product and your privacy settings."
aggregate / deidentified / pseudonymized information,novocall pte ltd,advertising,"Customer undertakes:

Customer agrees that Novocall Pte Ltd gathers anonymous information about the functioning of Novocall Pte Ltd Service for Customer.
Novocall Pte Ltd may process this information and publish the data for marketing purposes for current and prospective customers."
contact information,we,legal,"Last updated: 13 September 2022

Privacy Policy

Part 2 - The data we collect, purpose, and duration1.

3. Protection of Claims

3.1) In order to determine, demand and enforce claims, we may process some of your given personal data, especially name and surname, contact details (email address and phone number), data regarding using our services (if claims refer to the way you use our services) and other data necessary for justifying the claim, its enforcement and defense against claims in courts and other state bodies)."
