data_type,collector,purpose,text
UNSPECIFIED_DATA,we,"legal, security","In Short: We keep your information for as long as necessary to fulfill the purposes outlined in this privacy policy unless otherwise required by law.
In Short: We may collect limited data from public databases, marketing partners, and other outside sources.
In Short: We may use cookies and other tracking technologies to collect and store your information.
In Short: We only share information with your consent, to comply with laws, to provide you with services, to protect your rights, or to fulfill business obligations.
In this privacy policy, we seek to explain to you in the clearest way possible what information we collect, how we use it and what rights you have in relation to it.
More specifically, we may need to process your data or share your personal information in the following situations:
We collect app usage; and other similar data.
We collect first name, maiden name, last name, and nickname; ID; business email; and other similar data.
We may disclose your information where we are legally required to do so in order to comply with applicable law, governmental requests, a judicial proceeding, court order, or legal process, such as in response to a court order or a subpoena (including in response to public authorities to meet national security or law enforcement requirements).
We may disclose your information where we believe it is necessary to investigate, prevent, or take action regarding potential violations of our policies, suspected fraud, situations involving potential threats to the safety of any person and illegal activities, or as evidence in litigation in which we are involved.
We may process or share data based on the following legal basis: Consent: We may process your data if you have given us specific consent to use your personal information in a specific purpose.
We may process your data when it is reasonably necessary to achieve our legitimate business interests.
We may share or transfer your information in connection with, or during negotiations of, any merger, sale of company assets, financing, or acquisition of all or a portion of our business to another company."
business email,we,"legal, security","We collect first name, maiden name, last name, and nickname; ID; business email; and other similar data."
cookie / pixel tag,advertiser,advertising,"These companies may use information about your visits to our Websites and other websites that are contained in web cookies and other tracking technologies in order to provide advertisements about goods and services of interest to you.
We may use third-party advertising companies to serve ads when you visit the Services."
cookie / pixel tag,we,"legal, security, services","In Short: We may use cookies and other tracking technologies to collect and store your information.
We may use cookies and similar tracking technologies (like web beacons and pixels) to access or store information."
identifier,we,"legal, security, services","We collect first name, maiden name, last name, and nickname; ID; business email; and other similar data."
information about your,we,"legal, security, services","We may obtain information about your from other sources, such as public databases, joint marketing partners, as well as from other third parties."
internet activity,we,"legal, security, services",We collect app usage; and other similar data.
nickname,we,"legal, security, services","We collect first name, maiden name, last name, and nickname; ID; business email; and other similar data."
person name,we,"legal, security, services","We collect first name, maiden name, last name, and nickname; ID; business email; and other similar data."
powerfront inc,we,"legal, security, services","Thank you for choosing to be part of our community at Powerfront Inc (""Company"", ""we"", ""us"", or ""our"")."
zoom account datum,UNSPECIFIED_ACTOR,,Your Business collects your Zoom account data when you authorize the app.
