data_type,collector,purpose,text
UNSPECIFIED_DATA,we,"advertising, analytics, security, services","In order to do so, We may display and share certain information on Wise App for public viewing and to third parties respectively.
Like many sites, We too use cookies to collect information.
Please note that Your data may be collected by Our affiliates outside of the Platform and/or Services through in-person meetings, participation in conferences and other forums, including but not limited to, through forums, responses to promotional and other materials.
We also use this information to improve the Platform, prevent or detect fraud or abuses and enable third parties to carry out technical, logistical or other functions on Our behalf.
We may also receive/store information about Your location, address, browser type, browser version, the pages of Our Site that You visit, the time and date of Your visit, the time spent on those pages and other statistics including but not limited to the internet protocol address of Your device and your transaction history.
We may use this information for internal analysis and to provide You with location based services or for services which are more personalized.
We use Your information to carry out Our Services, process payments, communicate with You, update Our records and generally maintain Your transaction history with us."
advertiser,entity provide service to we,,"We may share personal data, including stored cookies (detailed in Paragraph 4) with entities that provide services to Us, including companies that provide web analytics, advertising, email distribution and other services."
aforesaid information,agency,security,"We may be required to share the aforesaid information with government authorities and agencies for the purposes of verification of identity or for prevention, detection or investigation, including of cyber incidents, prosecution and punishment of offences."
aforesaid information,government authority,security,"We may be required to share the aforesaid information with government authorities and agencies for the purposes of verification of identity or for prevention, detection or investigation, including of cyber incidents, prosecution and punishment of offences."
aforesaid information,we,"advertising, analytics, security, services","We may be required to share the aforesaid information with government authorities and agencies for the purposes of verification of identity or for prevention, detection or investigation, including of cyber incidents, prosecution and punishment of offences."
aggregate / deidentified / pseudonymized information,we,"advertising, analytics, security, services","We also collect, use and share aggregated data such as statistical or demographic data for internal purposes."
analytic provider,entity provide service to we,,"We may share personal data, including stored cookies (detailed in Paragraph 4) with entities that provide services to Us, including companies that provide web analytics, advertising, email distribution and other services."
cookie / pixel tag,we,"advertising, analytics, security, services","In order to do so, We use Cookies which are small pieces of information that are issued to Your computer or mobile device when You visit a website or access or use a mobile application, and that stores and sometimes tracks information about Your use of the Platform.
Like many sites, We too use cookies to collect information.
We also use Cookies to allow you to enter your password less frequently during a session.
We use cookies for other reasons as well."
cookie / pixel tag,we,"advertising, analytics, security, services, legal","In order to do so, We use Cookies which are small pieces of information that are issued to Your computer or mobile device when You visit a website or access or use a mobile application, and that stores and sometimes tracks information about Your use of the Platform.
Like many sites, We too use cookies to collect information.
We also use Cookies to allow you to enter your password less frequently during a session.
We use cookies for other reasons as well."
discussion forum,we,"advertising, analytics, security, services, legal","When You use Wise App and/or avail Our Services like the discussion forums and You post and/or share Your information such as comments, messages, files, photos etc., such information may be made available to the public in general, and may be in the public domain."
email service provider,entity provide service to we,,"We may share personal data, including stored cookies (detailed in Paragraph 4) with entities that provide services to Us, including companies that provide web analytics, advertising, email distribution and other services."
information about you,we,"advertising, analytics, security, services",Please note that this is an inclusive list: Third-Party Data: We might receive information about You from other sources and add it to Our user database.
information you enter on platform,we,"advertising, analytics, security, services",We receive and store any information You enter on the Platform and/or Services or give Us in any other manner.
type of information,we,"advertising, analytics, security, services, legal",We receive and store certain types of information whenever You interact with Us.
video,we,"advertising, analytics, security, services, legal",We store videos with the HLS protocol to minimize piracy risks and improve mobile usability.
