data_type,collector,purpose,text
UNSPECIFIED_DATA,UNSPECIFIED_ACTOR,,"For example, we may supplement the information we collect with outside records, or third parties may provide information in connection with a co-marketing agreement or at your request (such as if you choose to sign in with a third-party service).
Like many websites, we and our marketing partners, affiliates, analytics, and service providers use ""cookies"" to collect information.
These other websites may place their own cookies or other files on your computer, collect data or solicit Personal Information from you.
We do not exercise control over third party websites."
UNSPECIFIED_DATA,client,,"Note that if a Freelancer is suspended from the TeachRN Service, we may share that information with Clients for whom that Freelancer has worked or submitted proposals for work.
We share information regarding Freelancers who have entered into a contract with a Client or who have elected to participate in including information in Black Board, with Clients, TeachRN payment systems."
UNSPECIFIED_DATA,content provider,,"This information may include, among other information, the browser and operating system you are using, the URL or advertisement that referred you to the Service, the search terms you entered into a search engine that led you to the Service, areas within the Service that you visited, which links you clicked on, which pages or content you viewed and for how long, other similar information and statistics about your interactions, such as content response times, download errors and length of visits to certain pages and other information commonly shared when browsers communicate with websites.
We and our third-party service providers, including analytics and third party content providers, may automatically collect certain information from you whenever you access or interact with the Service."
UNSPECIFIED_DATA,government agency,,"TeachRN will share information with government agencies as required by law in response to lawful requests by public authorities, including to meet national security or law enforcement requirements and, including without limitation, in connection with reporting earnings."
UNSPECIFIED_DATA,marketing partner,,"Like many websites, we and our marketing partners, affiliates, analytics, and service providers use ""cookies"" to collect information."
UNSPECIFIED_DATA,service provider,"advertising, analytics, security, services","Like many websites, we and our marketing partners, affiliates, analytics, and service providers use ""cookies"" to collect information.
We or our service providers may collect the below categories of information for the following business or commercial purposes (as those terms are defined in applicable law):"
UNSPECIFIED_DATA,teachrn,,"TeachRN will share information with government agencies as required by law in response to lawful requests by public authorities, including to meet national security or law enforcement requirements and, including without limitation, in connection with reporting earnings."
UNSPECIFIED_DATA,teachrn payment system,,"We share information regarding Freelancers who have entered into a contract with a Client or who have elected to participate in including information in Black Board, with Clients, TeachRN payment systems."
UNSPECIFIED_DATA,we,"advertising, analytics, security, services","Because we are a U.S. company, we process and store your information in the United States and our service providers may process and store it elsewhere.
California law requires us to disclose information regarding the categories of personal information that we have collected about California consumers (as that term is defined in the California Consumer Privacy Act (""CCPA"")), the categories of sources from which the information was collected, the business or commercial purposes (as those terms are defined by applicable law) for which the information was collected, and the categories of parties with whom we share personal information.
Like many websites, we and our marketing partners, affiliates, analytics, and service providers use ""cookies"" to collect information.
Note that if a Freelancer is suspended from the TeachRN Service, we may share that information with Clients for whom that Freelancer has worked or submitted proposals for work.
This information may include, among other information, the browser and operating system you are using, the URL or advertisement that referred you to the Service, the search terms you entered into a search engine that led you to the Service, areas within the Service that you visited, which links you clicked on, which pages or content you viewed and for how long, other similar information and statistics about your interactions, such as content response times, download errors and length of visits to certain pages and other information commonly shared when browsers communicate with websites.
We and our third-party service providers, including analytics and third party content providers, may automatically collect certain information from you whenever you access or interact with the Service.
We or our service providers may collect the below categories of information for the following business or commercial purposes (as those terms are defined in applicable law):
We share information regarding Freelancers who have entered into a contract with a Client or who have elected to participate in including information in Black Board, with Clients, TeachRN payment systems."
UNSPECIFIED_DATA,we,"advertising, analytics, security, services, legal","Because we are a U.S. company, we process and store your information in the United States and our service providers may process and store it elsewhere.
California law requires us to disclose information regarding the categories of personal information that we have collected about California consumers (as that term is defined in the California Consumer Privacy Act (""CCPA"")), the categories of sources from which the information was collected, the business or commercial purposes (as those terms are defined by applicable law) for which the information was collected, and the categories of parties with whom we share personal information.
Like many websites, we and our marketing partners, affiliates, analytics, and service providers use ""cookies"" to collect information.
Note that if a Freelancer is suspended from the TeachRN Service, we may share that information with Clients for whom that Freelancer has worked or submitted proposals for work.
This information may include, among other information, the browser and operating system you are using, the URL or advertisement that referred you to the Service, the search terms you entered into a search engine that led you to the Service, areas within the Service that you visited, which links you clicked on, which pages or content you viewed and for how long, other similar information and statistics about your interactions, such as content response times, download errors and length of visits to certain pages and other information commonly shared when browsers communicate with websites.
We and our third-party service providers, including analytics and third party content providers, may automatically collect certain information from you whenever you access or interact with the Service.
We or our service providers may collect the below categories of information for the following business or commercial purposes (as those terms are defined in applicable law):
We share information regarding Freelancers who have entered into a contract with a Client or who have elected to participate in including information in Black Board, with Clients, TeachRN payment systems."
aggregate non - identifying information,we,"advertising, analytics, security, services","We may share aggregated Non-Identifying Information and we may otherwise disclose Non-Identifying Information (including, without limitation, Hashed Information) to third parties."
client need,we,"advertising, analytics, security, services, legal","We or our service providers may collect the below categories of information for the following business or commercial purposes (as those terms are defined in applicable law): Providing the Service (e.g., account servicing and maintenance, matching freelancer talent with client needs, customer service, advertising and marketing, analytics, and communication about the Service);"
contact information,teachrn,"advertising, analytics, services","TeachRN stores this information for the sole purpose of sending this one-time email and tracking the success of our referral program.
You should only provide TeachRN contact information from individuals who are familiar to you and with their consent."
contact information,we,"advertising, analytics, security, services","While using the Service (whether as a Client or Freelancer), we may require or otherwise collect information that identifies you as a specific individual and can be used to contact or identify you (""Personal Information"")."
cookie / pixel tag,UNSPECIFIED_ACTOR,,"Like many websites, we and our marketing partners, affiliates, analytics, and service providers use ""cookies"" to collect information."
cookie / pixel tag,marketing partner,,"Like many websites, we and our marketing partners, affiliates, analytics, and service providers use ""cookies"" to collect information."
cookie / pixel tag,service provider,"advertising, analytics, security, services","Like many websites, we and our marketing partners, affiliates, analytics, and service providers use ""cookies"" to collect information."
cookie / pixel tag,teachrn,"advertising, analytics, services","TeachRN use cookies or similar technologies to analyze trends, administer the website, track users' movement around the website, the desktop app, and the mobile app, and to gather demographic information about our user base as a whole."
cookie / pixel tag,we,"advertising, analytics, security, services","Like many websites, we and our marketing partners, affiliates, analytics, and service providers use ""cookies"" to collect information.
We use both persistent cookies that remain on your computer or similar device (such as to save your registration ID and login password for future logins to the Service and to track your compliance with the TeachRN Terms of Service) and session ID cookies, which expire at the end of your browser session (for example, to enable certain features of the Service, to better understand how TeachRN Users interact with the Service and to monitor aggregate usage by TeachRN Users and web traffic routing on the Service)."
