data_type,collector,purpose,text
Google,advertiser,,"We also allow other third parties (e.g., ad networks and ad servers such as Google Analytics, DoubleClick and others) to access their own cookies or other tracking technologies on your computer, mobile phone, or other device you use to access the Websites."
UNSPECIFIED_DATA,UNSPECIFIED_ACTOR,,"If you choose to use these third party services, you may disclose your information not just to those third-parties, but also to their users and the public more generally depending on how their services function.
We may provide access to or share your information with select third parties that use the information only to perform services on our behalf."
UNSPECIFIED_DATA,we,services,"As is true of most websites, we gather certain information automatically and store it in log files.
As we adopt additional technologies, we may also gather information through other methods.
For example, our servers automatically record certain information in server logs.
If the ownership of all or substantially all of our business changes, we may transfer your information to the new owner so that the Service can continue to operate.
Log files - when you use the Service, our servers automatically record information in server log files.
Please note that, regardless of your request, we may still use and share certain information as permitted by this Policy or as required by applicable law.
We may also disclose your information to third parties with your consent to do so.
We may provide access to or share your information with select third parties that use the information only to perform services on our behalf.
We use this information to help, diagnose problems with our server, and to administer the Site and the Service.
We will retain your information for the period necessary to fulfill the purposes outlined in this Policy unless a longer retention period is required or permitted by law, or where the Terms of Service requires or permits specific retention or deletion periods.
We will retain your information for the period necessary to fulfill the purposes outlined in this Policy unless a longer retention period is required or permitted by law.
You may provide us with information when you interact with us in other ways, such as when you submit requests or questions to us via forms or email (e.g., support forms, sales forms, user research participation forms); and requests for customer support and technical assistance (collectively, ""Other Information"").  Information"
access to service,subscriber,,"For example, a Subscriber may provide or remove access to the Service, manage appointments, account settings, or share events."
aggregate / deidentified / pseudonymized information,UNSPECIFIED_ACTOR,,"We may use Aggregate/De-Identified Information for any purpose, including without limitation for research and analytics, and may also share such data with any third parties, including partners, affiliates, services providers, and others."
aggregate / deidentified / pseudonymized information,other,,"We may use Aggregate/De-Identified Information for any purpose, including without limitation for research and analytics, and may also share such data with any third parties, including partners, affiliates, services providers, and others."
aggregate / deidentified / pseudonymized information,service provider,,"We may use Aggregate/De-Identified Information for any purpose, including without limitation for research and analytics, and may also share such data with any third parties, including partners, affiliates, services providers, and others."
aggregate / deidentified / pseudonymized information,we,services,"We also gather anonymized information from this data to help us improve the Site and Service.
We may use Aggregate/De-Identified Information for any purpose, including without limitation for research and analytics, and may also share such data with any third parties, including partners, affiliates, services providers, and others."
cookie / pixel tag,advertiser,,"We also allow other third parties (e.g., ad networks and ad servers such as Google Analytics, DoubleClick and others) to access their own cookies or other tracking technologies on your computer, mobile phone, or other device you use to access the Websites."
cookie / pixel tag,service provider,,"We and our service providers use Internet server logs, cookies, tags, SDKs, tracking pixels, and other similar tracking technologies."
