data_type,collector,purpose,text
Facebook,social media,,"We also maintain presences on social media platforms including Facebook, Twitter, and Instagram."
Twitter,social media,,"We also maintain presences on social media platforms including Facebook, Twitter, and Instagram."
UNSPECIFIED_DATA,UNSPECIFIED_ACTOR,,"Sometimes, we share your information with our third party Service Providers, who help us provide and support our Services.
We and our partners may use various technologies to collect and store information when you use our Services, and this may include using cookies and similar tracking technologies on our Website, such as pixels and web beacons, to analyze trends, administer the website, track users' movements around the website, serve targeted advertisements, and gather demographic information about our user base as a whole."
UNSPECIFIED_DATA,advisor,legal,"To provide information to representatives and advisors, including attorneys and accountants, to help us comply with legal, accounting, or security requirements."
UNSPECIFIED_DATA,representative,legal,"To provide information to representatives and advisors, including attorneys and accountants, to help us comply with legal, accounting, or security requirements."
UNSPECIFIED_DATA,we,"analytics, legal, security","Sometimes, we share your information with our third party Service Providers, who help us provide and support our Services.
Upon request, we will provide you with information about whether we hold, or process on behalf of a third party, any of your Personal Information.
We and our partners may use various technologies to collect and store information when you use our Services, and this may include using cookies and similar tracking technologies on our Website, such as pixels and web beacons, to analyze trends, administer the website, track users' movements around the website, serve targeted advertisements, and gather demographic information about our user base as a whole.
We may also get information from third party services about individuals who are not yet our users (...but we hope will be!), which we may use, for example, for marketing and advertising purposes.
We may also retain and use your information in order to comply with our legal obligations, resolve disputes, prevent abuse, and enforce our Agreements.
We use the data from those Web Beacons to understand what actions your customers took.
We will retain your information for as long as your account is active or as long as needed to provide you with our Services.
Web beacons allow us to collect information about when you open the email, your IP address, your browser or email client type, and other similar details.
You may also provide us information when you respond to surveys or communicate with us about a support question."
accountant,advisor,legal,"To provide information to representatives and advisors, including attorneys and accountants, to help us comply with legal, accounting, or security requirements."
attorney,advisor,legal,"To provide information to representatives and advisors, including attorneys and accountants, to help us comply with legal, accounting, or security requirements."
browser,we,"analytics, legal, security","Web beacons allow us to collect information about when you open the email, your IP address, your browser or email client type, and other similar details."
browsing / search history,we,"analytics, legal, security","When you use the Services or browse one of our Websites, we may collect information about your visit to our Websites, your usage of the Services, and your web browsing activity."
