data_type,collector,purpose,text
UNSPECIFIED_DATA,we,"security, services","Also, please note that we often need to retain certain data for reasons such as recordkeeping and/or to complete any transaction that you began prior to requesting a change or deletion of your data.
Therefore: We may retain the data for a longer period if required for compliance with a legal obligation according to applicable law (e.g., to meet tax or commercial law retention obligations) or to the extent required for establishment, exercise, or defense of legal claims.
We may use this data and share it with third parties for our lawful business purposes, including to analyze, improve and promote the Services and our business.
We store our customers' information on our service providers' servers but process it as a processor under our customers' instructions and in accordance with our  Terms of Use , which prohibit us from using such information except as necessary to provide and improve our Services and as required by law.
identify personal information by removing information that makes the data personally identifiable to you."
alias,we,"security, services","The Services will store replies, outgoing mail, incoming mail, email headers, subject line, distribution lists, aliases, time sent, and email bodies."
auditor,professional advisor,,"Professional advisors, such as lawyers, auditors, bankers and insurers, where necessary in the course of the professional services that they render to us."
banker,professional advisor,,"Professional advisors, such as lawyers, auditors, bankers and insurers, where necessary in the course of the professional services that they render to us."
communication,business partner,,"We, our service providers, and our business partners may automatically log information about you, your computer or mobile device, and your interaction over time with the Services, our communications and other online services, such as:"
communication,service provider,,"We, our service providers, and our business partners may automatically log information about you, your computer or mobile device, and your interaction over time with the Services, our communications and other online services, such as:"
communication,we,"security, services","We, our service providers, and our business partners may automatically log information about you, your computer or mobile device, and your interaction over time with the Services, our communications and other online services, such as:"
cookie / pixel tag,we,"security, services, analytics","Cookies and other tracking technologies . Like many online services, we use the following technologies:
Like many online services, we use the following technologies: Cookies , which are small text files that websites store on user devices and that allow web servers to record users' web browsing activities and remember their submissions, preferences and login status as they navigate a site.
Like many online services, we use the following technologies: Web beacons , also known as pixel tags or clear GIFs, which are clear images placed in web content or HTML emails to record when a user visits a web page or interacts with an email."
credit / debit card number,payment processor,,Any payment card information you use to make a purchase on the Services is collected and processed directly by our payment processors.
day ai,we,"security, services, analytics, legal","This Privacy Policy describes how Day AI (""Day AI"", the "" Company "" ""we"") handles personal information that we collect, receive, use, store, share, transfer and process through our Services, as well as through our social media, marketing activities, and other activities described in this Privacy Policy and when you use any other sites or services that link to this Privacy Policy."
email body,we,"security, services, analytics","The Services will store replies, outgoing mail, incoming mail, email headers, subject line, distribution lists, aliases, time sent, and email bodies."
email header,we,"security, services, analytics","The Services will store replies, outgoing mail, incoming mail, email headers, subject line, distribution lists, aliases, time sent, and email bodies."
geolocation,UNSPECIFIED_ACTOR,,"We and such third-party vendors may access and use information about webpages visited on our website, your IP address, your general geographic information (e.g., city, state), and other personal information you share through online chats for the purposes described in this Privacy Policy .
We may use chat technologies provided by one or more third-party vendors that employ cookies and software code to operate the chat features you can use to communicate with us through the Services."
geolocation,we,"security, services, analytics","We and such third-party vendors may access and use information about webpages visited on our website, your IP address, your general geographic information (e.g., city, state), and other personal information you share through online chats for the purposes described in this Privacy Policy ."
government identification,we,"security, services, analytics","To verify your identity, we may require you to log into your Day AI account if you have one, provide information we can match against information we may have collected from you previously, confirm your request using the email address we have on file, provide government identification, or provide a declaration under penalty of perjury, where permitted by law."
incoming mail,we,"security, services, analytics","The Services will store replies, outgoing mail, incoming mail, email headers, subject line, distribution lists, aliases, time sent, and email bodies."
information about webpage visit on website,UNSPECIFIED_ACTOR,,"We and such third-party vendors may access and use information about webpages visited on our website, your IP address, your general geographic information (e.g., city, state), and other personal information you share through online chats for the purposes described in this Privacy Policy .
We may use chat technologies provided by one or more third-party vendors that employ cookies and software code to operate the chat features you can use to communicate with us through the Services."
information about webpage visit on website,we,"security, services, analytics","We and such third-party vendors may access and use information about webpages visited on our website, your IP address, your general geographic information (e.g., city, state), and other personal information you share through online chats for the purposes described in this Privacy Policy ."
information we match against information we collect from you,we,"security, services, analytics","To verify your identity, we may require you to log into your Day AI account if you have one, provide information we can match against information we may have collected from you previously, confirm your request using the email address we have on file, provide government identification, or provide a declaration under penalty of perjury, where permitted by law."
insurer,professional advisor,,"Professional advisors, such as lawyers, auditors, bankers and insurers, where necessary in the course of the professional services that they render to us."
ip address,UNSPECIFIED_ACTOR,,"We and such third-party vendors may access and use information about webpages visited on our website, your IP address, your general geographic information (e.g., city, state), and other personal information you share through online chats for the purposes described in this Privacy Policy .
We may use chat technologies provided by one or more third-party vendors that employ cookies and software code to operate the chat features you can use to communicate with us through the Services."
ip address,we,"security, services, analytics","We and such third-party vendors may access and use information about webpages visited on our website, your IP address, your general geographic information (e.g., city, state), and other personal information you share through online chats for the purposes described in this Privacy Policy ."
lawyer,professional advisor,,"Professional advisors, such as lawyers, auditors, bankers and insurers, where necessary in the course of the professional services that they render to us."
notification of change,we,"security, services, analytics","If required by law we will also provide notification of changes in another way that we believe is reasonably likely to reach you, such as via email or another manner through the Services."
outgoing mail,we,"security, services, analytics","The Services will store replies, outgoing mail, incoming mail, email headers, subject line, distribution lists, aliases, time sent, and email bodies."
personal information you authorize we,we,"security, services, analytics, legal","If you have enabled features or functionality that connect the Services to a third-party platform (such as by logging in to the Services using your account with the third-party, providing your API key or similar access token for the Services to a third party, or otherwise linking your account with the Services to a third party's services), we may disclose the personal information that you authorized us to share."
personal information you share through online chat,UNSPECIFIED_ACTOR,,"We and such third-party vendors may access and use information about webpages visited on our website, your IP address, your general geographic information (e.g., city, state), and other personal information you share through online chats for the purposes described in this Privacy Policy .
We may use chat technologies provided by one or more third-party vendors that employ cookies and software code to operate the chat features you can use to communicate with us through the Services."
personal information you share through online chat,we,"security, services, analytics, legal","We and such third-party vendors may access and use information about webpages visited on our website, your IP address, your general geographic information (e.g., city, state), and other personal information you share through online chats for the purposes described in this Privacy Policy ."
reply,we,"security, services, analytics, legal","The Services will store replies, outgoing mail, incoming mail, email headers, subject line, distribution lists, aliases, time sent, and email bodies."
subject line,we,"security, services, analytics, legal","The Services will store replies, outgoing mail, incoming mail, email headers, subject line, distribution lists, aliases, time sent, and email bodies."
time send,we,"security, services, analytics, legal","The Services will store replies, outgoing mail, incoming mail, email headers, subject line, distribution lists, aliases, time sent, and email bodies."
