data_type,collector,purpose,text
UNSPECIFIED_DATA,UNSPECIFIED_ACTOR,"advertising, analytics, legal, security","We will disclose your information to entities as described below: Our affiliates and subsidiaries: Where permitted by law and unless you request otherwise, we will share your information with our affiliates and subsidiaries for the purposes set forth in this Privacy Policy."
UNSPECIFIED_DATA,administration of general business,,"We will disclose your information to entities as described below: General Business Operations: We disclose information where necessary to the administration of our general business, accounting, record keeping and legal functions, to our tax advisors, legal counsel and other professional services entities or agents."
UNSPECIFIED_DATA,we,"advertising, analytics, legal, security","Disclosing Your Information
We will disclose your information to entities as described below: General Business Operations: We disclose information where necessary to the administration of our general business, accounting, record keeping and legal functions, to our tax advisors, legal counsel and other professional services entities or agents.
We will disclose your information to entities as described below: In Response to Legal Process: We disclose your information to comply with the law, a judicial proceeding, court order or other legal process, such as in response to a subpoena or warrant.
We will disclose your information to entities as described below: Our affiliates and subsidiaries: Where permitted by law and unless you request otherwise, we will share your information with our affiliates and subsidiaries for the purposes set forth in this Privacy Policy.
We will disclose your information to entities as described below: To Protect Us and Others: We disclose your information where we believe it is necessary to investigate, prevent or take action regarding illegal activities, suspected fraud, situations involving potential threats to the safety rights, property, or security of Green Patch, Inc., the Service, or of any person or violations of this Privacy Policy or our Terms of Use."
aggregate / deidentified / pseudonymized information,service provider,"advertising, analytics","We may share aggregate or anonymized information about use of the Service with service providers for marketing, advertising, research, analytics or other similar purposes."
aggregate / deidentified / pseudonymized information,we,"advertising, analytics, legal, security","We may share aggregate or anonymized information about use of the Service with service providers for marketing, advertising, research, analytics or other similar purposes."
contact information,we,"advertising, analytics, legal, security",We may collect the following personal data from you directly through our Service: phone number and other contact details; and
credit / debit card number,third party payment processor govern,,"That information is provided directly to our third-party payment processors whose use of your personal data is governed by their Privacy Policy.
We will not store or collect your payment card details."
datum collect,Google,analytics,Google uses the data collected to track and monitor the use of our Service.
general business operations,we,"advertising, analytics, legal, security, services","We will disclose your information to entities as described below: General Business Operations: We disclose information where necessary to the administration of our general business, accounting, record keeping and legal functions, to our tax advisors, legal counsel and other professional services entities or agents."
information browser send,we,"advertising, analytics, legal, security, services","We may also collect information that your browser sends whenever you visit our Service (""Log Data"")."
personal data be,we,"advertising, analytics, legal, security, services",We will only collect personal data that is necessary to fulfill the following purposes:
preference cookies,we,"advertising, analytics, legal, security, services",We use Preference Cookies to remember your preferences and various settings.
service providers,we,"advertising, analytics, legal, security, services",We will disclose your information to entities as described below: Service Providers: As described in the Service Providers section below.
