data_type,collector,purpose,text
UNSPECIFIED_DATA,we,,"We make personal information into anonymous data by removing information that makes the data personally identifiable to you.
We may use this anonymous data and share it with third parties for our lawful business purposes, including to analyze and improve our Services and promote our business."
asset,we,"analytics, advertising, legal, security, services","We may sell, transfer or otherwise share some or all of our business or assets, including your personal information, in connection with a business transaction (or potential business transaction) such as a corporate divestiture, merger, consolidation, acquisition, reorganization or sale of assets, or in the event of bankruptcy or dissolution."
auditor,we,"analytics, advertising, legal, security, services","We may share your personal information with third party companies and individuals that provide services on our behalf or help us operate our Services (such as lawyers, bankers, auditors, insurers, and providers that assist with hosting, analytics, email delivery, marketing, and database management)."
banker,we,"analytics, advertising, legal, security, services","We may share your personal information with third party companies and individuals that provide services on our behalf or help us operate our Services (such as lawyers, bankers, auditors, insurers, and providers that assist with hosting, analytics, email delivery, marketing, and database management)."
contact information,we,,"We may also provide notification of changes in another way that we believe is reasonably likely to reach you, such as via email (if you have an account where we have your contact information) or another manner through our Services."
contact information,we,"analytics, advertising, legal, security, services","We may also provide notification of changes in another way that we believe is reasonably likely to reach you, such as via email (if you have an account where we have your contact information) or another manner through our Services."
cookie / pixel tag,we,analytics,"We use the following tools for automatic data collection: Cookies , which are text files that websites store on a visitor's device to uniquely identify the visitor's browser or to store information or settings in the browser for the purpose of helping you navigate between pages efficiently, remembering your preferences, enabling functionality, helping us understand user activity and patterns, and facilitating online advertising.
We use the following tools for automatic data collection: Web beacons, also known as pixel tags or clear GIFs, which are used to demonstrate that a webpage or email was accessed or opened, or that certain content was viewed or clicked."
date,we,analytics,We may use pixels in our email campaigns that allow us to collect your email and IP address as well as the date and time you open an email or click on any links in the email that we may send to you.
diversity information you provide,we,"analytics, advertising, legal, security, services","This may also include diversity information that you voluntarily provide.
We may also use and share this information to provide improved administration of the website, and as otherwise necessary: (a) to comply with relevant laws or to respond to subpoenas or warrants served on us; (b) to protect and defend the rights or property of us or others; or (c) in connection with a legal investigation.
We use this information to facilitate our recruitment activities and process employment applications, such as by evaluating a job candidate for an employment activity, and monitoring recruitment statistics."
email address,we,"analytics, advertising, legal, security, services","We may also provide notification of changes in another way that we believe is reasonably likely to reach you, such as via email (if you have an account where we have your contact information) or another manner through our Services.
We may use pixels in our email campaigns that allow us to collect your email and IP address as well as the date and time you open an email or click on any links in the email that we may send to you."
insurer,we,"analytics, advertising, legal, security, services","We may share your personal information with third party companies and individuals that provide services on our behalf or help us operate our Services (such as lawyers, bankers, auditors, insurers, and providers that assist with hosting, analytics, email delivery, marketing, and database management)."
ip address,we,"analytics, advertising, legal, security, services",We may use pixels in our email campaigns that allow us to collect your email and IP address as well as the date and time you open an email or click on any links in the email that we may send to you.
lawyer,we,"analytics, advertising, legal, security, services","We may share your personal information with third party companies and individuals that provide services on our behalf or help us operate our Services (such as lawyers, bankers, auditors, insurers, and providers that assist with hosting, analytics, email delivery, marketing, and database management)."
personal information associate with account,we,"analytics, advertising, legal, security, services","As a product user, we archive meetings recorded through the Services after one (1) year from creation, and we retain other personal information associated with your account as long as you have an active account with us, in each case, unless you have requested deletion of your data in accordance with this Privacy Policy or as otherwise specified in your user agreement with us."
personal information we share,we,"analytics, advertising, legal, security, services",Our affiliates may use the personal information we share in a manner consistent with this Privacy Policy.
pixel in email campaign,we,"analytics, advertising, legal, security, services",We may use pixels in our email campaigns that allow us to collect your email and IP address as well as the date and time you open an email or click on any links in the email that we may send to you.
provider assist with hosting,we,"analytics, advertising, legal, security, services","We may share your personal information with third party companies and individuals that provide services on our behalf or help us operate our Services (such as lawyers, bankers, auditors, insurers, and providers that assist with hosting, analytics, email delivery, marketing, and database management)."
