data_type,collector,purpose,text
UNSPECIFIED_DATA,UNSPECIFIED_ACTOR,,"We may share your data with third party vendors, service providers, contractors or agents who perform services for us or on our behalf and require access to such information to do that work."
UNSPECIFIED_DATA,contractor,,"We may share your data with third party vendors, service providers, contractors or agents who perform services for us or on our behalf and require access to such information to do that work."
UNSPECIFIED_DATA,service provider,,"We may share your data with third party vendors, service providers, contractors or agents who perform services for us or on our behalf and require access to such information to do that work."
UNSPECIFIED_DATA,we,"advertising, analytics, legal, services","In Short: We keep your information for as long as necessary to fulfill the purposes outlined in this privacy policy unless otherwise required by law.
In Short: We may collect limited data from public databases, marketing partners, social platforms, and other outside sources.
In Short: We may use cookies and other tracking technologies to collect and store your information.
In Short: We only share information with your consent, to comply with laws, to protect your rights, or to fulfill business obligations.
In Short: We process your information for purposes based on legitimate business interests, the fulfillment of our contract with you, compliance with our legal obligations, and/or your consent.
Like many businesses, we also collect information through cookies and similar technologies.
More specifically, we may need to process your data or share your personal information in the following situations:
We automatically collect certain information when you visit, use or navigate the Sites.
We may disclose your information where we are legally required to do so in order to comply with applicable law, governmental requests, a judicial proceeding, court order, or legal process, such as in response to a court order or a subpoena (including in response to public authorities to meet national security or law enforcement requirements).
We may disclose your information where we believe it is necessary to investigate, prevent, or take action regarding potential violations of our policies, suspected fraud, situations involving potential threats to the safety of any person and illegal activities, or as evidence in litigation in which we are involved.
We may process or share data based on the following legal basis: Consent: We may process your data if you have given us specific consent to use your personal information in a specific purpose.
We may process or share data based on the following legal basis: Legitimate Interests: We may process your data when it is reasonably necessary to achieve our legitimate business interests.
We may share or transfer your information in connection with, or during negotiations of, any merger, sale of company assets, financing, or acquisition of all or a portion of our business to another company.
We may share your data with third party vendors, service providers, contractors or agents who perform services for us or on our behalf and require access to such information to do that work.
We may use your information for other Business Purposes, such as data analysis, identifying usage trends, determining the effectiveness of our promotional campaigns and to evaluate and improve our Sites, products, services, marketing and your experience.
We may use your information to request feedback and to contact you about your use of our Sites.
We seek to explain to you in the clearest way possible what information we collect, how we use it and what rights you have in relation to it."
contact information,we,"advertising, analytics, legal, services","We collect your first and last name, email address, postal address, phone number, and other similar contact data."
cookie / pixel tag,we,"advertising, analytics, legal, services","In Short: We may use cookies and other tracking technologies to collect and store your information.
We may use cookies and similar tracking technologies (like web beacons and pixels) to access or store information."
email address,we,"advertising, analytics, legal, services","We collect your first and last name, email address, postal address, phone number, and other similar contact data."
feedback,we,"advertising, analytics, legal, services",We may use your information to request feedback and to contact you about your use of our Sites.
information about you,we,"advertising, analytics, legal, services","In Short: If you choose to register or log in to our websites using a social account, we may have access to certain information about you.
We may obtain information about you from other sources, such as public databases, joint marketing partners, social platforms (such as Google), as well as from other third parties."
information describe in section call,we,"advertising, analytics, legal, services","If you choose to register in this way, we will collect the Information described in the section called ""HOW DO WE HANDLE YOUR SOCIAL LOGINS"" below."
information we collect,we,"advertising, analytics, legal, services",We use the information we collect or receive:
information we receive,we,"advertising, analytics, legal, services",We will use the information we receive only for the purposes that are described in this privacy policy or that are otherwise made clear to you on the Sites.
information you allow,we,"advertising, analytics, legal, services","If you choose to link your account with us to a third party account *(such as your Google account), we use the information you allowed us to collect from those third parties to facilitate account creation and logon process."
option,we,"advertising, analytics, legal, services","We provide you with the option to register using 3rd party account details, like your Google account."
password,we,"advertising, analytics, legal, services","We collect passwords, password hints, and similar security information used for authentication and account access."
password hint,we,"advertising, analytics, legal, services","We collect passwords, password hints, and similar security information used for authentication and account access."
payment datum,payment processor,,All payment data is stored by our payment processor and you should review its privacy policies and contact the payment processor directly to respond to your questions.
person name,we,"advertising, analytics, legal, services","We collect your first and last name, email address, postal address, phone number, and other similar contact data."
personal information collect via site,we,"advertising, analytics, legal, services",We use personal information collected via our Sites for a variety of business purposes described below.
personal information you send to we,third party marketing partner,advertising,"We and/or our third party marketing partners may use the personal information you send to us for our marketing purposes, if this is in accordance with your marketing preferences."
personal information you send to we,we,"advertising, analytics, legal, services","We and/or our third party marketing partners may use the personal information you send to us for our marketing purposes, if this is in accordance with your marketing preferences."
phone number,we,"advertising, analytics, legal, services","We collect your first and last name, email address, postal address, phone number, and other similar contact data."
postal address,we,"advertising, analytics, legal, services","We collect your first and last name, email address, postal address, phone number, and other similar contact data."
profile information,we,"advertising, analytics, legal, services","The profile Information we receive may vary depending on the social provider concerned, but will often include your name, email address, friends list, profile picture as well as other information you choose to make public."
profile information about you,we,"advertising, analytics, legal, services","Where you choose to do this, we will receive certain profile information about you from your social provider."
security information use for authentication,we,"advertising, analytics, legal, services","We collect passwords, password hints, and similar security information used for authentication and account access."
zcal inc.,we,"advertising, analytics, legal, services","Thank you for choosing to be part of our community at zcal, Inc. ("" Company "", "" we "", "" us "", or "" our "")."
