data_type,collector,purpose,text
UNSPECIFIED_DATA,Cirrus Insight,"advertising, analytics, legal, security, services","Cirrus Insight automatically collects information and log details to operate the www.cirrusinsight.com websites.
Cirrus Insight retains this Information only for as long as needed for Cirrus Insight's legitimate business purposes and as required by applicable laws, investigations, or other security matters.
Collecting Your Information
If you are based in the EEA or Switzerland, you acknowledge that Cirrus Insight may transfer your Information (including Personal Data) to Cirrus Insight and Cirrus Insight's facilities in the United States or elsewhere, including those of third parties as described in the "" Business Transfers "" and "" Third-Party Service Providers "" sections of this Privacy Policy.
If you voluntarily provide PII through Cirrus Insight's www.cirrusinsight.com website or directly to Cirrus Insight designated representatives, Cirrus Insight may retain this Information in accordance with the Data Storage section of this Privacy Policy.
In providing the Services, Cirrus Insight may have access to this data when providing live technical support.
In relation to the Services that Cirrus Insight provides to a Client, Cirrus Insight retains data only as directed by that Client.
Other Disclosures: Cirrus Insight may disclose information to fulfill the purpose for which you provide it and to enforce or apply agreements with Cirrus Insight.
When you access the Services and Websites of Cirrus Insight, including requests for Product demonstration, via a browser, application, or other devices, Cirrus Insight's servers automatically record certain information.
Your information will be used by Cirrus Insight for the purposes of carrying out its application and recruitment process which includes:"
UNSPECIFIED_DATA,UNSPECIFIED_ACTOR,"analytics, services","For data portability requests, Cirrus Insight will select a format to provide your PII that is readily usable and should allow you to transmit the Information from one entity to another entity.
In all instances, third-party services providers can only use any data for Cirrus Insight's business purposes as specified in Cirrus Insight's written agreement with them and not their own purposes."
UNSPECIFIED_DATA,product engineering team,,Your data will also be utilized by our product engineering team in development and testing activities.
UNSPECIFIED_DATA,we,"analytics, legal, security, services","Collecting Your Information
These cookies are used to collect information about how you interact with our website and allow us to remember you.
We use this information in order to improve and customize your browsing experience and for analytics and metrics about our visitors both on this website and other media.
We use this information to authenticate, connect, or link your third-party accounts to Cirrus Insight.
We will also use your information to protect the rights and property of Cirrus Insight, our users, applicants, candidates, employees or the public as required or permitted by law.
We will provide you with your information, in a machine-readable format, so that you can make use of it in other contexts, or with other service providers."
action,Cirrus Insight,"advertising, analytics, legal, security, services","When any individual uses the ""Do Not Track"" setting, Cirrus Insight will only log the action, but will not store the user agent or IP address."
administrator account information,Cirrus Insight,"advertising, analytics, legal, security, services","In addition, Cirrus Insight may collect and transfer the following information between the US and other countries when deemed necessary for operating of business or hired services: Administrator account information"
aggregate / deidentified / pseudonymized information,Cirrus Insight,"advertising, analytics, legal, security, services",Cirrus Insight uses de-identified data for business analytics purposes.
anonymized web server log file,Cirrus Insight,"advertising, analytics, legal, security, services",Cirrus Insight stores anonymized web server log files by keeping only part of the user's IP address and generalizing the user agent.
client billing information,Cirrus Insight,"advertising, analytics, legal, security, services","In addition, Cirrus Insight may collect and transfer the following information between the US and other countries when deemed necessary for operating of business or hired services: Client billing information"
client datum,Cirrus Insight,"advertising, analytics, legal, security, services","As a standard practice, Cirrus Insight will store and maintain Client data for up to 90 days after the termination of an applicable agreement, unless a return of the data is requested by Client."
client datum,client,,"As a standard practice, Cirrus Insight will store and maintain Client data for up to 90 days after the termination of an applicable agreement, unless a return of the data is requested by Client."
cookie / pixel tag,Cirrus Insight,"advertising, analytics, legal, security, services","Cirrus Insight uses cookies and similar technologies for tracking across different devices, websites and online services."
cookie / pixel tag,we,"analytics, legal, security, services","Cirrus Insight uses cookies and similar technologies for tracking across different devices, websites and online services.
These Services may collect information sent by your browser as part of a web page request, such as cookies or your IP request.
This website stores cookies on your computer.
We use this information both for secure authentication and for the maintenance of your active sessions."
crm info,Cirrus Insight,"advertising, analytics, legal, security, services","Cirrus Insight uses search engines (Bing and Google), paid social media (LinkedIn, Twitter, and Facebook), email marketing (current and future Cirrus Insight blog), contests (CRM info), surveys (anonymous and/or CRM), lead generation forms (Facebook and LinkedIn) to provide marketing to Client representatives who have opted in to receive marketing materials."
email address,Cirrus Insight,"advertising, analytics, legal, security, services","If you contact us by email, Cirrus Insight will obtain and store your email address."
end user datum,Cirrus Insight,"advertising, analytics, legal, security, services","In order to provide the Services contracted by a Client, Cirrus Insight must collect end-user data and metadata from the Client operating systems."
end user datum store within cirrus insight server,UNSPECIFIED_ACTOR,"analytics, services","End-user data stored within the Cirrus Insight servers are encrypted and may be sold or transferred to a third party if Cirrus Insight is involved in an acquisition, merger or other corporate reorganization transaction."
end user information,Cirrus Insight,"advertising, analytics, legal, security, services","Law and Harm: Cirrus Insight may disclose End-user Information if Cirrus Insight believes that it is reasonably necessary to comply with a law, regulation, or legal request; to protect the safety of any person; to address fraud, security, or technical issues; or to protect Cirrus Insight's rights or property."
financial information,Cirrus Insight,"advertising, analytics, legal, security, services","Cirrus Insight may collect financial information from potential customers to process Cirrus Insight's customer payments, such as:"
