data_type,collector,purpose,text
UNSPECIFIED_DATA,Facebook,,Facebook pixel may collect information from your device when you use the service.
UNSPECIFIED_DATA,we,,"We automatically collect certain information when you visit, use or navigate the platform."
associated subdomain,we,"security, services","This Privacy Policy applies to our website, and its associated subdomains (collectively, our ""Service"") alongside our application, Mindbeat."
conversation,we,security,We do store all conversation and personal data for up to 6 years unless your account is deleted.
cookie / pixel tag,UNSPECIFIED_ACTOR,,Such third parties may use their own cookies or other methods to collect information about you.
cookie / pixel tag,we,security,We use Cookies to enhance the performance and functionality of our website but are non-essential to their use.
cookie / pixel tag,we,"security, services",We use Cookies to enhance the performance and functionality of our website but are non-essential to their use.
cookie / pixel tag,we,"security, services, analytics",We use Cookies to enhance the performance and functionality of our website but are non-essential to their use.
information hold in accordance with privacy policy,Facebook,,Facebook pixel collects information that is held in accordance with its Privacy Policy.
information you provide to we,we,"security, services","If you are a Mindbeat worker or applicant, we collect information you voluntarily provide to us."
information you provide to we during course of,we,"security, services",We will collect information that you provide to us during the course of your communicating with and accessing our coaches.
personal datum relate to user of service,we,"security, services","We collect, store and process personal data relating to users of our services in order to ensure that our services can be provided properly and to the benefit of users."
personal information,corporate affiliates,,We may disclose information (including personal information) about you to our Corporate Affiliates.
personal information,corporate affiliates,analytics,We may disclose information (including personal information) about you to our Corporate Affiliates.
personal information,we,"security, services","This privacy notice sets down how we collect and use personal information about you during and after your engagement with us.
We do store all conversation and personal data for up to 6 years unless your account is deleted.
We may disclose information (including personal information) about you to our Corporate Affiliates."
personal information,we,"security, services, analytics","This privacy notice sets down how we collect and use personal information about you during and after your engagement with us.
We do store all conversation and personal data for up to 6 years unless your account is deleted.
We may disclose information (including personal information) about you to our Corporate Affiliates."
technical information,we,"security, services",We may also collect technical information to help us identify your device for fraud prevention and diagnostic purposes.
