data_type,collector,purpose,text
UNSPECIFIED_DATA,UNSPECIFIED_ACTOR,,"If you interact with a third-party service linked through our Services, you may be providing information directly to such a third party.
When you use third-party services that are integrated with our Services, they may receive information about what you share with them."
UNSPECIFIED_DATA,we,"analytics, services","All of our rights and obligations under our Privacy Policy are freely assignable by us to any of our affiliates, in connection with a merger, acquisition, restructuring, or sale of assets, or by operation of law or otherwise, and we may transfer your information to any of our affiliates, successor entities, or new owner.
If you pay for our Services, we may receive information and confirmations, such as payment receipts, including from app stores or other third parties processing your payment.
These cookies are used to collect information about how you interact with our website and allow us to remember you.
We also use your information to respond to you when you contact us.
We may collect, use, preserve, and share your information if we have a good-faith belief that it is reasonably necessary to:
We use this information in order to improve and customize your browsing experience and for analytics and metrics about our visitors both on this website and other media.
We use your data to provide and improve the Service.
You share your information as you use and communicate through our Services, and we share your information to help us operate, provide, improve, understand, customize, support, and market our Services."
billing information,we,"analytics, services",You may also provide us with billing information if you choose to use any of our paid services.
cookie / pixel tag,we,"analytics, services","For example, we use cookies to provide huddl.ai for web and other web-based services.
This website stores cookies on your computer.
We use cookies to operate and provide our Services, including to provide our Services that are web-based, improve your experiences, understand how our Services are being used, and customize our Services."
device specific information,we,"analytics, services","We collect device-specific information when you install, access, or use our Services."
huddl inc,we,"analytics, services","Huddl, Inc (""us"", ""we"", or ""our"") operates the huddl.ai application (the ""Service"")."
information about experience,we,"analytics, services","We may from time to time ask you to provide information about your experiences, which will be used to measure and improve quality."
information about you,UNSPECIFIED_ACTOR,,"These providers may provide us information about you in certain circumstances; for example, app stores may provide us with reports to help us diagnose and fix service issues."
information about you,we,"analytics, services","These providers may provide us information about you in certain circumstances; for example, app stores may provide us with reports to help us diagnose and fix service issues.
We may disclose information about you if we determine that for national security, law enforcement, or other issues of public importance disclosure of the information is necessary.
We may disclose information about you if we determine that for national security, law enforcement, or other issues of public importance that disclosure of information is necessary."
information we have,we,"analytics, services","We understand how people use our Services, and analyze and use the information we have to evaluate and improve our Services, research, develop, and test new services and features, and conduct troubleshooting activities.
We use all the information we have to help us operate, provide, improve, understand, customize, support, and market our Services."
log,huddl.ai,"legal, security","huddl.ai also retains logs and related metadata in order to address security, compliance, or statutory needs."
option delete account,huddl.ai platform,,"The huddl.ai platform provides active users with the option to delete their account, in turn their personal data."
phone number,bandwidth.com,,"Also, phone numbers are shared with providers like Bandwidth.com (previously Voxbone), Vonage (previously Nexmo), and VoxValley for PSTN connectivity."
phone number,nexmo,,"Also, phone numbers are shared with providers like Bandwidth.com (previously Voxbone), Vonage (previously Nexmo), and VoxValley for PSTN connectivity."
phone number,vonage,,"Also, phone numbers are shared with providers like Bandwidth.com (previously Voxbone), Vonage (previously Nexmo), and VoxValley for PSTN connectivity."
phone number,voxbone,,"Also, phone numbers are shared with providers like Bandwidth.com (previously Voxbone), Vonage (previously Nexmo), and VoxValley for PSTN connectivity."
phone number,voxvalley for pstn connectivity,,"Also, phone numbers are shared with providers like Bandwidth.com (previously Voxbone), Vonage (previously Nexmo), and VoxValley for PSTN connectivity."
relate information,we,"analytics, services","We collect service-related, diagnostic, and performance information."
related metadata,huddl.ai,"legal, security","huddl.ai also retains logs and related metadata in order to address security, compliance, or statutory needs."
report help,app store,,"These providers may provide us information about you in certain circumstances; for example, app stores may provide us with reports to help us diagnose and fix service issues."
report help,we,"analytics, services","These providers may provide us information about you in certain circumstances; for example, app stores may provide us with reports to help us diagnose and fix service issues."
