data_type,collector,purpose,text
UNSPECIFIED_DATA,separate data controller,,"In such a case we will provide you with a copy of your data in a structured, commonly used and machine-readable format or (where technically feasible) we may transmit your data directly to a separate data controller."
UNSPECIFIED_DATA,we,,"In such a case we will provide you with a copy of your data in a structured, commonly used and machine-readable format or (where technically feasible) we may transmit your data directly to a separate data controller."
affiliate list in affiliated party section,berlitz,,"For personal information received from the European Union, European Economic Area, United Kingdom (and Gibraltar), or Switzerland, Berlitz (including its Affiliates listed in the ""Affiliated Parties"" section above) is committed to handling your personal information in accordance with this Policy and the EU-U.S. Data Privacy Framework (EU-U.S. DPF), the UK Extension to the EU-U.S. DPF, and the Swiss-U.S. Data Privacy Framework (Swiss-U.S. DPF), as administered by the U.S. Department of Commerce."
affiliates,we,"advertising, services, analytics, legal, security","We may, however, share your personal information with certain entities that control us, are controlled by us, or are under common control with us (our ""Affiliates""), and websites operated by our Affiliates."
age,berlitz,,"We collect various types of ""personal information"" depending upon how you use our websites, such as: If you are a past or present employee of Berlitz (or one of its affiliates) who is based in the European Union, European Economic Area, United Kingdom (and Gibraltar), or Switzerland, Berlitz may collect your name, address, phone number, and other contact details, employment and academic history, financial information, age, gender, nationality, date and place of birth, marital status, language skills, employee and government IDs, income, dates of employment, and tax information (""Human Resources Data"")."
age,we,"advertising, services","We also may ask you for additional information, such as your age, interests, product preferences, or zip code.
We process such information to administer the sweepstakes or contest."
contact information,berlitz,,"We collect various types of ""personal information"" depending upon how you use our websites, such as: If you are a past or present employee of Berlitz (or one of its affiliates) who is based in the European Union, European Economic Area, United Kingdom (and Gibraltar), or Switzerland, Berlitz may collect your name, address, phone number, and other contact details, employment and academic history, financial information, age, gender, nationality, date and place of birth, marital status, language skills, employee and government IDs, income, dates of employment, and tax information (""Human Resources Data"")."
contact information,we,"advertising, services","We collect various types of ""personal information"" depending upon how you use our websites, such as: When you use our form for scheduling appointments, we collect your name, email address and other contact details, and selection of language."
copy of datum in structured format,we,"advertising, services","In such a case we will provide you with a copy of your data in a structured, commonly used and machine-readable format or (where technically feasible) we may transmit your data directly to a separate data controller."
credit / debit card number,we,"advertising, services","We collect various types of ""personal information"" depending upon how you use our websites, such as: When you open a customer account and order from us, we collect your name, address, email address, phone number, and credit card number with expiration date, as well as your usage data, such as user name, password, and purchase information."
date,berlitz,,"We collect various types of ""personal information"" depending upon how you use our websites, such as: If you are a past or present employee of Berlitz (or one of its affiliates) who is based in the European Union, European Economic Area, United Kingdom (and Gibraltar), or Switzerland, Berlitz may collect your name, address, phone number, and other contact details, employment and academic history, financial information, age, gender, nationality, date and place of birth, marital status, language skills, employee and government IDs, income, dates of employment, and tax information (""Human Resources Data"")."
date of employment,berlitz,,"We collect various types of ""personal information"" depending upon how you use our websites, such as: If you are a past or present employee of Berlitz (or one of its affiliates) who is based in the European Union, European Economic Area, United Kingdom (and Gibraltar), or Switzerland, Berlitz may collect your name, address, phone number, and other contact details, employment and academic history, financial information, age, gender, nationality, date and place of birth, marital status, language skills, employee and government IDs, income, dates of employment, and tax information (""Human Resources Data"")."
datum you submit to we,we,"advertising, services","We collect various types of ""personal information"" depending upon how you use our websites, such as: When you submit an inquiry, we collect your name, email address, and zip code, phone, location of residence, program of interest, language of interest, preferred starting Date and the data you submit to us using the text box in order to process and respond to your inquiries."
email address,we,"advertising, services","We collect various types of ""personal information"" depending upon how you use our websites, such as: When you enter a sweepstakes or contest online, we collect your name, address, email address, and phone number.
We collect various types of ""personal information"" depending upon how you use our websites, such as: When you indicate that you want to receive marketing emails from us or in case we have another legal basis, we collect your name and email address to send you offers and information about our websites, or products, services, and events offered by us or one of our affiliates, including for marketing and promotional purposes (as permitted by law).
We collect various types of ""personal information"" depending upon how you use our websites, such as: When you open a customer account and order from us, we collect your name, address, email address, phone number, and credit card number with expiration date, as well as your usage data, such as user name, password, and purchase information.
We collect various types of ""personal information"" depending upon how you use our websites, such as: When you submit an application for employment purposes, we collect your name, address, telephone, email, preferred workplace, previous work experience, skills, referral information, and application documents that you choose to submit.
We collect various types of ""personal information"" depending upon how you use our websites, such as: When you submit an inquiry, we collect your name, email address, and zip code, phone, location of residence, program of interest, language of interest, preferred starting Date and the data you submit to us using the text box in order to process and respond to your inquiries.
We collect various types of ""personal information"" depending upon how you use our websites, such as: When you use our form for scheduling appointments, we collect your name, email address and other contact details, and selection of language."
employment history,berlitz,,"We collect various types of ""personal information"" depending upon how you use our websites, such as: If you are a past or present employee of Berlitz (or one of its affiliates) who is based in the European Union, European Economic Area, United Kingdom (and Gibraltar), or Switzerland, Berlitz may collect your name, address, phone number, and other contact details, employment and academic history, financial information, age, gender, nationality, date and place of birth, marital status, language skills, employee and government IDs, income, dates of employment, and tax information (""Human Resources Data"")."
financial information,berlitz,,"We collect various types of ""personal information"" depending upon how you use our websites, such as: If you are a past or present employee of Berlitz (or one of its affiliates) who is based in the European Union, European Economic Area, United Kingdom (and Gibraltar), or Switzerland, Berlitz may collect your name, address, phone number, and other contact details, employment and academic history, financial information, age, gender, nationality, date and place of birth, marital status, language skills, employee and government IDs, income, dates of employment, and tax information (""Human Resources Data"")."
gender,berlitz,,"We collect various types of ""personal information"" depending upon how you use our websites, such as: If you are a past or present employee of Berlitz (or one of its affiliates) who is based in the European Union, European Economic Area, United Kingdom (and Gibraltar), or Switzerland, Berlitz may collect your name, address, phone number, and other contact details, employment and academic history, financial information, age, gender, nationality, date and place of birth, marital status, language skills, employee and government IDs, income, dates of employment, and tax information (""Human Resources Data"")."
geolocation,we,"advertising, services","We collect various types of ""personal information"" depending upon how you use our websites, such as: When you submit an inquiry, we collect your name, email address, and zip code, phone, location of residence, program of interest, language of interest, preferred starting Date and the data you submit to us using the text box in order to process and respond to your inquiries."
government identifier,berlitz,,"We collect various types of ""personal information"" depending upon how you use our websites, such as: If you are a past or present employee of Berlitz (or one of its affiliates) who is based in the European Union, European Economic Area, United Kingdom (and Gibraltar), or Switzerland, Berlitz may collect your name, address, phone number, and other contact details, employment and academic history, financial information, age, gender, nationality, date and place of birth, marital status, language skills, employee and government IDs, income, dates of employment, and tax information (""Human Resources Data"")."
human resources data,berlitz,,"We collect various types of ""personal information"" depending upon how you use our websites, such as: If you are a past or present employee of Berlitz (or one of its affiliates) who is based in the European Union, European Economic Area, United Kingdom (and Gibraltar), or Switzerland, Berlitz may collect your name, address, phone number, and other contact details, employment and academic history, financial information, age, gender, nationality, date and place of birth, marital status, language skills, employee and government IDs, income, dates of employment, and tax information (""Human Resources Data"")."
human resources data,we,"advertising, services","We collect various types of ""personal information"" depending upon how you use our websites, such as: If you are a past or present employee of Berlitz (or one of its affiliates) who is based in the European Union, European Economic Area, United Kingdom (and Gibraltar), or Switzerland, Berlitz may collect your name, address, phone number, and other contact details, employment and academic history, financial information, age, gender, nationality, date and place of birth, marital status, language skills, employee and government IDs, income, dates of employment, and tax information (""Human Resources Data"")."
human resources datum,berlitz in united states,,"Human Resources Data may be transferred to and processed by Berlitz in the United States, for purposes of administration and communication, and to comply with labor law requirements."
income,berlitz,,"We collect various types of ""personal information"" depending upon how you use our websites, such as: If you are a past or present employee of Berlitz (or one of its affiliates) who is based in the European Union, European Economic Area, United Kingdom (and Gibraltar), or Switzerland, Berlitz may collect your name, address, phone number, and other contact details, employment and academic history, financial information, age, gender, nationality, date and place of birth, marital status, language skills, employee and government IDs, income, dates of employment, and tax information (""Human Resources Data"")."
interest,we,"advertising, services","We also may ask you for additional information, such as your age, interests, product preferences, or zip code.
We process such information to administer the sweepstakes or contest."
language of interest,we,"advertising, services","We collect various types of ""personal information"" depending upon how you use our websites, such as: When you submit an inquiry, we collect your name, email address, and zip code, phone, location of residence, program of interest, language of interest, preferred starting Date and the data you submit to us using the text box in order to process and respond to your inquiries."
language skill,berlitz,,"We collect various types of ""personal information"" depending upon how you use our websites, such as: If you are a past or present employee of Berlitz (or one of its affiliates) who is based in the European Union, European Economic Area, United Kingdom (and Gibraltar), or Switzerland, Berlitz may collect your name, address, phone number, and other contact details, employment and academic history, financial information, age, gender, nationality, date and place of birth, marital status, language skills, employee and government IDs, income, dates of employment, and tax information (""Human Resources Data"")."
marital status,berlitz,,"We collect various types of ""personal information"" depending upon how you use our websites, such as: If you are a past or present employee of Berlitz (or one of its affiliates) who is based in the European Union, European Economic Area, United Kingdom (and Gibraltar), or Switzerland, Berlitz may collect your name, address, phone number, and other contact details, employment and academic history, financial information, age, gender, nationality, date and place of birth, marital status, language skills, employee and government IDs, income, dates of employment, and tax information (""Human Resources Data"")."
nationality,berlitz,,"We collect various types of ""personal information"" depending upon how you use our websites, such as: If you are a past or present employee of Berlitz (or one of its affiliates) who is based in the European Union, European Economic Area, United Kingdom (and Gibraltar), or Switzerland, Berlitz may collect your name, address, phone number, and other contact details, employment and academic history, financial information, age, gender, nationality, date and place of birth, marital status, language skills, employee and government IDs, income, dates of employment, and tax information (""Human Resources Data"")."
person name,berlitz,,"We collect various types of ""personal information"" depending upon how you use our websites, such as: If you are a past or present employee of Berlitz (or one of its affiliates) who is based in the European Union, European Economic Area, United Kingdom (and Gibraltar), or Switzerland, Berlitz may collect your name, address, phone number, and other contact details, employment and academic history, financial information, age, gender, nationality, date and place of birth, marital status, language skills, employee and government IDs, income, dates of employment, and tax information (""Human Resources Data"")."
person name,we,"advertising, services, analytics","We collect various types of ""personal information"" depending upon how you use our websites, such as: When you enter a sweepstakes or contest online, we collect your name, address, email address, and phone number.
We collect various types of ""personal information"" depending upon how you use our websites, such as: When you indicate that you want to receive marketing emails from us or in case we have another legal basis, we collect your name and email address to send you offers and information about our websites, or products, services, and events offered by us or one of our affiliates, including for marketing and promotional purposes (as permitted by law).
We collect various types of ""personal information"" depending upon how you use our websites, such as: When you open a customer account and order from us, we collect your name, address, email address, phone number, and credit card number with expiration date, as well as your usage data, such as user name, password, and purchase information.
We collect various types of ""personal information"" depending upon how you use our websites, such as: When you submit an application for employment purposes, we collect your name, address, telephone, email, preferred workplace, previous work experience, skills, referral information, and application documents that you choose to submit.
We collect various types of ""personal information"" depending upon how you use our websites, such as: When you submit an inquiry, we collect your name, email address, and zip code, phone, location of residence, program of interest, language of interest, preferred starting Date and the data you submit to us using the text box in order to process and respond to your inquiries.
We collect various types of ""personal information"" depending upon how you use our websites, such as: When you use our form for scheduling appointments, we collect your name, email address and other contact details, and selection of language."
personal information,UNSPECIFIED_ACTOR,,"We may, however, share your personal information with certain entities that control us, are controlled by us, or are under common control with us (our ""Affiliates""), and websites operated by our Affiliates."
personal information,berlitz,,"Additionally, Berlitz may share your personal information in response to subpoenas, court orders, or other lawful requests by public authorities, including to meet national security or law enforcement requirements.
Berlitz may also share your personal information with outside companies that perform services for Berlitz."
personal information,outside company perform service for berlitz,,Berlitz may also share your personal information with outside companies that perform services for Berlitz.
