data_type,collector,purpose,text
UNSPECIFIED_DATA,we,"analytics, services","The personal information that we may collect about you through the Services broadly falls into the following categories: Information that we collect automatically When you use our Services, we may collect certain information automatically from your device.
The types of information we collect from third parties include your nick name and picture and we use the information we receive from these third parties to improve your gaming experience for example in high score listings.
We have implemented similar appropriate safeguards with our third party service providers and partners and further details can be provided upon request
We may also collect information about how your device has interacted with our Services, including the games played and the pages of our Website accessed.
We use this information for our internal analytics purposes and to improve the quality and relevance of our Website to our visitors.
We will process your information for the purposes of operating our Website, Games and other Services and communicating with you as necessary for those purposes and in our legitimate commercial interests, for instance, when responding to your queries, undertaking marketing activities, improving our Games, Website and other Services or for the purposes of detecting or preventing illegal activities."
browser type,we,"analytics, services","Specifically, the information we collect automatically may include information like your IP address, device type, unique device identification numbers, browser-type, broad geographic location (e.g. country or city-level location) and other technical information."
contact information,we,"analytics, services, advertising","The personal information that we may collect about you through the Services broadly falls into the following categories: Information that you provide voluntarily Certain parts of our Services may ask you to provide personal information voluntarily: for example, we may ask you to provide your contact details in order to register an account with us, to begin playing Games, to subscribe to marketing communications from us, and/or to submit enquiries to us."
device type,we,"analytics, services, advertising","Specifically, the information we collect automatically may include information like your IP address, device type, unique device identification numbers, browser-type, broad geographic location (e.g. country or city-level location) and other technical information."
ip address,we,"analytics, services, advertising","Specifically, the information we collect automatically may include information like your IP address, device type, unique device identification numbers, browser-type, broad geographic location (e.g. country or city-level location) and other technical information."
nick name,we,"analytics, services, advertising",The types of information we collect from third parties include your nick name and picture and we use the information we receive from these third parties to improve your gaming experience for example in high score listings.
personal information,UNSPECIFIED_ACTOR,,"The personal information that we may collect about you through the Services broadly falls into the following categories: Information that we obtain from third party sources From time to time, we may receive personal information about you from third party sources (including Facebook Messenger), but only where we have checked that these third parties either have your consent or are otherwise legally permitted or required to disclose your personal information to us."
personal information,part of services,"advertising, services","The personal information that we may collect about you through the Services broadly falls into the following categories: Information that you provide voluntarily Certain parts of our Services may ask you to provide personal information voluntarily: for example, we may ask you to provide your contact details in order to register an account with us, to begin playing Games, to subscribe to marketing communications from us, and/or to submit enquiries to us."
personal information,we,"analytics, services, advertising","However, we will normally collect personal information from you only (i) where we need the personal information to perform a contract with you, (ii) where the processing is in our legitimate interests and not overridden by your rights, or (iii) where we have your consent to do so.
The personal information that we may collect about you through the Services broadly falls into the following categories: Information that we obtain from third party sources From time to time, we may receive personal information about you from third party sources (including Facebook Messenger), but only where we have checked that these third parties either have your consent or are otherwise legally permitted or required to disclose your personal information to us.
We may disclose your personal information to the following categories of recipients:
We retain personal information we collect from you where we have an ongoing legitimate business need to do so (for example, to provide you with a service you have requested or to comply with applicable legal, tax or accounting requirements).
When we have no ongoing legitimate business need to process your personal information, we will either delete or anonymise it or, if this is not possible (for example, because your personal information has been stored in backup archives), then we will securely store your personal information and isolate it from any further processing until deletion is possible."
picture,we,"analytics, services, advertising",The types of information we collect from third parties include your nick name and picture and we use the information we receive from these third parties to improve your gaming experience for example in high score listings.
technical information,we,"analytics, services, advertising","Specifically, the information we collect automatically may include information like your IP address, device type, unique device identification numbers, browser-type, broad geographic location (e.g. country or city-level location) and other technical information."
unique device identification number,we,"analytics, services, advertising","Specifically, the information we collect automatically may include information like your IP address, device type, unique device identification numbers, browser-type, broad geographic location (e.g. country or city-level location) and other technical information."
