data_type,collector,purpose,text
UNSPECIFIED_DATA,UNSPECIFIED_ACTOR,,"We will not sell or share your Google user data with third parties, except in the following cases: Service Providers : We may share data with trusted third-party vendors, contractors, or affiliates who assist in operating our website, conducting our business, or providing services to you, as long as they agree to process your data under confidentiality and security obligations."
UNSPECIFIED_DATA,contractor,,"We will not sell or share your Google user data with third parties, except in the following cases: Service Providers : We may share data with trusted third-party vendors, contractors, or affiliates who assist in operating our website, conducting our business, or providing services to you, as long as they agree to process your data under confidentiality and security obligations."
UNSPECIFIED_DATA,we,,"Specifically: Backup and Logs : We may retain backup copies of your data for a limited time, but they will be deleted according to our regular backup policy cycles.
We will not sell or share your Google user data with third parties, except in the following cases: Service Providers : We may share data with trusted third-party vendors, contractors, or affiliates who assist in operating our website, conducting our business, or providing services to you, as long as they agree to process your data under confidentiality and security obligations."
backup copy of datum,we,,"Specifically: Backup and Logs : We may retain backup copies of your data for a limited time, but they will be deleted according to our regular backup policy cycles."
cookie / pixel tag,apptivio,analytics,"Apptivio uses cookies to help Apptivio identify and track visitors, their usage of Apptivio websites, and their website access preferences."
cookie / pixel tag,we,services,This website uses cookies to ensure you get the best experience on our website.
email address,we,services,"For example, we ask visitors who sign up for an account at Apptivio websites to provide an email address."
google datum,UNSPECIFIED_ACTOR,,We do not allow unauthorized third parties to access your Google data unless expressly authorized by you through Google's OAuth process.
google user datum,we,services,"We retain your Google user data only for as long as is necessary to provide the services you have requested, comply with our legal obligations, resolve disputes, and enforce our agreements.
We will only access, use, and process Google user data for the specific purposes authorized by you and as permitted by Google's API services policies."
personal identifier,apptivio,analytics,"Apptivio discloses potentially personally-identifying and personally-identifying information only to those of its employees, contractors and affiliated organizations that
Other than to its employees, contractors and affiliated organizations, as described above, Apptivio discloses potentially personally-identifying and personally-identifying information in response to a subpoena, court order or other governmental request, or when Apptivio believes in good faith that disclosure is reasonably necessary to protect the property or rights of Apptivio, third parties or the public at large."
personal information require,apptivio,analytics,"In each case, Apptivio collects such information only insofar as is necessary or appropriate to fulfill the purpose of the visitor's interaction with Apptivio.
Those who engage in transactions with Apptivio - by purchasing access to the premium services, for example - are asked to provide additional information, including as necessary the personal and financial information required to process those transactions."
specific datum provide,we,services,"When interacting with Google services through Apptivio's websites or applications, we may collect specific data provided by Google."
statistic about behavior of visitor to website,apptivio,analytics,Apptivio may also collect statistics about the behavior of visitors to its websites.
