data_type,collector,purpose,text
UNSPECIFIED_DATA,UNSPECIFIED_ACTOR,,We may share information in specific situations and with specific third parties.
UNSPECIFIED_DATA,business partner,advertising,"We may need to share your personal information in the following situations: With business partners: We may share your information with Our business partners to offer you certain products, services or promotions."
UNSPECIFIED_DATA,we,"advertising, analytics, legal, services","However, we may need to retain certain information when we have a legal obligation or lawful basis to do so.
If you use our applications, we also may collect the following information if you choose to provide us with access or permission:
The company may use personal data for the following purposes: For business transfers: We may use your information to evaluate or conduct a merger, divestiture, restructuring, reorganization, dissolution, or other sale or transfer of some or all of our assets, whether as a going concern or as part of bankruptcy, liquidation, or similar proceeding, in which personal data held by us about our Service users is among the assets transferred.
The company may use personal data for the following purposes: For other purposes : We may use your information for other purposes, such as data analysis, identifying usage trends, determining the effectiveness of our promotional campaigns and to evaluate and improve our Service, products, services, marketing and your experience.
We may also process your information for other purposes with your consent.
We may need to share your personal information in the following situations: With business partners: We may share your information with Our business partners to offer you certain products, services or promotions.
We may process your information as part of our efforts to keep our Services safe and secure, including fraud monitoring and prevention.
We may share information in specific situations and with specific third parties.
We process your information only when we have a valid legal reason to do so.
We process your information to provide, improve, and administer our Services, communicate with you, for security and fraud prevention, and to comply with law."
cookie / pixel tag,we,"advertising, analytics, legal, services","Unless you have adjusted your browser setting so that it will refuse cookies, our Service may use cookies.
We use cookies and similar tracking technologies to track the activity on our Service and store certain information."
device data,we,"advertising, analytics, legal, services","Collecting and Using Your Personal Data

Types of Data Collected

Usage Data

The information we collect includes:
The information we collect includes: Device Data."
geolocation,we,"advertising, analytics, legal, services","Collecting and Using Your Personal Data

Types of Data Collected

Usage Data

The information we collect includes:
For example, we may use GPS and other technologies to collect geolocation data that tells us your current location (based on your IP address).
The information we collect includes: Location Data.
We collect location data such as information about your device's location, which can be either precise or imprecise.
You can opt out of allowing us to collect this information either by refusing access to the information or by disabling your Location setting on your device."
information we receive,we,"advertising, analytics, legal, services",We will use the information we receive only for the purposes that are described in this privacy notice or that are otherwise made clear to you on the relevant Services.
ip address,we,"advertising, analytics, legal, services","For example, we may use GPS and other technologies to collect geolocation data that tells us your current location (based on your IP address).
You can opt out of allowing us to collect this information either by refusing access to the information or by disabling your Location setting on your device."
option,we,"advertising, analytics, legal, services","We may provide you with the option to register with us using your existing social media account details, like your Google, Facebook, or other social media account."
payment datum,Stripe,,All payment data is stored by Stripe.
profile information,we,"advertising, analytics, legal, services, security","The profile information we receive may vary depending on the social media provider concerned, but will often include your name, email address, date of birth, and profile picture, as well as other information you choose to make public on such a social media platform."
profile information about you,we,"advertising, analytics, legal, services, security","If you choose to register in this way, we will receive certain profile information about you from your social media provider."
push notification,we,"advertising, analytics, legal, services, security","If you use our applications, we also may collect the following information if you choose to provide us with access or permission: Push Notifications."
