data_type,collector,purpose,text
UNSPECIFIED_DATA,Facebook,,"CONSENT FOR QUIZMODEON

2- This data can be transferred to Youtube, Linkedn, Twitter, Facebook, Instagram social media channels, our customers, our affiliates, the company that organizes the quiz, public institutions and other organizations defined by the legislation within the scope of the legal obligations brought by the activity, taking into account the provisions of the legislation."
UNSPECIFIED_DATA,Twitter,,"CONSENT FOR QUIZMODEON

2- This data can be transferred to Youtube, Linkedn, Twitter, Facebook, Instagram social media channels, our customers, our affiliates, the company that organizes the quiz, public institutions and other organizations defined by the legislation within the scope of the legal obligations brought by the activity, taking into account the provisions of the legislation."
UNSPECIFIED_DATA,UNSPECIFIED_ACTOR,,"CONSENT FOR QUIZMODEON

2- This data can be transferred to Youtube, Linkedn, Twitter, Facebook, Instagram social media channels, our customers, our affiliates, the company that organizes the quiz, public institutions and other organizations defined by the legislation within the scope of the legal obligations brought by the activity, taking into account the provisions of the legislation."
UNSPECIFIED_DATA,company organize quiz,,"CONSENT FOR QUIZMODEON

2- This data can be transferred to Youtube, Linkedn, Twitter, Facebook, Instagram social media channels, our customers, our affiliates, the company that organizes the quiz, public institutions and other organizations defined by the legislation within the scope of the legal obligations brought by the activity, taking into account the provisions of the legislation."
UNSPECIFIED_DATA,linkedn,,"CONSENT FOR QUIZMODEON

2- This data can be transferred to Youtube, Linkedn, Twitter, Facebook, Instagram social media channels, our customers, our affiliates, the company that organizes the quiz, public institutions and other organizations defined by the legislation within the scope of the legal obligations brought by the activity, taking into account the provisions of the legislation."
UNSPECIFIED_DATA,public institution,,"CONSENT FOR QUIZMODEON

2- This data can be transferred to Youtube, Linkedn, Twitter, Facebook, Instagram social media channels, our customers, our affiliates, the company that organizes the quiz, public institutions and other organizations defined by the legislation within the scope of the legal obligations brought by the activity, taking into account the provisions of the legislation."
UNSPECIFIED_DATA,social media,,"CONSENT FOR QUIZMODEON

2- This data can be transferred to Youtube, Linkedn, Twitter, Facebook, Instagram social media channels, our customers, our affiliates, the company that organizes the quiz, public institutions and other organizations defined by the legislation within the scope of the legal obligations brought by the activity, taking into account the provisions of the legislation."
UNSPECIFIED_DATA,we,,"CONSENT FOR QUIZMODEON

2- This data can be transferred to Youtube, Linkedn, Twitter, Facebook, Instagram social media channels, our customers, our affiliates, the company that organizes the quiz, public institutions and other organizations defined by the legislation within the scope of the legal obligations brought by the activity, taking into account the provisions of the legislation.
Information we collect includes both information you knowingly and actively provide us when using or participating in any of our services and promotions, and any information automatically sent by your devices in the course of accessing our products and services.
We may collect, hold, use, and disclose information for the following purposes, and personal information will not be further processed in a manner that is incompatible with these purposes:"
UNSPECIFIED_DATA,youtube,,"CONSENT FOR QUIZMODEON

2- This data can be transferred to Youtube, Linkedn, Twitter, Facebook, Instagram social media channels, our customers, our affiliates, the company that organizes the quiz, public institutions and other organizations defined by the legislation within the scope of the legal obligations brought by the activity, taking into account the provisions of the legislation."
cookie / pixel tag,quizmodeon,,"Like any other website, Quizmodeon uses 'cookies'."
