data_type,collector,purpose,text
UNSPECIFIED_DATA,UNSPECIFIED_ACTOR,services,"From time to time we may need to share your data with these parties.
Substrata Ltd. uses certain trusted third parties to provide, improve and protect our Services, and also to promote our Site.
These third parties will access your information only to perform tasks on our behalf in compliance with this Privacy Policy and with adherence to Google API Services User Data Policy , including the Limited Use requirements.
We may access, preserve and disclose your information to third parties if we determine that such disclosure is reasonably necessary to (a) comply with the law, legal requests or court orders; (b) protect any person from death or serious bodily injury; (c) prevent fraud or abuse or address security or technical issues relating to our Services or our users; or (d) protect and enforce our rights and the rights, property and safety of our users and others.
You can also request that we transmit the data to another entity where technically feasible."
UNSPECIFIED_DATA,we,,"Privacy Policy

With Whom We Share Your Information
Subject to the rights of users set forth above, we'll retain information for as long as we need it to provide you the Services or to comply with applicable law.
We collect and use the following information to provide, secure and improve our Services and as otherwise described in this Privacy Policy:
We may access, preserve and disclose your information to third parties if we determine that such disclosure is reasonably necessary to (a) comply with the law, legal requests or court orders; (b) protect any person from death or serious bodily injury; (c) prevent fraud or abuse or address security or technical issues relating to our Services or our users; or (d) protect and enforce our rights and the rights, property and safety of our users and others.
What Information We Collect & Why
You can also request that we transmit the data to another entity where technically feasible."
aggregate / deidentified / pseudonymized information,UNSPECIFIED_ACTOR,services,"We also may also provide Anonymized Data to our partners, who may use that information in anonymized form to understand how often and in what ways people use our Services so that they, too, can provide you with an optimal online experience."
aggregate / deidentified / pseudonymized information,we,,"We also may also provide Anonymized Data to our partners, who may use that information in anonymized form to understand how often and in what ways people use our Services so that they, too, can provide you with an optimal online experience."
contact information,UNSPECIFIED_ACTOR,services,We may also share your personal information with third parties as requested or directed by you through the Services (e.g. sharing contact information with a third-party conference calling service provider).
contact information,we,,We may also share your personal information with third parties as requested or directed by you through the Services (e.g. sharing contact information with a third-party conference calling service provider).
contact information,we,"advertising, analytics, services",We may also share your personal information with third parties as requested or directed by you through the Services (e.g. sharing contact information with a third-party conference calling service provider).
cookie / pixel tag,advertiser,,Third party companies like analytics companies and ad networks generally use cookies to collect user information on an anonymous basis.
cookie / pixel tag,analytic provider,,Third party companies like analytics companies and ad networks generally use cookies to collect user information on an anonymous basis.
cookie / pixel tag,we,"advertising, analytics","In addition, please note that only as part of our Site's operation ( and not as part of our Apps' operation ), we may use targeting cookies to collect information about your activities on our Site and other websites, thus enabling us to advertise our products and services, directly to you, on third party platforms (such as, Google, Facebook and LinkedIn), including across browsers and devices.
We may also use analytics cookies as part of the Site, to test new ads, pages or features to see how users react to them."
file,relevant personnel,,"We may reproduce, analyze, summarize and disclose these files, recordings and any results of our Services with such customers and their relevant personnel and other team members, and customers may share this information with their personnel and others."
file,team member,,"We may reproduce, analyze, summarize and disclose these files, recordings and any results of our Services with such customers and their relevant personnel and other team members, and customers may share this information with their personnel and others."
file,we,"advertising, analytics","We may reproduce, analyze, summarize and disclose these files, recordings and any results of our Services with such customers and their relevant personnel and other team members, and customers may share this information with their personnel and others."
geolocation,we,"advertising, analytics",Your devices (depending on their settings) may also transmit location information to the Services.
information relate to,we,"advertising, analytics","We collect information related to how you use the Services, Site and/or App including actions you take in your account, such as accessing and sharing files and reports."
internet activity,we,"advertising, analytics","In addition, please note that only as part of our Site's operation ( and not as part of our Apps' operation ), we may use targeting cookies to collect information about your activities on our Site and other websites, thus enabling us to advertise our products and services, directly to you, on third party platforms (such as, Google, Facebook and LinkedIn), including across browsers and devices."
ip address,social media,,"Our Services include social media features, such as the Facebook Like button and widgets, such as the 'Share' button or interactive mini-programs that run on our site.
These features may collect your IP address, which page you are visiting on our site, and may set a cookie to enable the Feature to function properly."
local storage,we,"advertising, analytics, services","Finally, we use local storage to facilitate certain functions, but we do not retain the data captured via local storage."
q for dealmakers,we,"advertising, analytics, services","This Privacy Policy describes how we collect, use and handle personal information when you use our platform, websites (available at: https://www.substrata.me/ ) (the "" Site ""), our application ""Q for Dealmakers"" (the "" Apps ""), and related services (collectively, the "" Services "")."
related service,we,"advertising, analytics, services","This Privacy Policy describes how we collect, use and handle personal information when you use our platform, websites (available at: https://www.substrata.me/ ) (the "" Site ""), our application ""Q for Dealmakers"" (the "" Apps ""), and related services (collectively, the "" Services "")."
sensitive information,we,"advertising, analytics, services","Sensitive information will be used by us only: (1) for the primary purpose for which it was obtained, which is to monitor your usage and enable various search tools in connection with your usage of the Services; (2) for a secondary purpose that is directly related to the primary purpose; and (3) with your consent; or where required or authorized by law."
user contact,we,"advertising, analytics, services","If you do, we may store those contacts within our systems for you to use.
You may choose to give us access to additional user contacts to make it easy for you to do things like share and collaborate, send messages, and invite others to use the Services."
user information,advertiser,,Third party companies like analytics companies and ad networks generally use cookies to collect user information on an anonymous basis.
user information,analytic provider,,Third party companies like analytics companies and ad networks generally use cookies to collect user information on an anonymous basis.
