data_type,collector,purpose,text
Google,we,"analytics, legal, services, advertising, security","For example, we collect information directly from you when you create an account, participate in a meeting or use another product or service that integrates our Services (e.g., Google Calendar, Microsoft Outlook and Teams, Slack, and Zoom Calendar and Messaging), communicate through our text chat feature, use our calendar integration or email invitation feature, provide feedback, make a purchase, communicate with us via third-party platforms, such as LinkedIn, Twitter, Facebook, and Instagram, request customer support, explicitly opt into our collection of specific data from you or otherwise communicate with us"
Microsoft,we,"analytics, legal, services, advertising, security","For example, we collect information directly from you when you create an account, participate in a meeting or use another product or service that integrates our Services (e.g., Google Calendar, Microsoft Outlook and Teams, Slack, and Zoom Calendar and Messaging), communicate through our text chat feature, use our calendar integration or email invitation feature, provide feedback, make a purchase, communicate with us via third-party platforms, such as LinkedIn, Twitter, Facebook, and Instagram, request customer support, explicitly opt into our collection of specific data from you or otherwise communicate with us"
Slack,we,"analytics, legal, services, advertising, security","For example, we collect information directly from you when you create an account, participate in a meeting or use another product or service that integrates our Services (e.g., Google Calendar, Microsoft Outlook and Teams, Slack, and Zoom Calendar and Messaging), communicate through our text chat feature, use our calendar integration or email invitation feature, provide feedback, make a purchase, communicate with us via third-party platforms, such as LinkedIn, Twitter, Facebook, and Instagram, request customer support, explicitly opt into our collection of specific data from you or otherwise communicate with us"
UNSPECIFIED_DATA,UNSPECIFIED_ACTOR,,"Therefore, we, and those that perform work for us, may transfer your information to, or store or access it in, jurisdictions that may not provide levels of data protection that are equivalent to those of your home jurisdiction."
UNSPECIFIED_DATA,we,,"For example, we collect information directly from you when you create an account, participate in a meeting or use another product or service that integrates our Services (e.g., Google Calendar, Microsoft Outlook and Teams, Slack, and Zoom Calendar and Messaging), communicate through our text chat feature, use our calendar integration or email invitation feature, provide feedback, make a purchase, communicate with us via third-party platforms, such as LinkedIn, Twitter, Facebook, and Instagram, request customer support, explicitly opt into our collection of specific data from you or otherwise communicate with us
For example, we may collect information from the video conferencing platforms you use, from third-party data brokers who provide us with audio and visual data sets, or from other users, such as when they refer our Services to you.
For paid accounts, we will store your data until you (i) stop paying, or (ii) request that we delete some or all of your data.
If you wish to delete your account, review the ""How to Delete My Account"" instruction or email us at  privacy@parafoil.co  with your account information, but note that we may retain certain information as required by law or for our legitimate business purposes.
Parafoil is based in the United States, and we may process your information in other jurisdictions.
Therefore, we, and those that perform work for us, may transfer your information to, or store or access it in, jurisdictions that may not provide levels of data protection that are equivalent to those of your home jurisdiction.
We disclose information with other users, including sharing real-time reporting and analytics with other meeting participants, as well as additional reporting after the meeting.
We may disclose information if we believe that your actions are inconsistent with our user agreements or policies, if we believe that you have violated the law, or if we believe it is necessary to protect the rights, property, and safety of Parafoil, our users, the public, or others.
We may disclose information in response to a request for information if we believe that disclosure is in accordance with, or required by, any applicable law, regulation, or legal process, including lawful requests by public authorities to meet national security or law enforcement requirements."
account,we,,"The types of personal information that we may collect include your name, username, email address, postal address, phone number, account login information for our accounts and accounts on video conferencing platforms, profile photo, your image and/or voice, social media profile ID, user presentations, text chat communications, feedback on our Services, hashed payment card value and other payment-related information, like your billing address, and any other information you choose to provide."
account,we,"analytics, legal, services, advertising, security","The types of personal information that we may collect include your name, username, email address, postal address, phone number, account login information for our accounts and accounts on video conferencing platforms, profile photo, your image and/or voice, social media profile ID, user presentations, text chat communications, feedback on our Services, hashed payment card value and other payment-related information, like your billing address, and any other information you choose to provide."
account login information,we,,"The types of personal information that we may collect include your name, username, email address, postal address, phone number, account login information for our accounts and accounts on video conferencing platforms, profile photo, your image and/or voice, social media profile ID, user presentations, text chat communications, feedback on our Services, hashed payment card value and other payment-related information, like your billing address, and any other information you choose to provide."
account login information,we,"analytics, legal, services, advertising, security","The types of personal information that we may collect include your name, username, email address, postal address, phone number, account login information for our accounts and accounts on video conferencing platforms, profile photo, your image and/or voice, social media profile ID, user presentations, text chat communications, feedback on our Services, hashed payment card value and other payment-related information, like your billing address, and any other information you choose to provide."
account setting,we,,"Applied Humanity Inc. may use Personal Data for the following purposes: Provide, maintain, and improve (consistent with your account settings) our Services, including maintaining user accounts with us and using information to train and improve our models within our Services;"
activity information,we,,"When you access or use our Services or otherwise interact with us, we automatically collect, or process on behalf of our customers, certain information, including: Activity, Device and Usage Information:"
aggregate / deidentified / pseudonymized information,we,,We may disclose aggregated or de-identified information that cannot reasonably be used to identify you.
contact information,we,analytics,"While using our Service, we may ask you to provide us with certain personally identifiable information that can be used to contact or identify you."
cookie / pixel tag,UNSPECIFIED_ACTOR,,"To do so, these entities may use cookies, web beacons, device identifiers, and other technologies to collect information about your use of our Services and other websites and mobile applications, including your IP address, web browser, mobile network information, pages viewed, time spent on pages, links clicked, and conversion information."
