data_type,collector,purpose,text
UNSPECIFIED_DATA,Publications Office of the EU,,We may transfer limited data to countries outside of the EU/EEA.
UNSPECIFIED_DATA,UNSPECIFIED_ACTOR,,We may share personal data and other data with third parties when we have consent to do so.
UNSPECIFIED_DATA,processor,,"From time to time, we may remove or engage new processors and when we do Mentimeter will ensure via a written contract that the processor may access and use your data only to deliver the services Mentimeter has retained them to provide and is prohibited from using such data for any other purpose."
UNSPECIFIED_DATA,we,advertising,"Depending on who you are, we collect: Third-Party Information - we may use third-party sites and third-party platforms as well as publicly available information to collect and add some information to the information provided by you in order to give you relevant communication (for marketing purposes).
This privacy policy describes what data we collect, how and why we use it and where you can find out more.
We may share personal data and other data with third parties when we have consent to do so.
We may transfer limited data to countries outside of the EU/EEA."
aggregate / deidentified / pseudonymized information,we,"advertising, analytics","We may disclose or use aggregated or de-identified data for any type of business-related purpose such as with prospects, partners for business or research purposes."
business information,we,"advertising, analytics","Depending on who you are, we collect: Business Information - meaning information about your company, role and workplace if you choose to provide us with such information when signing up for an Account."
call recording,we,"advertising, analytics","Depending on who you are, we collect: Call Recordings - correspondence and video recordings used for internal educational purposes"
company name,Stripe,services,"If you choose to pay by invoice, we may need to collect and transfer additional information, like your company name, registration number, and phone number, to Stripe and PE Accounting to enable credit checks and send you invoices."
company name,pe accounting,services,"If you choose to pay by invoice, we may need to collect and transfer additional information, like your company name, registration number, and phone number, to Stripe and PE Accounting to enable credit checks and send you invoices."
company name,we,"advertising, analytics, services","If you choose to pay by invoice, we may need to collect and transfer additional information, like your company name, registration number, and phone number, to Stripe and PE Accounting to enable credit checks and send you invoices."
correspondence,we,"advertising, analytics, services","Depending on who you are, we collect: Call Recordings - correspondence and video recordings used for internal educational purposes"
email address,UNSPECIFIED_ACTOR,,"conduct sales and marketing - when you have signed up with an email address that belongs to an organization, we may disclose your email address to that organization as a part of our marketing & sales towards potential or existing Customers (see ""Customer access"" for more information)"
email address,we,"advertising, analytics, services","If you have subscribed to be notified of changes to our Terms and Policies we will use your email address to communicate with you.
We may collect some limited information, such as your email address and transaction history.
conduct sales and marketing - when you have signed up with an email address that belongs to an organization, we may disclose your email address to that organization as a part of our marketing & sales towards potential or existing Customers (see ""Customer access"" for more information)"
feedback in relation to for support matter,we,"advertising, analytics, services","We may ask you to be part of surveys, regarding for example customer satisfaction, and with your consent give us feedback in relation to for example support matters or when we test new stuff for improvement purposes and sometimes this may include processing of personal data of you as the respondent."
information about account,employer,,"If you use an email address to access the Services and that email address was provided by an organization, such as an employer or school, that organization can request information about your Account as well as, if that organization is a Customer, request us to move your Account to that organization's Team Workspace in which case you will become a Team Member."
information about account,school,,"If you use an email address to access the Services and that email address was provided by an organization, such as an employer or school, that organization can request information about your Account as well as, if that organization is a Customer, request us to move your Account to that organization's Team Workspace in which case you will become a Team Member."
interaction information,we,"advertising, analytics, services","Depending on who you are, we collect: Interaction Information - meaning information on how you use the Services and your system activities (dates, times, and details of log-on and log-off including information on your history with Mentimeter; technical data such as page response times, download errors, personal preferences; your interactions with the customer service, etc."
ip address,we,"advertising, analytics, services","Depending on who you are, we collect: Device Information - e.g. IP address, user agent, browser settings, operating system and platform, and screen resolution.
We may, for example, use an IP address received from your browser or device to determine the approximate location."
kind of datum,we,"advertising, analytics, services","If we receive a request for information, we may disclose all kinds of data, if this is required by mandatory applicable laws, governmental regulations or rules or by any order of court of competent jurisdiction, arbitral tribunal or governmental authority."
personal datum we receive in relation to third party integration,we,"advertising, analytics, services","How long we store personal data that we may receive in relation to the third party integrations depends on the type of data and the purpose for which we process it, but will only be retained for the period necessary to fulfill the purposes of the specific integration unless a longer retention period is required or permitted by law."
phone number,Stripe,services,"If you choose to pay by invoice, we may need to collect and transfer additional information, like your company name, registration number, and phone number, to Stripe and PE Accounting to enable credit checks and send you invoices."
phone number,pe accounting,services,"If you choose to pay by invoice, we may need to collect and transfer additional information, like your company name, registration number, and phone number, to Stripe and PE Accounting to enable credit checks and send you invoices."
phone number,we,"advertising, analytics, services","If you choose to pay by invoice, we may need to collect and transfer additional information, like your company name, registration number, and phone number, to Stripe and PE Accounting to enable credit checks and send you invoices."
publicly available information,we,"advertising, analytics, services","Depending on who you are, we collect: Third-Party Information - we may use third-party sites and third-party platforms as well as publicly available information to collect and add some information to the information provided by you in order to give you relevant communication (for marketing purposes)."
registration number,Stripe,services,"If you choose to pay by invoice, we may need to collect and transfer additional information, like your company name, registration number, and phone number, to Stripe and PE Accounting to enable credit checks and send you invoices."
registration number,pe accounting,services,"If you choose to pay by invoice, we may need to collect and transfer additional information, like your company name, registration number, and phone number, to Stripe and PE Accounting to enable credit checks and send you invoices."
registration number,we,"advertising, analytics, services","If you choose to pay by invoice, we may need to collect and transfer additional information, like your company name, registration number, and phone number, to Stripe and PE Accounting to enable credit checks and send you invoices."
third party information,we,"advertising, analytics, services","Depending on who you are, we collect: Third-Party Information - we may use third-party sites and third-party platforms as well as publicly available information to collect and add some information to the information provided by you in order to give you relevant communication (for marketing purposes)."
transaction history,we,"advertising, analytics, services","We may collect some limited information, such as your email address and transaction history."
video recording,we,"advertising, analytics, services","Depending on who you are, we collect: Call Recordings - correspondence and video recordings used for internal educational purposes"
