data_type,collector,purpose,text
UNSPECIFIED_DATA,we,"legal, services","For customer support - We use your information to resolve technical issues and to respond to requests for assistance.
How we store and secure data we collect

How long we keep data
How we store and secure data we collect

How we store and transmit data : We store your data in a Amazon Web Services data centers located in the United States.
Please note that we may need to retain certain data within your profile for record keeping purposes or to comply with our legal obligations.
Privacy Policy

What data we collect from you
Sharing with other Service users : For administration - For certain kinds of accounts we will share your information with the administrators of the account.
The goal of this policy is to help you understand: What data we collect automatically
The goal of this policy is to help you understand: What data we collect from you
To provide the Service and customize your experience - We use your information to provide the Service and tailor it to your needs."
account datum,we,"legal, services","Account data - We retain account data for the lifetime of the account, as it's mandatory to use the Service."
booking datum for lifetime of account,we,"legal, services",Booking data - By default we retain booking data for the lifetime of the account.
cookie / pixel tag,we,"legal, services",Cookies and other tracking technologies - Our Service uses cookies so that we can recognize you after you sign in.
customer datum,we,"legal, services","For example, if we find that customers are using certain web conference providers, we will use that information to develop integrations with those services.
For product development and research - To improve our Service, we will often look at our customer data to better understand what it is you're using the Service for."
datum about you,we,"legal, services","We collect data about you when you provide it to us by using our Service, as described below."
datum necessary,we,"legal, services",We also retain any data necessary to comply with legal obligations and resolve disputes.
datum we collect,we,"legal, services",The goal of this policy is to help you understand: How we store and secure data we collect
electronic file of account datum,we,"legal, services","Should you request it, we will provide you with an electronic file of your account data."
extreme care,we,"legal, services",We use extreme care when handling your data and always use industry standards where applicable.
information about company,we,"legal, services",Content you provide through our Service - When using our Service we collect various information about your company and the Services you provide to your customers.
information about device as,we,"legal, services","We also collect information about your device such as what type it is (laptop, tablet, etc) and what browser you're running so that we can improve the quality of the Service, as well as resolve any issues you may encounter."
information you choose,we,"legal, services, security","Information you provide through our support channels - If you elect to use our customer support, we will collect any information you choose to share with us."
minimum amount of datum,integration,services,"Integration partners - If you choose to take advantage of our various integrations, we will share the minimum amount of data with them to perform the desired task."
minimum amount of datum,we,"legal, services, security","Integration partners - If you choose to take advantage of our various integrations, we will share the minimum amount of data with them to perform the desired task."
minimum amount require,we,"legal, services, security","That said, we'd like to take a moment to share a few philosophies that guide how we treat data and privacy here at Appointlet now and going forward: We consider data a liability and only collect and share the minimum amount required to provide you with a great service."
payment datum,we,"legal, services, security",Payment data - We retain payment data for the lifetime of the account as it's mandatory in order to use our Service.
user datum,we,"legal, services, security","We keep user data for varying lengths of time, depending on the type of data and how you've configured our Service."
