data_type,collector,purpose,text
UNSPECIFIED_DATA,we,"advertising, analytics, legal, security, services","We collect the following categories of information: identifiers, commercial information, approximate geolocation data, internet activity information, and inferences drawn from the foregoing.
We may also use and disclose applicants' information (a) to improve our Services, (b) as otherwise necessary to comply with relevant laws, (c) to respond to subpoenas or warrants served on Honeybook, and (d) to protect and defend the rights or property of Honeybook or others.
We retain information for no longer than is necessary for the purposes for which it is processed, unless applicable law requires storage for a longer period of time.
We use applicants' information to facilitate our recruitment activities and process applications, including evaluating candidates and monitoring recruitment statistics.
We use successful applicants' information to administer the employment or independent contractor relationship."
account,we,"advertising, analytics, legal, security, services","In particular if you are a Business and you opt to import or sync your Google account, contacts, iCal or similar accounts or services with our Services, we will collect and store information such as your contacts' (including contacts your services providers or application automatically added to your address book when you communicated with addresses or numbers not already on your list) email address, name, address, website URL, phone number and other metadata assigned to a contact (collectively, ""Contacts' Information"").
We obtain this data in order to create profiles, suggest existing profiles for you to connect with and invite new persons to use the Services."
analytic provider,we,"advertising, analytics, legal, security, services","Vendors:  Companies and individuals that provide services on our behalf or help us operate HoneyBook, the Services, or our business (such as hosting, information technology, customer support, email delivery, and website analytics services)."
bank account number,honeybook,services,Honeybook also collects bank account numbers to transmit direct deposits to Businesses.
calendar,we,"advertising, analytics, legal, security, services","If you integrate your Gmail account with the Services, you will be able to use the Services to send emails (that you draft and send using our email composer) and create calendar events and we will have access to your inbox and calendar (""Gmail Information"")."
coarse geolocation,we,"advertising, analytics, legal, security, services","We collect the following categories of information: identifiers, commercial information, approximate geolocation data, internet activity information, and inferences drawn from the foregoing."
commercial information,we,"advertising, analytics, legal, security, services","We collect the following categories of information: identifiers, commercial information, approximate geolocation data, internet activity information, and inferences drawn from the foregoing."
cookie / pixel tag,advertiser,,"These companies may use cookies and similar technologies to collect information about your interaction (including the data described in the ""Automatic data collection"" section above) over time across the Services, our communications, and other online services, and use that information to serve online ads that they think will interest you.
We engage advertising partners, including third party advertising companies and social media companies, to display ads on the Services and other online services."
cookie / pixel tag,we,"advertising, analytics, legal, security, services","For example, we use cookies to keep track of your shopping cart and to provide other personalized experiences."
customer support,we,"advertising, analytics, legal, security, services","Vendors:  Companies and individuals that provide services on our behalf or help us operate HoneyBook, the Services, or our business (such as hosting, information technology, customer support, email delivery, and website analytics services)."
email delivery,we,"advertising, analytics, legal, security, services","Vendors:  Companies and individuals that provide services on our behalf or help us operate HoneyBook, the Services, or our business (such as hosting, information technology, customer support, email delivery, and website analytics services)."
friend list,we,"advertising, analytics, legal, security, services","If you do so, we may receive information from your SMP (such as your contact details or friend lists)."
google account,we,"advertising, analytics, legal, security, services","In particular if you are a Business and you opt to import or sync your Google account, contacts, iCal or similar accounts or services with our Services, we will collect and store information such as your contacts' (including contacts your services providers or application automatically added to your address book when you communicated with addresses or numbers not already on your list) email address, name, address, website URL, phone number and other metadata assigned to a contact (collectively, ""Contacts' Information"").
We obtain this data in order to create profiles, suggest existing profiles for you to connect with and invite new persons to use the Services."
hosting,we,"advertising, analytics, legal, security, services","Vendors:  Companies and individuals that provide services on our behalf or help us operate HoneyBook, the Services, or our business (such as hosting, information technology, customer support, email delivery, and website analytics services)."
inbox,we,"advertising, analytics, legal, security, services","If you integrate your Gmail account with the Services, you will be able to use the Services to send emails (that you draft and send using our email composer) and create calendar events and we will have access to your inbox and calendar (""Gmail Information"")."
inference draw from foregoing,we,"advertising, analytics, legal, security, services","We collect the following categories of information: identifiers, commercial information, approximate geolocation data, internet activity information, and inferences drawn from the foregoing."
information about user,UNSPECIFIED_ACTOR,advertising,We may also share information about our users with these companies to facilitate interest-based advertising to those or similar users on other online platforms.
information about user,we,"advertising, analytics, legal, security, services",We may also share information about our users with these companies to facilitate interest-based advertising to those or similar users on other online platforms.
information in communication,we,"advertising, analytics, legal, security, services","Terms & Privacy

Personal Information We Collect

Communications: when you contact us with questions, feedback, respond to one of our surveys, or otherwise communicate with us we may collect the information in such communications."
information technology,we,"advertising, analytics, legal, security, services","Vendors:  Companies and individuals that provide services on our behalf or help us operate HoneyBook, the Services, or our business (such as hosting, information technology, customer support, email delivery, and website analytics services)."
information you provide in connection with application,we,"advertising, analytics, legal, security, services","When you apply for a job or an independent contractor/agent position with Honeybook, we collect the information that you provide in connection with your application."
language setting,advertiser,,"We, our service providers, and our advertising partners may automatically log information about you, your computer or mobile device, and your interaction over time with HoneyBook, our communications and other online services, such as: Device information, such as your computer's or mobile device's operating system type and version, manufacturer and model, browser type, screen resolution, RAM and disk size, CPU usage, device type (e.g., phone, tablet), IP address, unique identifiers (including identifiers used for advertising purposes), language settings, mobile device carrier, radio/network information (e.g., WiFi, LTE, 3G)."
language setting,service provider,,"We, our service providers, and our advertising partners may automatically log information about you, your computer or mobile device, and your interaction over time with HoneyBook, our communications and other online services, such as: Device information, such as your computer's or mobile device's operating system type and version, manufacturer and model, browser type, screen resolution, RAM and disk size, CPU usage, device type (e.g., phone, tablet), IP address, unique identifiers (including identifiers used for advertising purposes), language settings, mobile device carrier, radio/network information (e.g., WiFi, LTE, 3G)."
language setting,we,"advertising, analytics, legal, security, services","We, our service providers, and our advertising partners may automatically log information about you, your computer or mobile device, and your interaction over time with HoneyBook, our communications and other online services, such as: Device information, such as your computer's or mobile device's operating system type and version, manufacturer and model, browser type, screen resolution, RAM and disk size, CPU usage, device type (e.g., phone, tablet), IP address, unique identifiers (including identifiers used for advertising purposes), language settings, mobile device carrier, radio/network information (e.g., WiFi, LTE, 3G)."
