data_type,collector,purpose,text
UNSPECIFIED_DATA,UNSPECIFIED_ACTOR,,"By default, only the application can access the data."
UNSPECIFIED_DATA,we,,We collect the information using the following technologies:
browser type,we,,"We collect the information using the following technologies: ""Log files"" track actions occurring on the site, and collect data such as your IP address, browser type, Internet service provider, referring/exit pages, and date/time stamps."
customer order for,we,,We collect information about your customers and customer orders for managing order workflow.
customer order for delivery rate calculation,we,"analytics, services",We collect information about your customers and customer orders for delivery rate calculation.
customer order for report feature of app,we,"analytics, services",We collect information about your customers and customer orders for the report feature of the app.
customer order for shipping rate calculation,we,"analytics, services",We collect information about your customers and customer orders for shipping rate calculation.
date time stamp,we,"analytics, services","We collect the information using the following technologies: ""Log files"" track actions occurring on the site, and collect data such as your IP address, browser type, Internet service provider, referring/exit pages, and date/time stamps."
email address,we,"analytics, services","- Email - The app uses the customer's email ID to send emails.
We only access the customer's name and email address from the order data to send payment reminders to customers."
information about customer,we,"analytics, services","Information collected from Merchants' customers  For us to be able to provide you with our Services and support, for you to better serve your customers, and to improve our Services, in some apps we collect information about your Customers.
We collect information about your customers and customer orders for delivery rate calculation.
We collect information about your customers and customer orders for managing order workflow.
We collect information about your customers and customer orders for shipping rate calculation.
We collect information about your customers and customer orders for the report feature of the app."
information about customer order,we,"analytics, services",We collect limited information about customer orders to send payment reminder emails.
information about customer order for,we,"analytics, services",We collect information about your customer orders for calculating usage charges.
ip address,we,"analytics, services","We collect the information using the following technologies: ""Log files"" track actions occurring on the site, and collect data such as your IP address, browser type, Internet service provider, referring/exit pages, and date/time stamps."
person name,we,"analytics, services","BookEasy - Customer data protection BookEasy uses the following Customer data: - Name - First name and last name fields - Email - Email ID field - Phone - Default and shipping phone number fields - Address - Shipping address fields Why we need access to these fields: - Name - The app uses the customer's name while sending emails on appointment booking and reminders.
We only access the customer's name and email address from the order data to send payment reminders to customers."
personal information,UNSPECIFIED_ACTOR,services,We share your Personal Information with the following third parties to help us conduct our business and support our customers.
personal information,company acquire business,,"Personal information may also be shared with a company that acquires our business, whether through merger, acquisition, bankruptcy, dissolution, reorganization, or other similar transaction or proceeding."
personal information,cross - border transfer logbase,,Cross-border transfer LogBase processes and stores personal information using our servers based in the United States.
personal information,we,"analytics, services, advertising, legal","This Privacy Policy describes how we may collect and use personal data and the rights granted to our visitors, customers, and merchants regarding their respective data.
We may also share your Personal Information to comply with applicable laws and regulations, to respond to a subpoena, search warrant, or other lawful requests for any information we receive, or to otherwise protect our rights.
We may use your Personal Information to provide you with targeted advertisements or marketing communications we believe could be of interest to you.
We share your Personal Information with the following third parties to help us conduct our business and support our customers."
type of information,we,"analytics, services, advertising, legal, security","Information collected from Merchants  When you install the App, we are automatically able to access certain types of information from your Shopify account: You can see the detail here .
We collect this information to provide you with our Services; for example, to confirm your identity, contact you, provide customer support when you contact us, provide you with advertising and marketing."
