data_type,collector,purpose,text
UNSPECIFIED_DATA,UNSPECIFIED_ACTOR,,"Application  Data :
As is true of most digital platforms, we and our third-party providers and partners collect certain personal information automatically when you visit or interact with our websites and other online services:
Rather, all such information is provided directly by you to our third-party processor.
We may also share this information with third parties who provide services to us for this purpose.
We may disclose your information publicly or with another third party with your prior authorization.
We may share your information with third parties as required by law or subpoena or if we reasonably believe that such action is necessary to (a) comply with the law and the reasonable requests of law enforcement; (b) to enforce our Terms of Service or other agreements or to protect the security or integrity of the Transcend services, including to prevent harm or financial loss, or in connection with preventing fraud or illegal activity; and/or (c) to exercise or protect the rights, property, or personal safety of Transcend, our Customers, visitors, or others.
We use this information to better tailor our European Services and the advertising displayed on it, as well as the marketing messages we send to you, to your interests."
UNSPECIFIED_DATA,we,"advertising, analytics, security, services","Application  Data :
As is true of most digital platforms, we and our third-party providers and partners collect certain personal information automatically when you visit or interact with our websites and other online services:
Certain of these applications also allow us to access more precise Location Data about you and collect information about your use and interactions with third-party websites and online services (including the products or services you are interested in or purchase) to better serve you.
In that case, we will retain the information until the hold is removed, which typically means the claim or threat of claim has been resolved.
The information may include contact information, demographic information, information about your communications and related activities, and information about your orders.
We may also share this information with third parties who provide services to us for this purpose.
We may disclose your information publicly or with another third party with your prior authorization.
We may obtain information from other sources, including through third-party information providers, customers, public sources, or through transactions such as mergers and acquisitions.
We may share your information with third parties as required by law or subpoena or if we reasonably believe that such action is necessary to (a) comply with the law and the reasonable requests of law enforcement; (b) to enforce our Terms of Service or other agreements or to protect the security or integrity of the Transcend services, including to prevent harm or financial loss, or in connection with preventing fraud or illegal activity; and/or (c) to exercise or protect the rights, property, or personal safety of Transcend, our Customers, visitors, or others.
We may use information to present the European Services to you on your device.
We may use this information in connection with providing you with marketing communications in accordance with your preferences.
We may use this information to administer and facilitate our services, your subscriptions, and our marketing activities.
We may use this information to communicate with you, including sending service-related communications.
We may use this information to deal with enquiries and complaints made by or about you relating to the European Services.
We may use this information to determine content that may be of interest to you.
We may use this information to localise features of the European Services.
We may use this information to set up and authenticate your account on the European Services.
We use this information to better tailor our European Services and the advertising displayed on it, as well as the marketing messages we send to you, to your interests.
Where we are processing personal information based on a legal obligation, we generally will retain the information for the period of time necessary to fulfill the legal obligation.
Where we are processing personal information based on contract, we generally will retain the information for the duration of the contract plus some additional limited period of time that is necessary to comply with law or that represents the statute of limitations for legal claims that could arise from the contractual relationship."
aggregate / deidentified / pseudonymized information,we,"advertising, analytics, security, services","We may also share such anonymised and aggregated information with others.
We may use anonymised information for purposes that include testing our IT systems, research, data analysis, improving the Transcend European Services."
analytic datum,we,"advertising, analytics, security, services","We, and our third-party partners, use Tracking Technologies to automatically collect usage and device information, such as: We may collect analytics data or use third-party analytics tools such as Google Analytics to help us measure traffic and usage trends for the services and to understand more about the demographics of our users."
analytic datum,we,"advertising, analytics, security, services, legal","We, and our third-party partners, use Tracking Technologies to automatically collect usage and device information, such as: We may collect analytics data or use third-party analytics tools such as Google Analytics to help us measure traffic and usage trends for the services and to understand more about the demographics of our users."
applicable interest,we,"advertising, analytics, security, services","If you sign up to receive news or alerts from us, or subscribe to our newsletter, we collect your email and applicable interests and communication preferences in order to send you regular updates about the Service.
We use this information to manage our communications with you and send you information about products and services we think may be of interest to you."
combine personal information,we,"advertising, analytics, security, services","In these cases, our Privacy Notice governs the handling of the combined personal information.
We use this information to operate, maintain, and provide to you the features and functionality of the Service, as well as to communicate directly with you, such as to send you email messages about products and services that may be of interest to you."
comment,we,"advertising, analytics, security, services","When you contact us directly, e.g. by email or phone we will record your comments and opinions."
communication preference,we,"advertising, analytics, security, services","If you sign up to receive news or alerts from us, or subscribe to our newsletter, we collect your email and applicable interests and communication preferences in order to send you regular updates about the Service.
We use this information to manage our communications with you and send you information about products and services we think may be of interest to you."
data we receive,we,"advertising, analytics, security, services","The data we receive is dependent upon your privacy settings with the social network.
We use this information to operate, maintain, and provide to you the features and functionality of the Service, as well as to communicate directly with you, such as to send you email messages about products and services that may be of interest to you."
